date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,0,1,1,0,0,5890,5890,0,0,1001300000,1001300000,0,,170000.0,170000.0,,-5890.0
2020-09-30,1,1,1,0,280,2500,2780,0,47600000,425000000,472600000,0,170000.0,170000.0,170000.0,,-2500.0
2020-01-20,1,1,0,1,1000,47000,0,48000,150000000,7050000000,0,7200000000,150000.0,,150000.0,150000.0,1000.0
2020-01-18,1,0,0,1,1000,0,0,1000,150000000,0,0,150000000,150000.0,,,150000.0,1000.0
2020-01-15,0,1,0,1,0,6000,0,6000,0,900000000,0,900000000,,,150000.0,150000.0,0.0
2020-01-14,2,1,0,1,21000,1000,0,22000,3150000000,150000000,0,3300000000,150000.0,,150000.0,150000.0,21000.0
2020-01-13,2,0,0,1,3400,0,0,3400,510000000,0,0,510000000,150000.0,,,150000.0,3400.0
2020-01-07,8,0,0,1,28600,0,0,28600,4290000000,0,0,4290000000,150000.0,,,150000.0,28600.0
2020-01-01,0,1,0,1,0,1000,0,1000,0,150000000,0,150000000,,,150000.0,150000.0,0.0
2019-12-31,1,0,0,1,1000,0,0,1000,150000000,0,0,150000000,150000.0,,,150000.0,1000.0
2019-10-02,0,1,0,1,0,23000,0,23000,0,3450000000,0,3450000000,,,150000.0,150000.0,0.0
2019-10-01,0,1,0,1,0,59000,0,59000,0,8850000000,0,8850000000,,,150000.0,150000.0,0.0
2019-09-30,0,1,0,1,0,50000,0,50000,0,7500000000,0,7500000000,,,150000.0,150000.0,0.0
