date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-07-13,17235,11,10904,19,162126321,5840000,161191044,6775277,2021243395169,71318736962,2009264625754,83297506377,12467.089752619502,12465.113295959545,12212.11249349315,12294.332228335461,935277.0
2020-07-12,15183,9,5223,13,164883402,1122059,108138464,57866997,2082028811924,14230568839,1359753609190,736505771573,12627.279560401113,12574.190153006057,12682.549526361805,12727.561645768485,56744938.0
2020-07-11,11137,11,9096,6,188407979,8444773,174833631,22019121,2284616333462,102140551747,2120898018255,265858866954,12125.9001109608,12130.94989862105,12095.121058553024,12074.0,13574348.0
2020-07-08,13488,10,5439,13,107272401,4366116,86911146,24727371,1363080748778,55761742783,1107486825564,311355665997,12706.723594058456,12742.74792745225,12771.475330247753,12591.539391591608,20361255.0
2020-07-07,15627,9,4231,10,104745687,3263649,102111968,5897368,1385232215924,42883146121,1350301577241,77813784804,13224.718416558764,13223.734726579749,13139.631780562187,13194.663247062079,2633719.0
2020-07-06,32149,19,9847,20,236686520,5329304,199597753,42418071,3274183206572,72976043202,2757489919228,589669330546,13833.416480887885,13815.235280870122,13693.353428890527,13901.370728197424,37088767.0
2020-07-05,25554,23,6870,16,232308374,6944527,119996671,119256230,3261316455317,96084642790,1671466977069,1685934121038,14038.738247623394,13929.277896959326,13836.024079105748,14137.07376996573,112311703.0
2020-07-04,28609,26,8003,24,244238772,6296730,186993293,63542209,3423840849716,88786517244,2615725668378,896901698582,14018.41657521927,13988.339508936291,14100.416762986502,14115.05379962475,57245479.0
2020-07-01,727,1,2185,5,18853533,500000,16350633,3002900,254748937896,6756000000,220929753096,40575184800,13512.0,13512.0,13512.0,13512.0,2502900.0
2020-06-30,250,0,817,4,9860688,0,4715298,5145390,126897193872,0,60681169962,66216023910,12869.0,12869.0,,12869.0,5145390.0
2020-06-29,2854,3,1523,5,36609023,4500000,37559041,3549982,448258677876,55601098017,459664736857,44195039036,12244.486226141571,12238.457761927415,12355.799559333333,12449.369894269887,-950018.0
2020-06-28,9784,20,8463,25,193690000,61001232,220594767,34096465,2320117970775,726711295158,2635400388954,411428876979,11978.511904460736,11946.794680555591,11913.05931588398,12066.613855101989,-26904767.0
2020-06-27,20021,33,8456,18,218607521,34026658,239340395,13293784,2527115821355,384479351907,2757369378453,154225794809,11560.058911948414,11520.702046359538,11299.356872103044,11601.346524736673,-20732874.0
2020-06-24,19667,36,4491,31,348527039,59192030,238562550,169156519,4098302486407,697121951918,2804724669534,1990699768791,11758.922630984163,11756.768484969665,11777.294205284055,11768.38930334692,109964489.0
2020-06-23,93,4,1329,3,9993042,1152400,7645442,3500000,112121931240,12929928000,85781859240,39270000000,11220.0,11220.0,11220.0,11220.0,2347600.0
2020-06-22,128,2,1027,6,20141978,725000,16097448,4769530,215237176908,7747350000,172017329328,50967197580,10686.0,10686.0,10686.0,10686.0,4044530.0
2020-06-21,6276,13,5129,10,111682931,42505133,145226799,8961265,1129767659519,439569849417,1479389056920,89948452016,10115.848943103043,10186.74973976394,10341.57096784052,10037.472613074158,-33543868.0
2020-06-20,13899,17,4458,15,181902642,13900938,153007809,42795771,1809588369926,138966955328,1521121895580,427433429674,9948.114826864361,9941.465769109864,9996.948071274039,9987.749249195675,28894833.0
2020-06-16,14313,24,3676,12,266139153,48856375,140379836,174615692,2539551019950,466290816700,1338961613474,1666880223176,9542.192463316362,9538.133478614407,9544.114083371924,9545.99328436072,125759317.0
2020-06-15,2408,1,1173,4,36978015,800000,25278015,12500000,336241090395,7274400000,229852990395,113662500000,9093.0,9093.0,9093.0,9093.0,11700000.0
2020-06-14,10922,10,4458,16,210357038,12980053,160854181,62482910,1821371619201,112776414094,1392566554391,541581478904,8658.477208644666,8657.322711375466,8688.440185413727,8667.673751174521,49502857.0
2020-06-13,8878,19,5751,7,155617798,14301407,157924173,11995032,1288011603631,118719802237,1305844673242,100886732626,8276.762813666082,8268.808051583084,8301.267297476395,8410.709752670939,-2306375.0
2020-06-10,17852,26,7361,4,245717052,25903060,271079307,540805,1968141275310,209086976616,2172918515052,4309736874,8009.787107937466,8015.803711096251,8071.902571202012,7969.114327715165,-25362255.0
2020-06-09,12898,16,3205,8,155700080,17804153,170299082,3205151,1292082182971,148199842630,1413450038607,26831986994,8298.532556765545,8299.81008709724,8323.89177008308,8371.520403874887,-14599002.0
2020-06-08,16436,21,5343,13,427728302,11311457,301272220,137767539,3637204220688,95993380096,2558114314658,1175083286126,8503.538820510408,8491.0394813634,8486.385095748496,8529.46415865061,126456082.0
2020-06-07,1000,5,434,6,63059738,18105603,18995377,62169964,512360371250,147108024375,154337438125,505130957500,8125.0,8125.0,8125.0,8125.0,44064361.0
2020-05-02,8047,10,3613,8,68879504,9370725,64737198,13513031,1738254063998,236688514362,1633279102556,341663475804,25236.158262666933,25229.37589229611,25258.292646726906,25284.0,4142306.0
2020-04-26,12452,17,4815,9,102974276,5839322,99668598,9145000,2361550358697,133959419360,2285376483057,210133295000,22933.400946630594,22929.754495563386,22940.92008627029,22977.94368507381,3305678.0
2020-04-25,98,1,591,3,4529180,200000,2728180,2001000,99148279380,4378200000,59722588380,43803891000,21891.0,21891.0,21891.0,21891.0,1801000.0
2020-04-22,109,0,587,4,5693365,0,2692315,3001050,118700966885,0,56132075435,62568891450,20849.0,20849.0,,20849.0,3001050.0
2020-04-21,43,1,424,2,3549536,100000,1649536,2000000,70483136352,1985700000,32754836352,39714000000,19857.0,19857.0,19857.0,19857.0,1900000.0
2020-04-20,94,0,493,2,3362629,0,1362629,2000000,63594039648,0,25770039648,37824000000,18912.0,18912.0,,18912.0,2000000.0
2020-04-19,111,1,661,4,5990082,200000,3189912,3000170,107893356984,3602400000,57456694944,54039062040,18012.0,18012.0,18012.0,18012.0,2800170.0
2020-04-18,819,0,776,2,5968789,0,3968789,2000000,102394575295,0,68084575295,34310000000,17155.0,17155.0,,17155.0,2000000.0
