date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,213,1,180,1,232851,100000,331951,900,39452708520,16994150760,56295571950,151287330,169433.27930736824,169590.0056032366,169941.5076,168097.03333333333,-99100.0
2020-10-18,158,1,164,0,114660,105565,220225,0,20832052550,19270661920,40102714470,0,181685.4399965114,182098.82833465774,182547.83233079145,,-105565.0
2020-10-14,163,1,146,0,115146,41941,157087,0,21770845550,7925742270,29696587820,0,189071.6616295833,189045.4832035751,188973.6122171622,,-41941.0
2020-10-13,189,1,137,2,235679,125,134544,101260,45280671460,24076250,25916695560,19388052150,192128.5793812771,192626.17106671425,192610.0,191468.0243926526,101135.0
2020-10-12,281,1,228,2,225162,10070,230001,5231,43476655560,1952100900,44433991150,994765310,193090.5550670184,193190.42591119168,193853.11817279048,190167.3312942076,-4839.0
2020-10-11,323,2,441,3,536374,13569,386438,163505,105842889740,2693060320,76354049820,32181900240,197330.38838571592,197584.21744238402,198471.5395386543,196825.17500993854,149936.0
2020-10-10,305,1,240,0,339569,1500,341069,0,64652494010,282580000,64935074010,0,190395.74875798437,190386.91294136964,188386.66666666666,,-1500.0
2020-10-07,292,1,291,2,309474,5031,239753,74752,60025060460,986076000,46583334600,14427801860,193958.33078061484,194297.1916931175,196000.0,193008.90758775684,69721.0
2020-10-06,318,0,275,2,419049,0,257689,161360,81082519890,0,49778171440,31304348450,193491.73936699526,193171.50301332225,,194003.1510287556,161360.0
2020-10-05,239,0,168,1,209102,0,208702,400,39502048480,0,39427552680,74495800,188912.8199634628,188917.94367088002,,186239.5,400.0
2020-10-03,403,0,276,2,477436,0,299718,177718,95971302750,0,60214686310,35756616440,201013.96365167268,200904.47123629545,,201198.62051114687,177718.0
2020-09-30,357,2,192,3,317829,1100,171507,147422,61966067720,213504000,33369772980,28809798740,194966.68875401551,194567.99419265686,194094.54545454544,195424.01229124554,146322.0
2020-09-29,304,1,238,2,344378,500,238074,106804,66621523780,96050000,45865185200,20852388580,193454.6451283183,192650.9623058377,192100.0,195239.77173139583,106304.0
2020-09-28,143,1,269,0,223116,80576,303692,0,40849875380,14844736830,55694612210,0,183088.05903655497,183391.76603269103,184232.73468526607,,-80576.0
2020-09-27,272,2,191,2,293549,50500,250916,93133,57035617750,9796515000,48765919150,18066213600,194296.7536935912,194351.57243858502,193990.39603960395,193982.9448208476,42633.0
2020-09-26,250,39,265,2,218456,266900,368996,116360,45921380360,56763671790,77863452570,24821599580,210208.83088585344,211014.35400383745,212677.67624578494,213317.2875558611,-150540.0
2020-09-23,383,41,435,2,412380,420900,414909,418371,86737653520,88914254440,87354299310,88297608650,210334.28759881662,210538.45375732993,211247.93167023046,211050.97784024227,-2529.0
2020-09-22,369,1,290,1,375245,148245,473756,49734,75385851660,30225535060,95474303950,10137082770,200897.6846060574,201526.3214608364,203889.06917602618,203826.00977198698,-98511.0
2020-09-21,200,2,265,3,183627,50052,230139,3540,35218516140,9534984000,44062239340,691260800,191793.77836592658,191459.24567326703,190501.55837928553,195271.41242937854,-46512.0
2020-09-20,227,1,478,0,322894,70651,393545,0,65711093480,14293438440,80004531920,0,203506.7033763402,203291.95370288024,202310.49015583642,,-70651.0
2020-09-19,294,2,606,1,376432,121769,483972,14229,80805192800,25618507970,103289736470,3133964300,214660.79610660093,213420.8930888564,210386.12430093045,220251.9010471572,-107540.0
2020-09-16,579,1,657,3,766973,154347,685796,235524,167814750810,33128254250,148854497260,52088507800,218801.37998338926,217053.60961568746,214634.90867979295,221160.084747202,81177.0
2020-09-15,612,2,408,1,633434,6387,539821,100000,134642913550,1360194540,114828108090,21175000000,212560.28812788703,212715.1557460714,212962.97792390795,211750.0,93613.0
2020-09-14,441,3,423,1,656538,3032,493732,165838,131001109280,612226180,98531320460,33082015000,199533.17139297345,199564.3799875236,201921.56332453826,199483.92407047842,162806.0
2020-09-13,393,3,438,3,441092,282747,671776,52063,85515328880,54543274230,130009466610,10049136500,193871.86546117364,193530.9784958081,192904.8733673567,193018.7753298888,-230684.0
2020-09-12,664,1,406,1,761545,100000,592316,269229,149350752620,19566000000,115868524490,53048228130,196115.4660853922,195619.44045070536,195660.0,197037.5707297505,169229.0
2020-09-09,509,3,454,3,994782,58230,795263,257749,178984590760,9913712550,143011230300,45887073010,179923.4312241275,179828.84944980466,170250.94538897477,178030.07193044396,199519.0
2020-09-08,194,2,394,0,353866,203000,556866,0,60683384580,35261285000,95944669580,0,171486.903460632,172293.9981611375,173700.91133004928,,-203000.0
2020-09-07,168,1,267,0,164014,105353,269367,0,30664447950,20072654790,50737102740,0,186962.38095528432,188356.78735702593,190527.60519396694,,-105353.0
2020-09-06,353,3,393,2,397995,52454,440227,10222,80303300430,10510470260,88751239650,2062531040,201769.62130177516,201603.35383790635,200375.00019064324,201773.7272549403,-42232.0
2020-09-05,378,1,320,2,458299,29078,476445,10932,91644804390,5677188720,95092133110,2229860000,199967.2798544182,199586.8003861936,195240.0,203975.48481522137,-18146.0
2020-09-02,166,2,254,0,214294,102000,316294,0,40404769220,19635800000,60040569220,0,188548.29915909917,189825.1918152099,192507.8431372549,,-102000.0
2020-09-01,261,1,394,0,412588,9869,422457,0,82460375710,1936199110,84396574820,0,199861.30403695695,199775.53885957625,196190.0,,-9869.0
2020-08-31,526,1,449,3,487693,50000,474392,63301,105422080980,10714500000,102173459700,13963121280,216164.84341583741,215377.70388202163,214290.0,220582.9494004834,13301.0
2020-08-26,820,1,388,1,655671,3000,358671,300000,144010623510,654840000,78590463510,66075000000,219638.54358359604,219115.74537668226,218280.0,220250.0,297000.0
2020-08-25,631,1,315,2,704265,1500,591527,114238,142622649810,298050000,119461474180,23459225630,202512.76126174096,201954.38953758663,198700.0,205353.9595406082,112738.0
2020-08-24,210,2,386,1,214862,1459904,474766,1200000,38931836590,286087176140,87251012730,237768000000,181194.6113784662,183776.87688250633,195963.00588257858,198140.0,-259904.0
2020-08-23,207,1,275,1,164078,100000,264038,40,30228666640,18740500000,48961814240,7352400,184233.5147917454,185434.72621365107,187405.0,183810.0,-99960.0
2020-08-22,163,1,120,0,112517,66541,179058,0,21727873120,13006172500,34734045620,0,193107.4692713101,193982.093064817,195461.03154446132,,-66541.0
2020-08-19,247,1,159,1,228397,50000,276897,1500,43930945850,9550000000,53190665850,290280000,192344.67112089915,192095.49345063328,191000.0,193520.0,-48500.0
2020-08-18,252,1,200,2,190105,769,182171,8703,39789587210,157645000,38153212200,1794020010,209303.21248783567,209436.2560451444,205000.0,206138.1144432954,7934.0
2020-08-17,254,1,212,0,185941,3368,189309,0,39238549540,718683390,39957232930,0,211026.88239818008,211068.85002826067,213385.80463182897,,-3368.0
2020-08-16,219,3,296,1,264862,105134,365494,4502,52272809060,20904832340,72286155360,891486040,197358.65869773694,197776.58555270403,198839.8837673826,198020.0,-100632.0
2020-08-15,185,3,274,0,116704,350000,466704,0,24179428230,73138024700,97317452930,0,207185.94246983822,208520.71747831602,208965.78485714286,,-350000.0
2020-08-12,211,3,310,3,176195,141527,248796,68926,38549287130,30565656030,54025987460,15088955700,218787.63375805216,217149.74300229907,215970.49347474333,218915.29611467372,-72601.0
2020-08-11,243,3,393,2,272647,155374,415209,12812,57545140210,33630819230,88389891290,2786068150,211060.96971541957,212880.4801678191,216450.75257121527,217457.70761785825,-142562.0
2020-08-10,371,2,410,3,372181,160000,451459,80722,81852208540,35444000000,99246668320,18049540220,219925.81174213623,219835.396614089,221525.0,223601.2514556131,-79278.0
2020-08-09,387,3,382,1,305231,26629,328813,3047,68968119160,5974934910,74248557390,694496680,225953.84859336042,225807.8524571717,224376.99162567127,227928.02100426648,-23582.0
2020-08-05,258,2,502,0,224541,150047,374588,0,49314624160,33003558520,82318182680,0,219624.14062465206,219756.5930569052,219954.80429465434,,-150047.0
2020-08-04,221,1,523,0,283736,58518,342254,0,61264124100,12642829140,73906953240,0,215919.4606958581,215941.82460979273,216050.26043268738,,-58518.0
2020-08-03,199,2,350,1,152117,163636,303291,12462,32702036050,35210685560,65245853610,2666868000,214979.4963745012,215126.24380545417,215176.88992642207,214000.0,-151174.0
2020-08-02,323,2,513,4,411499,148684,544683,15500,87955937040,31773728630,116417065740,3312599930,213745.2023941735,213733.61338613468,213699.71637835947,213716.12451612903,-133184.0
2020-08-01,246,2,406,1,242416,18646,258562,2500,50241170550,3855097020,53576284330,519983240,207251.8750825028,207208.65529350794,206751.95859701812,207993.296,-16146.0
2020-07-29,299,1,492,0,283750,204214,487964,0,57041870660,40942800000,97984670660,0,201028.6190660793,200803.07289062307,200489.68239200054,,-204214.0
2020-07-28,243,0,528,0,360734,0,360734,0,74958556890,0,74958556890,0,207794.54359722123,207794.54359722123,,,0.0
2020-07-27,257,3,588,0,382763,45234,427997,0,77921290890,9078117660,86999408550,0,203575.8181694678,203271.07094208605,200692.3477914843,,-45234.0
2020-07-26,298,1,415,1,188847,200000,388053,794,39553179420,41829500000,81211215120,171464300,209445.6328138652,209278.6684293125,209147.5,215950.0,-199206.0
2020-07-25,515,1,487,1,474577,794,475341,30,101839473000,167184640,102000128140,6529500,214589.98855823185,214583.06382155127,210560.0,217650.0,-764.0
2020-07-22,251,2,465,1,245741,19390,248131,17000,51136338130,4047450000,51677276770,3506511360,208090.38023772996,208266.1044770706,208739.04074265086,206265.37411764706,-2390.0
2020-07-21,476,3,633,1,367047,174233,540594,686,78043893690,36926357500,114825642390,144608800,212626.43119273553,212406.43142543203,211936.64518202638,210800.0,-173547.0
2020-07-20,762,4,594,0,427314,239082,666396,0,94047748360,52234024150,146281772510,0,220090.49167591045,219511.78054790245,218477.44351310428,,-239082.0
2020-07-19,487,2,606,2,366490,34324,393430,7384,76723867230,6975026530,82175563770,1523329990,209347.77819312943,208869.5924815088,203211.35444586878,206301.46126760563,-26940.0
2020-07-18,628,2,733,2,625089,22935,619586,28438,122337951440,4460510170,121263846070,5534615540,195712.85279376217,195717.53730716964,194484.8558971005,194620.42126731836,5503.0
2020-07-15,633,4,657,1,434064,118182,550146,2100,89176493220,24250827410,112982120630,445200000,205445.4947196727,205367.52176694912,205198.99316308743,212000.0,-116082.0
2020-07-14,694,4,738,2,604480,487364,841844,250000,130138399780,104429762980,181136301550,53431861210,215289.83552805719,215166.1133773003,214274.67556077184,213727.44484,-237364.0
2020-07-13,829,3,559,1,673182,13006,683222,2966,145859940710,2787005800,148000154770,646791740,216672.37197370103,216620.8857004019,214286.16023373828,218068.69184086312,-10040.0
2020-07-12,745,3,772,2,1242809,85651,821665,506795,271415609540,18711474550,179133911140,110993172950,218388.83492153662,218013.31581605642,218461.83407082228,219010.0,421144.0
2020-07-11,714,5,846,2,906085,104827,948699,62213,179756559880,21518159100,188047946980,13226772000,198388.18640635262,198216.65984680073,205273.06037566657,212604.63247231286,-42614.0
2020-07-08,837,2,724,1,523082,151262,673082,1262,109706882660,31063548800,140512970840,257460620,209731.71063045564,208760.5534541111,205362.54181486426,204010.0,-150000.0
2020-07-07,1202,2,654,1,908280,186405,1003445,91240,197138934020,40549837000,217547690920,20141080100,217046.43284009336,216800.8121222389,217536.2087926826,220748.35708022796,-95165.0
2020-07-06,1171,0,444,3,947587,0,595339,352248,204424569580,0,128584855630,75839713950,215731.71601130028,215985.9435212543,,215302.04273693534,352248.0
2020-07-05,911,2,631,2,969478,11901,739608,241771,195527743740,2375221460,148624093670,49278871530,201683.52839363037,200949.81891758877,199581.6704478615,203824.57585897399,229870.0
2020-07-04,1426,2,753,2,887898,88299,885936,90261,175217868600,16971850390,174424039390,17765679600,197340.08703702452,196881.08327238084,192208.86295428034,196825.64562767974,1962.0
2020-07-01,1187,2,472,3,896426,900,568261,329065,179468303730,179504000,113653614380,65994193350,200204.25972696018,200002.48896193827,199448.88888888888,200550.63087839787,328165.0
2020-06-30,1024,1,602,2,1029131,5000,755108,279023,194826292110,943550000,142691498960,53078343150,189311.45996962485,188968.33162938282,188710.0,190229.2755435932,274023.0
2020-06-29,602,4,727,1,622244,361450,917471,66223,108635477290,62816761760,159713223160,11739015890,174586.62082719963,174079.8599192781,173791.0133075114,177264.93650242363,-295227.0
2020-06-28,725,2,592,2,554054,167189,659256,61987,101098504890,29881831000,119513548340,11466787550,182470.49004248684,181285.4920395112,178730.84353635705,184986.97388162033,-105202.0
2020-06-27,572,0,284,2,359228,0,339513,19715,64928130990,0,61343368040,3584762950,180743.51384079191,180680.46890693434,,181829.21379660157,19715.0
2020-06-24,435,1,449,0,402300,134749,537049,0,69389767170,22395836120,91785603290,0,172482.64272930648,170907.31625978262,166204.0988801401,,-134749.0
2020-06-23,856,5,642,3,650170,262900,899954,13116,110292636100,44463402900,152523729640,2232309360,169636.61211683098,169479.47299528643,169126.67516165844,170197.4199451052,-249784.0
2020-06-22,464,1,473,2,411006,143248,542014,12240,64761825070,22553839700,85385338720,1930326050,157569.05025717386,157533.4561837886,157446.10535574667,157706.37663398692,-131008.0
2020-06-21,595,2,592,1,655480,340754,996055,179,99924334720,51855864130,151752811850,27387000,152444.5211448099,152353.84777949008,152179.7664297411,153000.0,-340575.0
2020-06-20,610,1,662,3,710286,365325,959758,115853,107167172270,54751709750,144437957200,17480924820,150878.90268145507,150494.1424817506,149871.23725449943,150888.84034077666,-249472.0
2020-06-16,434,4,855,2,874262,292596,1069798,97060,124566828660,41670185300,152434829100,13802184860,142482.26350910825,142489.35696271632,142415.4304911892,142202.60519266434,-195536.0
2020-06-15,475,5,561,1,643817,219357,857481,5693,90045356930,30539444680,119797895150,786906460,139861.72612714482,139709.09577005205,139222.5672305876,138223.51308624627,-213664.0
2020-06-14,662,3,639,2,900281,216056,1084934,31403,125022500150,30023295680,150745295650,4300500180,138870.5305898936,138944.20826520323,138960.71240789426,136945.52049167277,-184653.0
2020-06-13,597,0,629,3,877824,0,805082,72742,126613454510,0,116162600270,10450854240,144235.58083397127,144286.66927095625,,143670.1525940997,72742.0
2020-06-10,464,2,727,3,916202,25095,884046,57251,126505857351,3404352904,122022573689,7887636566,138076.38201073563,138027.40319960727,135658.61342896993,137772.90468288763,32156.0
2020-06-09,473,1,503,2,577206,55512,589121,43597,77211092622,7436691304,78772210862,5875573064,133766.96122701428,133711.429166504,133965.47240236346,134770.1232653623,-11915.0
2020-06-08,785,2,844,3,1217278,169945,1303377,83846,165412571633,22779400000,176403481545,11788490088,135887.25963420025,135343.40528105068,134039.83641766454,140596.928750328,-86099.0
2020-06-07,842,2,637,3,939071,5179,801556,142694,131030832141,714854150,111818270096,19927416195,139532.401853534,139501.50718851833,138029.37825835103,139651.39525838508,137515.0
2020-06-06,542,1,639,1,825967,256,726223,100000,108102748646,32204800,94884953446,13250000000,130880.22723183857,130655.39572004743,125800.0,132500.0,99744.0
2020-06-02,451,2,513,2,759813,14317,694372,79758,93221019820,1758914917,85221944184,9757990553,122689.42466106793,122732.40306924819,122854.99175804987,122344.97546327641,65441.0
2020-06-01,354,0,339,2,694243,0,623250,70993,82501256223,0,74083235086,8418021137,118836.28098950944,118866.00094023265,,118575.36851520573,70993.0
2020-05-31,602,5,466,4,951701,375656,1140700,186657,111104165453,43023883442,132046591305,22081457590,116742.7221921591,115759.26300078898,114530.00469046149,118299.64903539648,-188999.0
2020-05-30,567,1,386,2,638949,8735,458653,189031,77618142411,1051702735,55595416301,23074428845,121477.83690247578,121214.54847346469,120401.0,122066.90355021134,180296.0
2020-05-27,324,3,480,2,534174,91404,493450,132128,58741575920,9807272533,54150724069,14398124384,109967.11917839505,109739.02942344715,107295.87909719488,108971.03100024219,40724.0
2020-05-26,177,1,464,0,178840,350000,528840,0,18173025800,36166786949,54339812749,0,101616.11384477746,102752.84159481128,103333.67699714286,,-350000.0
2020-05-23,263,1,447,0,245050,352544,597594,0,26503656857,38055708108,64559364965,0,108156.11857580085,108032.15053196652,107945.9815172007,,-352544.0
2020-05-20,386,1,524,2,532722,50000,553638,29084,60895530348,5726716555,63297685003,3324561900,114310.14740896753,114330.45600735498,114534.3311,114308.9636913767,-20916.0
2020-05-19,595,1,432,1,505439,50000,554373,1066,62248902641,6047600000,68161120641,135382000,123158.09156198868,122951.73221098431,120952.0,127000.0,-48934.0
2020-05-18,465,2,460,2,560715,404200,739115,225800,67331810919,48505680000,88812161121,27025329798,120082.05758540436,120160.13897837278,120004.1563582385,119687.02302037201,-178400.0
2020-05-17,364,2,551,2,554552,381730,816232,120050,61565903693,41139080152,89229422881,13475560964,111019.17167912117,109318.70213493223,107770.09968302202,112249.57071220325,-261680.0
2020-05-16,317,2,645,1,260341,700000,958363,1978,29664842432,79899995599,109343302031,221536000,113946.10311860214,114093.82669301715,114142.85085571429,112000.0,-698022.0
2020-05-13,580,3,625,2,766216,357078,1001986,121308,94244923703,43015952249,122120948586,15139927366,123000.46423332323,121878.89709636662,120466.54302141268,124805.67947703367,-235770.0
2020-05-12,706,2,935,0,739817,650652,1390469,0,89185407121,79231424972,168416832093,0,120550.63227933395,121122.32066518563,121772.3529198404,,-650652.0
2020-05-11,926,5,758,2,732198,409715,1106726,35187,97438665217,54213638141,146895914652,4756388706,133076.9344043551,132730.1560205507,132320.3644997132,135174.60158581295,-374528.0
2020-05-10,1069,3,741,3,875316,522829,1203233,194912,119188222800,71051293921,163769302175,26470214546,136165.93641610572,136107.721592576,135897.76757027634,135805.97677926449,-327917.0
2020-05-09,738,0,596,2,916603,0,804969,111634,118786695137,0,104233545578,14553149559,129594.48653015537,129487.65179528653,,130364.84905136428,111634.0
2020-05-06,787,2,840,0,1211243,72494,1283737,0,145527967217,8453635653,153981602870,0,120147.62291051424,119947.93549613355,116611.5216845532,,-72494.0
2020-05-05,1224,4,948,3,1250812,560860,1803253,8419,157008396650,69306527568,225282173388,1032750830,125525.17616556285,124930.98494110366,123571.88526191919,122669.06164627628,-552441.0
2020-05-04,1552,2,1021,1,1907881,76989,1772936,211934,249909484638,9778994104,231208214587,28480264155,130987.9833375352,130409.79177308148,127018.068866981,134382.70478073362,134945.0
2020-05-03,2721,4,480,1,3387583,140956,510176,3018363,456857214059,19009150439,69257145787,406609218711,134862.293871176,135751.4775038418,134858.7533627515,134711.83509438726,2877407.0
2020-05-02,2175,2,556,1,2452858,3139,958345,1497652,314648910633,404433120,123003213244,192050130509,128278.48600815865,128349.61652014671,128841.38897738133,128234.14952806126,1494513.0
2020-04-29,1599,2,688,1,2770713,243570,1225611,1788672,332833325863,29166467109,147464548669,214535244303,120125.51493532531,120319.21112734791,119745.72857494766,119941.07600666863,1545102.0
2020-04-28,2902,4,318,1,4502537,160782,463319,4200000,534165338577,19112958185,55101978451,498176318311,118636.52393683828,118928.81244024096,118874.98715652249,118613.40912166667,4039218.0
2020-04-27,1044,1,502,2,977446,5111,878932,103625,114567251683,633764000,103522160070,11678855613,117210.82462151362,117781.76249129625,124000.0,112703.06984800965,98514.0
2020-04-26,1015,2,413,2,1160169,172054,868345,463878,125373096908,18422753000,94119196433,49676653475,108064.51207367203,108389.17300496923,107075.41237053483,107089.91043981392,291824.0
2020-04-25,1390,2,177,1,2336031,21825,178744,2179112,244858070414,2281590350,19536070647,227603590117,104817.98846590648,109296.37160967641,104540.22222222222,104447.86230216712,2157287.0
2020-04-22,352,1,43,1,288473,300,42376,246397,28682680826,30023900,4252810657,24459894069,99429.34287090992,100358.9450868416,100079.66666666667,99270.2592523448,246097.0
2020-04-21,162,0,23,1,129529,0,55818,73711,12474882829,0,5339316051,7135566778,96309.574141698,95655.8108674621,,96804.63944323099,73711.0
2020-04-20,149,0,39,1,175104,0,67171,107933,16010196509,0,6297827335,9712369174,91432.50016561586,93758.12977326525,,89985.1683359121,107933.0
