date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-05-23,5,0,181,1,2444880,0,2424880,20000,18656879280,0,18504259280,152620000,7631.0,7631.0,,7631.0,20000.0
2020-05-20,390,2,346,4,12691220,500000,12392483,798737,94028515842,3704500000,91815173409,5917842433,7408.942232661635,7408.940840104441,7409.0,7409.0,298737.0
2020-05-19,13,1,146,0,1076147,400000,1476147,0,7697679491,2861200000,10558879491,0,7153.0,7153.0,7153.0,,-400000.0
2020-05-18,3,0,138,0,1250142,0,1250142,0,8821001952,0,8821001952,0,7056.0,7056.0,,,0.0
2020-05-17,386,1,677,8,27856221,100000,13572249,14383972,190822752468,712500000,94234524320,97300728148,6850.274215874436,6943.176795533297,7125.0,6764.5243016324,14283972.0
2020-05-16,146,0,166,2,5600733,0,3075733,2525000,38969900214,0,21400950214,17568950000,6958.0,6958.0,,6958.0,2525000.0
2020-05-13,109,0,6,1,547619,0,312591,235028,3915475850,0,2235025650,1680450200,7150.0,7150.0,,7150.0,235028.0
2020-05-12,84,0,34,0,408228,0,408228,0,2933118180,0,2933118180,0,7185.0,7185.0,,,0.0
2020-05-11,188,3,193,0,1754716,450000,2204716,0,12958783257,3310200000,16268983257,0,7385.117168248309,7379.174123560586,7356.0,,-450000.0
2020-05-10,624,6,776,3,12170088,1105000,12389109,885979,92301830023,8368635268,94105389012,6565076279,7584.319030643,7595.81572912144,7573.425581900453,7409.968271256994,-219021.0
2020-05-09,1117,30,1250,6,23786234,6864787,22933563,7717458,181202596850,52406913353,175172226920,58437283283,7617.960743596485,7638.247354761229,7634.164520035363,7572.089577034303,852671.0
2020-05-06,101,0,3,1,340091,0,229657,110434,2597955149,0,1754349823,843605326,7639.0,7639.0,,7639.0,110434.0
2020-05-05,136,0,71,0,887037,0,887037,0,6847925640,0,6847925640,0,7720.0,7720.0,,,0.0
2020-05-04,459,1,134,1,2408098,625000,3031598,1500,19163717194,4973750000,24125530194,11937000,7958.030443113195,7958.024181966079,7958.0,7958.0,-623500.0
2020-05-03,1598,7,767,4,14195407,570415,14455207,310615,116396739992,4740121894,118563318340,2573543546,8199.605688797792,8202.118332860955,8309.953093800128,8285.316375577484,-259800.0
2020-05-02,1168,3,690,4,11827747,796461,10393208,2231000,95467094719,6416200753,83996225895,17887069577,8071.452214779366,8081.838244264908,8055.888176571107,8017.5121367099955,1434539.0
2020-04-29,1077,9,572,1,8727630,2053107,10241457,539280,68970864023,16146580880,80834942039,4282502864,7902.587990439558,7892.914263956779,7864.461462554071,7941.149058003263,-1513827.0
2020-04-28,942,4,329,2,11534282,1258641,8298218,4494705,91666125154,10012515457,66025508046,35653132565,7947.276228724077,7956.588757489861,7955.020897142235,7932.251964255719,3236064.0
2020-04-27,844,2,534,3,22472046,275389,18488994,4258441,174223494543,2132051601,142710018179,33645527965,7752.898625385512,7718.6470058349305,7741.963553373592,7900.9026930278005,3983052.0
2020-04-26,653,6,518,1,9812642,767590,9639468,940764,75408320764,5832837678,74026699156,7214459286,7684.813199544017,7679.5419784577325,7598.897429617374,7668.7238095845505,173174.0
2020-04-25,34,0,133,1,2756780,0,1756780,1000000,21031474620,0,13402474620,7629000000,7629.0,7629.0,,7629.0,1000000.0
2020-04-22,37,0,93,0,1234220,0,1234220,0,9124588460,0,9124588460,0,7393.0,7393.0,,,0.0
2020-04-21,94,2,101,2,2346183,615443,2651626,310000,16850286306,4420111626,19043977932,2226420000,7182.0,7182.0,7182.0,7182.0,-305443.0
2020-04-20,324,12,384,1,10921485,1901300,12322785,500000,76151172207,13266763067,85911335274,3506600000,6972.602371106127,6971.746668792809,6977.732639246831,7013.2,-1401300.0
2020-04-19,316,32,478,1,4282678,6804494,10787172,300000,29225311173,46282459734,73467425691,2040345216,6824.073902590855,6810.628929528518,6801.748922697265,6801.15072,-6504494.0
2020-04-18,761,11,339,1,10385805,4305556,14679412,11949,70588288089,29250502425,99757095201,81695313,6796.612115189915,6795.714651308922,6793.664378073355,6837.0,-4293607.0
2020-04-15,169,11,619,4,8511410,2910678,10508888,913200,56446570625,19368089753,69728709302,6085951076,6631.870703561454,6635.2129075883195,6654.15059755837,6664.422991677618,-1997478.0
2020-04-14,163,2,596,0,6431261,280000,6711261,0,41868642589,1830233598,43698876187,0,6510.176245218473,6511.276522698194,6536.548564285714,,-280000.0
2020-04-13,224,14,331,1,3104326,3270000,6074326,300000,20735069962,21808756481,40562014605,1981811838,6679.411235160224,6677.615690201678,6669.344489602447,6606.03946,-2970000.0
2020-04-12,282,4,449,0,8156544,2435773,10592317,0,54442066180,16267282027,70709348207,0,6674.648745841376,6675.531728044015,6678.4885237663775,,-2435773.0
2020-04-11,443,18,405,2,9032702,4538100,13460802,110000,59716911659,30121024963,89105740202,732196420,6611.190279387054,6619.645709222972,6637.3647480223,6656.331090909091,-4428100.0
