date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-07-15,1,0,1,0,13840,0,13840,0,21507360,0,21507360,0,1554.0,1554.0,,,0.0
2020-07-14,1,0,1,0,4613,0,4613,0,7168602,0,7168602,0,1554.0,1554.0,,,0.0
2020-07-01,1,0,1,0,306,0,306,0,484704,0,484704,0,1584.0,1584.0,,,0.0
2020-06-16,1,0,1,0,115,0,115,0,178710,0,178710,0,1554.0,1554.0,,,0.0
2020-06-13,1,0,1,0,230,0,230,0,357420,0,357420,0,1554.0,1554.0,,,0.0
2020-06-09,1,0,1,0,21014,0,21014,0,32655756,0,32655756,0,1554.0,1554.0,,,0.0
2020-06-07,1,0,1,0,922,0,922,0,1432788,0,1432788,0,1554.0,1554.0,,,0.0
2020-05-19,1,0,2,0,460,0,460,0,728640,0,728640,0,1584.0,1584.0,,,0.0
2020-05-09,1,0,1,0,576,0,576,0,912384,0,912384,0,1584.0,1584.0,,,0.0
2020-05-03,1,0,1,0,2306,0,2306,0,3652704,0,3652704,0,1584.0,1584.0,,,0.0
2020-04-29,1,0,2,0,9653,0,9653,0,15000762,0,15000762,0,1554.0,1554.0,,,0.0
2020-04-27,1,0,1,0,922,0,922,0,1460448,0,1460448,0,1584.0,1584.0,,,0.0
2020-04-19,1,0,1,0,500,0,500,0,777000,0,777000,0,1554.0,1554.0,,,0.0
2020-04-15,1,0,1,0,231,0,231,0,365904,0,365904,0,1584.0,1584.0,,,0.0
2020-04-14,2,0,5,0,9846,0,9846,0,15300684,0,15300684,0,1554.0,1554.0,,,0.0
2020-04-04,1,0,1,0,35,0,35,0,54390,0,54390,0,1554.0,1554.0,,,0.0
2020-03-14,1,0,1,0,2420,0,2420,0,3760680,0,3760680,0,1554.0,1554.0,,,0.0
2020-03-09,1,0,1,0,461,0,461,0,716394,0,716394,0,1554.0,1554.0,,,0.0
2020-03-04,1,0,1,0,576,0,576,0,912384,0,912384,0,1584.0,1584.0,,,0.0
2019-09-23,1,0,2,0,460,0,460,0,694140,0,694140,0,1509.0,1509.0,,,0.0
2019-09-21,1,0,1,0,1960,0,1960,0,2957640,0,2957640,0,1509.0,1509.0,,,0.0
2019-02-25,1,0,1,0,135,0,135,0,945000,0,945000,0,7000.0,7000.0,,,0.0
2019-01-21,2,0,1,0,6920,0,6920,0,36330000,0,36330000,0,5250.0,5250.0,,,0.0
2018-07-14,1,0,1,0,500,0,500,0,2750500,0,2750500,0,5501.0,5501.0,,,0.0
2018-06-18,1,0,1,0,1100,0,1100,0,6050000,0,6050000,0,5500.0,5500.0,,,0.0
2018-05-12,1,0,1,0,500,0,500,0,2500000,0,2500000,0,5000.0,5000.0,,,0.0
2017-03-04,1,0,1,0,3000,0,3000,0,10800000,0,10800000,0,3600.0,3600.0,,,0.0
2017-01-03,1,0,1,0,2306,0,2306,0,8301600,0,8301600,0,3600.0,3600.0,,,0.0
2016-12-27,11,0,9,0,28213,0,28213,0,100156150,0,100156150,0,3550.0,3550.0,,,0.0
2016-07-19,15,0,15,0,36845,0,36845,0,184225000,0,184225000,0,5000.0,5000.0,,,0.0
2016-07-05,1,0,1,0,4500,0,4500,0,22950000,0,22950000,0,5100.0,5100.0,,,0.0
2016-04-20,1,0,1,0,473,0,473,0,2365000,0,2365000,0,5000.0,5000.0,,,0.0
2016-04-17,1,0,4,0,5060,0,5060,0,25270000,0,25270000,0,4994.071146245059,4994.071146245059,,,0.0
2016-01-18,1,0,1,0,1400,0,1400,0,6160000,0,6160000,0,4400.0,4400.0,,,0.0
2015-12-16,1,0,1,0,4000,0,4000,0,17600000,0,17600000,0,4400.0,4400.0,,,0.0
2015-12-15,1,0,1,0,500,0,500,0,2140000,0,2140000,0,4280.0,4280.0,,,0.0
2015-11-02,1,0,1,0,73,0,73,0,307330,0,307330,0,4210.0,4210.0,,,0.0
2015-10-27,1,0,1,0,1500,0,1500,0,6300000,0,6300000,0,4200.0,4200.0,,,0.0
2015-10-26,1,0,1,0,3000,0,3000,0,12390000,0,12390000,0,4130.0,4130.0,,,0.0
2015-10-21,2,0,1,0,5500,0,5500,0,21101000,0,21101000,0,3836.5454545454545,3836.5454545454545,,,0.0
2015-09-14,2,0,1,0,11533,0,11533,0,42534130,0,42534130,0,3688.0369374837423,3688.0369374837423,,,0.0
2015-08-18,1,0,1,0,300,0,300,0,990000,0,990000,0,3300.0,3300.0,,,0.0
2015-07-01,8,0,6,0,39772,0,39772,0,198860000,0,198860000,0,5000.0,5000.0,,,0.0
2015-06-23,1,0,1,0,300,0,300,0,1500000,0,1500000,0,5000.0,5000.0,,,0.0
2015-01-19,5,0,5,0,29684,0,29684,0,148420000,0,148420000,0,5000.0,5000.0,,,0.0
2014-12-07,5,0,3,0,36228,0,36228,0,181140000,0,181140000,0,5000.0,5000.0,,,0.0
2014-08-31,2,0,2,0,3691,0,3691,0,18455000,0,18455000,0,5000.0,5000.0,,,0.0
2014-07-13,1,0,1,0,58,0,58,0,290000,0,290000,0,5000.0,5000.0,,,0.0
2014-07-09,15,0,10,0,43364,0,43364,0,216820000,0,216820000,0,5000.0,5000.0,,,0.0
2014-02-24,8,0,3,0,19326,0,19326,0,39270432,0,39270432,0,2032.0,2032.0,,,0.0
2014-02-17,5,0,3,0,25339,0,25339,0,35499939,0,35499939,0,1401.0,1401.0,,,0.0
2014-02-08,1,0,1,0,461,0,461,0,645400,0,645400,0,1400.0,1400.0,,,0.0
