date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,630,0,1658,0,9401723,0,9401723,0,216501481000,0,216501481000,0,23027.851490625708,23027.851490625708,,,0.0
2020-10-18,1653,2,2603,0,19652908,144430,19797338,0,436907452490,3167349900,440074802390,0,22231.185964438442,22228.98868474135,21930.0,,-144430.0
2020-10-14,3176,5,2806,1,34138711,373500,34511511,700,787893403040,8712000000,796589506040,15897000,23079.178444669455,23081.84959041637,23325.301204819276,22710.0,-372800.0
2020-10-11,151,0,275,0,1736877,0,1736877,0,40243440090,0,40243440090,0,23170.0,23170.0,,,0.0
2020-10-10,1328,0,1590,0,19889083,0,19889083,0,438891406620,0,438891406620,0,22066.95032747362,22066.95032747362,,,0.0
2020-10-07,102,0,623,0,2932201,0,2932201,0,61840119090,0,61840119090,0,21090.0,21090.0,,,0.0
2020-10-06,39,0,381,0,2076034,0,2076034,0,42288812580,0,42288812580,0,20370.0,20370.0,,,0.0
2020-10-05,89,1,639,0,3189670,52164,3241834,0,61879598000,1011981600,62891579600,0,19400.0,19400.0,19400.0,,-52164.0
2020-10-03,28,0,505,1,1689651,0,1689339,312,30346131960,0,30340528440,5603520,17960.0,17960.0,,17960.0,312.0
2020-09-30,884,0,1197,0,9954827,0,9954827,0,170327045110,0,170327045110,0,17109.995493643437,17109.995493643437,,,0.0
2020-09-29,990,3,1590,0,13288127,974000,14262127,0,218798728130,16537287250,235336015380,0,16465.731259943557,16500.765655781917,16978.73434291581,,-974000.0
2020-09-28,105,0,10,0,458256,0,458256,0,7171706400,0,7171706400,0,15650.0,15650.0,,,0.0
2020-09-27,917,0,756,0,8057365,0,8057365,0,132695258570,0,132695258570,0,16468.815620243095,16468.815620243095,,,0.0
2020-09-26,734,0,856,1,7545639,0,5045639,2500000,128804057730,0,86129057730,42675000000,17070.0,17070.0,,17070.0,2500000.0
2020-09-23,409,0,603,1,5067976,0,3067976,2000000,82405289760,0,49885289760,32520000000,16260.0,16260.0,,16260.0,2000000.0
2020-09-22,346,0,627,0,5454026,0,5454026,0,84469455240,0,84469455240,0,15487.541724223536,15487.541724223536,,,0.0
2020-09-21,267,0,521,1,5337308,0,5334221,3087,78779339660,0,78734609030,44730630,14760.126202197813,14760.282528601645,,14490.0,3087.0
2020-09-20,577,0,871,0,4756734,0,4756734,0,72530714840,0,72530714840,0,15248.007317625917,15248.007317625917,,,0.0
2020-09-19,768,0,1757,1,9457623,0,9453907,3716,150025807820,0,149966524250,59283570,15862.950745657761,15862.915115412072,,15953.597954790097,3716.0
2020-09-16,609,0,1038,0,9673464,0,9673464,0,148319895960,0,148319895960,0,15332.656012365374,15332.656012365374,,,0.0
2020-09-15,38,0,248,1,2575667,0,717330,1858337,38094114930,0,10609310700,27484804230,14790.0,14790.0,,14790.0,1858337.0
2020-09-14,494,0,1163,0,14205097,0,14205097,0,200194945330,0,200194945330,0,14093.176930083617,14093.176930083617,,,0.0
2020-09-13,53,0,8,0,199483,0,199483,0,2681051520,0,2681051520,0,13440.0,13440.0,,,0.0
