date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,10,0,60,1,95661,0,94661,1000,16907125140,0,16730385140,176740000,176740.0,176740.0,,176740.0,1000.0
2020-10-18,28,0,77,1,183266,0,182266,1000,31450278260,0,31278668260,171610000,171610.0,171610.0,,171610.0,1000.0
2020-10-14,11,0,69,0,107574,0,107574,0,18159566940,0,18159566940,0,168810.0,168810.0,,,0.0
2020-10-13,12,0,64,0,174157,0,174157,0,28631410800,0,28631410800,0,164400.0,164400.0,,,0.0
2020-10-11,19,0,55,0,100541,0,100541,0,16276582490,0,16276582490,0,161890.0,161890.0,,,0.0
2020-09-27,4,0,30,1,34989,0,32989,2000,5635678230,0,5313538230,322140000,161070.0,161070.0,,161070.0,2000.0
2020-09-26,28,0,36,1,269543,0,267543,2000,41754906130,0,41445086130,309820000,154910.0,154910.0,,154910.0,2000.0
2020-09-23,25,0,38,0,139824,0,139824,0,21261637440,0,21261637440,0,152060.0,152060.0,,,0.0
2020-09-22,21,0,59,1,91548,0,81548,10000,13751425080,0,12249325080,1502100000,150210.0,150210.0,,150210.0,10000.0
2020-09-21,20,0,91,0,246811,0,246811,0,35883851290,0,35883851290,0,145390.0,145390.0,,,0.0
2020-09-20,14,0,151,1,185837,0,181735,4102,26360978450,0,25779109750,581868700,141850.0,141850.0,,141850.0,4102.0
2020-09-19,2,0,72,0,47710,0,47710,0,6724724500,0,6724724500,0,140950.0,140950.0,,,0.0
2020-09-16,10,0,77,1,184436,0,179436,5000,25417125160,0,24728075160,689050000,137810.0,137810.0,,137810.0,5000.0
2020-09-15,12,0,58,0,87493,0,87493,0,11928795620,0,11928795620,0,136340.0,136340.0,,,0.0
2020-09-14,11,0,50,0,149442,0,149442,0,20005800540,0,20005800540,0,133870.0,133870.0,,,0.0
2020-09-13,17,0,55,0,167511,0,167511,0,21970742760,0,21970742760,0,131160.0,131160.0,,,0.0
2020-09-12,8,0,33,0,102560,0,102560,0,13283571200,0,13283571200,0,129520.0,129520.0,,,0.0
2020-09-09,24,0,93,1,229804,0,132804,97000,29054119720,0,16790409720,12263710000,126430.0,126430.0,,126430.0,97000.0
2020-09-08,23,0,122,0,246195,0,246195,0,30328762050,0,30328762050,0,123190.0,123190.0,,,0.0
2020-09-07,16,0,106,1,333515,0,83515,250000,39674944400,0,9934944400,29740000000,118960.0,118960.0,,118960.0,250000.0
2020-09-06,19,0,53,1,270774,0,20774,250000,31306889880,0,2401889880,28905000000,115620.0,115620.0,,115620.0,250000.0
2020-09-05,17,0,97,1,292317,0,42317,250000,32774582040,0,4744582040,28030000000,112120.0,112120.0,,112120.0,250000.0
2020-09-02,7,0,160,1,344583,0,94583,250000,37308001410,0,10240501410,27067500000,108270.0,108270.0,,108270.0,250000.0
2020-09-01,1390,2,576,2,4372345,41200,3906934,506611,450895408230,4250981000,400199360170,54947029060,103124.38936771915,102433.09975801998,103179.1504854369,108460.0,465411.0
2020-08-18,32,0,50,0,370312,0,370312,0,38864244400,0,38864244400,0,104950.0,104950.0,,,0.0
2020-08-17,8,0,47,0,246194,0,246194,0,25276737980,0,25276737980,0,102670.0,102670.0,,,0.0
2020-08-16,25,0,50,0,324575,0,324575,0,32376356250,0,32376356250,0,99750.0,99750.0,,,0.0
2020-08-15,20,0,62,0,606984,0,606984,0,57663480000,0,57663480000,0,95000.0,95000.0,,,0.0
2020-08-12,10,0,42,1,204871,0,104871,100000,19151341080,0,9803341080,9348000000,93480.0,93480.0,,93480.0,100000.0
2020-08-11,6,0,33,1,223905,0,23905,200000,20565674250,0,2195674250,18370000000,91850.0,91850.0,,91850.0,200000.0
2020-08-10,18,0,41,2,621294,0,301294,320000,54381863820,0,26372263820,28009600000,87530.0,87530.0,,87530.0,320000.0
2020-08-09,32,0,66,3,621751,0,141751,480000,51866468420,0,11824868420,40041600000,83420.0,83420.0,,83420.0,480000.0
2020-08-05,21,0,35,2,701308,0,101308,600000,55775025240,0,8057025240,47718000000,79530.0,79530.0,,79530.0,600000.0
2020-08-04,8,1,110,2,378269,100000,25244,453025,29111582240,7696000000,1942778240,34864804000,76960.0,76960.0,76960.0,76960.0,353025.0
2020-08-03,3,0,90,0,30535,0,30535,0,2344782650,0,2344782650,0,76790.0,76790.0,,,0.0
2020-08-02,27,0,81,1,330871,0,280871,50000,25443979900,0,21598979900,3845000000,76900.0,76900.0,,76900.0,50000.0
2020-08-01,2,0,38,0,15127,0,15127,0,1109262910,0,1109262910,0,73330.0,73330.0,,,0.0
2020-07-29,2,0,44,0,11282,0,11282,0,826632140,0,826632140,0,73270.0,73270.0,,,0.0
2020-07-28,7,0,39,0,22494,0,22494,0,1645661040,0,1645661040,0,73160.0,73160.0,,,0.0
2020-07-27,3,0,38,0,18789,0,18789,0,1372724340,0,1372724340,0,73060.0,73060.0,,,0.0
2020-07-26,1,0,36,0,9250,0,9250,0,675435000,0,675435000,0,73020.0,73020.0,,,0.0
2020-07-25,1,0,49,0,9070,0,9070,0,661928600,0,661928600,0,72980.0,72980.0,,,0.0
2020-07-22,2,0,46,0,18990,0,18990,0,1384181100,0,1384181100,0,72890.0,72890.0,,,0.0
2020-07-21,4,0,43,0,32776,0,32776,0,2383470720,0,2383470720,0,72720.0,72720.0,,,0.0
2020-07-20,1,0,42,0,23398,0,23398,0,1698694800,0,1698694800,0,72600.0,72600.0,,,0.0
2020-07-19,9,0,42,0,73126,0,73126,0,5282622240,0,5282622240,0,72240.0,72240.0,,,0.0
2020-07-18,1,0,18,0,6656,0,6656,0,480563200,0,480563200,0,72200.0,72200.0,,,0.0
2020-07-08,950,1,428,2,640559,20000,537239,123320,362537177230,11319400000,304061156830,69795420400,565970.0,565970.0,565970.0,565970.0,103320.0
2020-07-05,7,0,93,0,49219,0,49219,0,27168888000,0,27168888000,0,552000.0,552000.0,,,0.0
2020-07-04,9,0,190,0,43441,0,43441,0,23455533540,0,23455533540,0,539940.0,539940.0,,,0.0
2020-07-01,15,0,215,1,105940,0,47940,58000,54477526200,0,24652186200,29825340000,514230.0,514230.0,,514230.0,58000.0
2020-06-30,11,1,195,0,52060,20000,72060,0,25885273200,9944400000,35829673200,0,497220.0,497220.0,497220.0,,-20000.0
2020-06-29,11,0,201,0,70846,0,70846,0,34079759840,0,34079759840,0,481040.0,481040.0,,,0.0
2020-06-28,126,4,1247,0,291790,480000,771790,0,135162140310,218427600000,353589740310,0,463217.1777991021,458142.4225631325,455057.5,,-480000.0
2020-06-27,846,3,674,1,501615,31666,527383,5898,229155383250,14288332520,240583185770,2860530000,456835.18884004664,456183.050591316,451220.0,485000.0,-25768.0
