date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,3,0,23,0,276238,0,276238,0,4858750182,0,4858750182,0,17589.0,17589.0,,,0.0
2020-10-18,1,0,12,0,23609,0,23609,0,415022611,0,415022611,0,17579.0,17579.0,,,0.0
2020-10-14,1,0,12,0,43349,0,43349,0,775426912,0,775426912,0,17888.0,17888.0,,,0.0
2020-10-13,1,0,18,0,84955,0,84955,0,1487647005,0,1487647005,0,17511.0,17511.0,,,0.0
2020-10-12,1,0,13,0,180636,0,180636,0,3149027388,0,3149027388,0,17433.0,17433.0,,,0.0
2020-10-11,1,0,15,0,114989,0,114989,0,1998968776,0,1998968776,0,17384.0,17384.0,,,0.0
2020-10-10,16,0,24,0,592880,0,592880,0,10256231120,0,10256231120,0,17299.0,17299.0,,,0.0
2020-10-07,7,0,49,0,462816,0,462816,0,7766052480,0,7766052480,0,16780.0,16780.0,,,0.0
2020-09-29,5,0,25,0,36489,0,36489,0,604403796,0,604403796,0,16564.0,16564.0,,,0.0
2020-09-28,46,0,30,0,901557,0,901557,0,14641285680,0,14641285680,0,16240.0,16240.0,,,0.0
2020-09-27,5,0,18,0,42742,0,42742,0,679896994,0,679896994,0,15907.0,15907.0,,,0.0
2020-09-26,30,0,34,0,604713,0,604713,0,9445012347,0,9445012347,0,15619.0,15619.0,,,0.0
2020-09-23,24,0,31,0,205211,0,205211,0,3186721619,0,3186721619,0,15529.0,15529.0,,,0.0
2020-09-22,65,0,34,0,346874,0,346874,0,5334310718,0,5334310718,0,15378.237394558255,15378.237394558255,,,0.0
2020-09-21,114,0,51,0,930144,0,930144,0,14024484254,0,14024484254,0,15077.75597541886,15077.75597541886,,,0.0
2020-09-20,54,0,72,0,978761,0,978761,0,14491497332,0,14491497332,0,14805.961140666619,14805.961140666619,,,0.0
2020-09-19,2,0,23,0,261756,0,261756,0,3773212740,0,3773212740,0,14415.0,14415.0,,,0.0
2020-09-16,58,0,73,0,413678,0,413678,0,5887783973,0,5887783973,0,14232.770350369128,14232.770350369128,,,0.0
2020-09-15,60,0,39,0,740556,0,740556,0,10372557730,0,10372557730,0,14006.446143168107,14006.446143168107,,,0.0
2020-09-14,3,0,25,0,90898,0,90898,0,1294114826,0,1294114826,0,14237.0,14237.0,,,0.0
2020-09-13,38,0,27,0,202405,0,202405,0,2810847456,0,2810847456,0,13887.243180751464,13887.243180751464,,,0.0
2020-09-12,8,0,25,0,156441,0,156441,0,2163579030,0,2163579030,0,13830.0,13830.0,,,0.0
2020-09-09,60,1,85,1,865887,1475,601834,265528,11741482704,19442500,8147089124,3613836080,13560.063500202683,13537.10346042264,13181.35593220339,13610.0,264053.0
2020-09-08,160,1,177,0,921519,169945,1091464,0,12278105652,2286927802,14565033454,0,13323.768312970216,13344.492767512258,13456.870175645061,,-169945.0
2020-09-07,1,0,35,1,190338,0,179772,10566,2607059586,0,2462337084,144722502,13697.0,13697.0,,13697.0,10566.0
2020-09-06,1,0,19,0,53583,0,53583,0,732908274,0,732908274,0,13678.0,13678.0,,,0.0
2020-09-05,2,0,21,1,85985,0,80985,5000,1173351310,0,1105121310,68230000,13646.0,13646.0,,13646.0,5000.0
2020-09-02,27,1,31,0,309008,94108,403116,0,4211151024,1282503824,5493654848,0,13627.967638378295,13627.975193244625,13628.0,,-94108.0
2020-09-01,1,0,29,0,141105,0,141105,0,1879095285,0,1879095285,0,13317.0,13317.0,,,0.0
2020-08-31,24,0,21,0,151419,0,151419,0,2008573035,0,2008573035,0,13265.0,13265.0,,,0.0
2020-08-26,2,0,19,0,213101,0,213101,0,2811441493,0,2811441493,0,13193.0,13193.0,,,0.0
2020-08-25,3,0,23,0,121128,0,121128,0,1619481360,0,1619481360,0,13370.0,13370.0,,,0.0
2020-08-24,1,0,27,0,94819,0,94819,0,1240327339,0,1240327339,0,13081.0,13081.0,,,0.0
