date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,21,0,2,0,206652,0,206652,0,4369036584,0,4369036584,0,21142.0,21142.0,,,0.0
2020-10-18,26,0,34,0,245121,0,245121,0,5224263873,0,5224263873,0,21313.0,21313.0,,,0.0
2020-10-14,495,0,438,0,5965654,0,5965654,0,131076097127,0,131076097127,0,21971.79003794052,21971.79003794052,,,0.0
2020-10-13,91,0,107,0,1694668,0,1694668,0,37058999824,0,37058999824,0,21868.0,21868.0,,,0.0
2020-10-12,53,0,125,0,1289258,0,1289258,0,27373525856,0,27373525856,0,21232.0,21232.0,,,0.0
2020-10-11,377,0,463,0,4968520,0,4968520,0,102423285207,0,102423285207,0,20614.44559083993,20614.44559083993,,,0.0
2020-10-10,654,1,370,0,6198303,10051,6208354,0,127434983208,199009800,127633993008,0,20559.65692674269,20558.427081960854,19800.0,,-10051.0
2020-10-07,167,0,203,1,3500481,0,3487151,13330,70925098014,0,70656511844,268586170,20261.529205272076,20261.959359947417,,20149.0,13330.0
2020-10-05,21,0,5,0,271455,0,271455,0,5634591435,0,5634591435,0,20757.0,20757.0,,,0.0
2020-10-04,17,0,3,0,178713,0,178713,0,3731170014,0,3731170014,0,20878.0,20878.0,,,0.0
2020-10-03,20,0,2,0,262259,0,262259,0,5522387763,0,5522387763,0,21057.0,21057.0,,,0.0
2020-09-30,35,0,5,0,193140,0,193140,0,4025617020,0,4025617020,0,20843.0,20843.0,,,0.0
2020-09-22,11,0,85,0,908741,0,908741,0,19431608803,0,19431608803,0,21383.0,21383.0,,,0.0
2020-09-21,38,0,100,0,868543,0,868543,0,17783417925,0,17783417925,0,20475.0,20475.0,,,0.0
2020-09-20,35,0,237,0,2209026,0,2209026,0,43913227854,0,43913227854,0,19879.0,19879.0,,,0.0
2020-09-19,59,0,250,0,1167991,0,1167991,0,22542785631,0,22542785631,0,19300.478882970845,19300.478882970845,,,0.0
2020-09-16,230,0,415,0,3467001,0,3467001,0,65140502974,0,65140502974,0,18788.717676747136,18788.717676747136,,,0.0
2020-09-15,239,0,389,0,2924397,0,2924397,0,54942241498,0,54942241498,0,18787.545431759096,18787.545431759096,,,0.0
2020-09-14,39,0,23,0,714791,0,714791,0,13502401990,0,13502401990,0,18890.0,18890.0,,,0.0
2020-09-13,63,0,34,0,335104,0,335104,0,6391773696,0,6391773696,0,19074.0,19074.0,,,0.0
2020-09-12,380,0,258,0,3721347,0,3721347,0,73171168368,0,73171168368,0,19662.54917050197,19662.54917050197,,,0.0
2020-09-09,318,0,230,0,4692328,0,4692328,0,89978554464,0,89978554464,0,19175.674518916836,19175.674518916836,,,0.0
2020-09-08,218,0,311,0,3367085,0,3367085,0,62694800243,0,62694800243,0,18619.904232592882,18619.904232592882,,,0.0
2020-09-07,148,0,290,0,2824963,0,2824963,0,51153801513,0,51153801513,0,18107.777522395867,18107.777522395867,,,0.0
2020-09-06,119,0,262,0,2908100,0,2908100,0,52769093680,0,52769093680,0,18145.556782779135,18145.556782779135,,,0.0
2020-09-05,345,0,262,0,5994993,0,5994993,0,112068581908,0,112068581908,0,18693.69687470861,18693.69687470861,,,0.0
2020-09-02,60,0,143,0,1395958,0,1395958,0,25685846750,0,25685846750,0,18400.157275505422,18400.157275505422,,,0.0
2020-09-01,77,0,235,0,1412855,0,1412855,0,25258843662,0,25258843662,0,17877.873994146605,17877.873994146605,,,0.0
2020-08-31,155,0,294,0,3197984,0,3197984,0,56320689515,0,56320689515,0,17611.310599114942,17611.310599114942,,,0.0
2020-08-26,146,0,164,1,3697019,0,3693019,4000,64248243150,0,64180023150,68220000,17378.391387764033,17378.741660955442,,17055.0,4000.0
2020-08-25,181,0,225,1,3724027,0,3424027,300000,63116052244,0,58080527576,5035524668,16948.333683939454,16962.637145092605,,16785.082226666666,300000.0
2020-08-24,210,0,131,0,4049586,0,4049586,0,70074152000,0,70074152000,0,17304.028609344263,17304.028609344263,,,0.0
2020-08-23,354,0,494,2,11637001,0,11517001,120000,203738981648,0,201656661648,2082320000,17507.859769712144,17509.47678549303,,17352.666666666668,120000.0
2020-08-22,7,0,86,1,965155,0,910155,55000,16692355725,0,15741130725,951225000,17295.0,17295.0,,17295.0,55000.0
2020-08-19,2,0,91,1,853915,0,828915,25000,14486667975,0,14062542975,424125000,16965.0,16965.0,,16965.0,25000.0
2020-08-18,3,0,91,1,499506,0,424506,75000,8477615832,0,7204715832,1272900000,16972.0,16972.0,,16972.0,75000.0
2020-08-17,6,0,74,1,416318,0,391318,25000,6865916456,0,6453616456,412300000,16492.0,16492.0,,16492.0,25000.0
2020-08-16,16,0,82,1,1322231,0,1278613,43618,21171562772,0,20473151356,698411416,16012.0,16012.0,,16012.0,43618.0
2020-08-15,22,0,105,0,892124,0,892124,0,13999209808,0,13999209808,0,15692.0,15692.0,,,0.0
2020-08-12,126,0,196,0,2314073,0,2314073,0,35254521749,0,35254521749,0,15234.835611927541,15234.835611927541,,,0.0
2020-08-11,101,0,155,0,1367858,0,1367858,0,21365840424,0,21365840424,0,15619.925770072625,15619.925770072625,,,0.0
2020-08-10,137,0,132,0,814037,0,814037,0,12946921676,0,12946921676,0,15904.586248536614,15904.586248536614,,,0.0
2020-08-09,241,0,244,0,1429564,0,1429564,0,23357584689,0,23357584689,0,16338.956974993775,16338.956974993775,,,0.0
2020-08-05,211,1,262,1,2003873,377,1954970,49280,32128654002,6028230,31343738232,790944000,16033.278557074225,16032.848704583703,15990.0,16050.0,48903.0
2020-08-04,282,0,293,1,2543716,0,2358716,185000,39638886887,0,36764907668,2873979219,15583.0630805483,15586.830999577736,,15535.022805405406,185000.0
2020-08-03,136,0,145,0,1519529,0,1519529,0,24335308487,0,24335308487,0,16015.033926302163,16015.033926302163,,,0.0
2020-08-02,275,1,234,0,2540418,35878,2576296,0,41894219834,586928202,42481148036,0,16491.073450904536,16489.2341702972,16359.0,,-35878.0
2020-08-01,255,1,325,0,1879244,119406,1998650,0,31722135460,1983560122,33705695582,0,16880.264329698537,16864.231147024242,16611.896571361573,,-119406.0
2020-07-29,139,1,196,0,1213411,50000,1263411,0,20778933031,853300000,21632233031,0,17124.398106659657,17122.08697803011,17066.0,,-50000.0
2020-07-28,142,0,312,0,1650751,0,1650751,0,29041101537,0,29041101537,0,17592.66027220338,17592.66027220338,,,0.0
2020-07-27,195,1,266,0,1325834,101895,1427729,0,23761796986,1818112485,25579909471,0,17922.150877108295,17916.501990924047,17843.0,,-101895.0
2020-07-26,314,0,339,0,3080238,0,3080238,0,56657817960,0,56657817960,0,18393.9740890152,18393.9740890152,,,0.0
2020-07-25,165,2,269,0,1134495,285765,1420260,0,20341199437,5137286547,25478485984,0,17929.73916764728,17939.31110078436,17977.31194163036,,-285765.0
2020-07-22,137,1,197,0,1238656,205293,1443949,0,21630359951,3575382888,25205742839,0,17462.766055305106,17456.117105936566,17416.0,,-205293.0
2020-07-21,228,0,296,3,3362004,0,3061334,300670,60361836789,0,54976235749,5385601040,17954.12402513501,17958.261251140844,,17912.0,300670.0
2020-07-20,435,0,357,0,3357408,0,3357408,0,61993112658,0,61993112658,0,18464.57524912075,18464.57524912075,,,0.0
2020-07-19,190,0,174,1,1965370,0,1960370,5000,35956444150,0,35864969150,91475000,18295.0,18295.0,,18295.0,5000.0
2020-07-18,261,0,219,1,1914912,0,1904912,10000,34015317864,0,33837677864,177640000,17763.384356043516,17763.381124167416,,17764.0,10000.0
2020-07-15,71,0,169,0,1139327,0,1139327,0,19768462777,0,19768462777,0,17351.0,17351.0,,,0.0
2020-07-14,40,0,146,0,778212,0,778212,0,13012482852,0,13012482852,0,16721.0,16721.0,,,0.0
2020-07-13,28,0,187,0,536093,0,536093,0,8854648081,0,8854648081,0,16517.0,16517.0,,,0.0
2020-07-12,150,0,196,0,1289484,0,1289484,0,20684402040,0,20684402040,0,16040.836520654773,16040.836520654773,,,0.0
2020-07-11,558,0,451,2,5303607,0,5300889,2718,82599685160,0,82557330725,42354435,15574.246953064207,15574.242494985276,,15582.941501103753,2718.0
2020-07-08,335,0,533,2,6239656,0,5852448,387208,95686554051,0,89754143441,5932410610,15335.229065672851,15336.171024672069,,15320.991844176773,387208.0
2020-07-07,428,0,468,0,3435445,0,3435445,0,54205954343,0,54205954343,0,15778.437536621894,15778.437536621894,,,0.0
2020-07-06,622,1,538,0,4083286,1993,4085279,0,64759581356,32298558,64791879914,0,15859.67315441534,15859.842109682106,16206.0,,-1993.0
2020-07-05,439,0,496,1,3239777,0,3225985,13792,51546762943,0,51325263423,221499520,15910.58981621266,15909.95104533964,,16060.0,13792.0
2020-07-04,411,0,533,0,3001131,0,3001131,0,48270270309,0,48270270309,0,16084.02642503776,16084.02642503776,,,0.0
2020-07-01,390,1,607,0,4061866,1000,4062866,0,65709585083,15930000,65725515083,0,16177.191734783964,16177.13089306908,15930.0,,-1000.0
