date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-07-04,13008,3,5137,1,7553230,3947,7557102,75,1264456141030,660776680,1265104384460,12533250,167406.01584090514,167406.0221047698,167412.38408918167,167110.0,-3872.0
2020-07-01,6206,2,4615,1,5163554,91,5163585,60,851223337120,15072500,851228581620,9828000,164852.21944420453,164852.24541089186,165631.86813186813,163800.0,-31.0
2020-06-30,10134,4,8986,5,11074963,9138,11053474,30627,1815068434870,1501935470,1811471860640,5098509700,163889.34526192097,163882.5821311924,164361.50908295033,166471.07780716362,21489.0
2020-06-29,1441,0,134,0,496453,0,496453,0,83175735620,0,83175735620,0,167540.0,167540.0,,,0.0
2020-06-28,2413,0,1029,1,1251396,0,1246352,5044,220689086010,0,219808756690,880329320,176354.31630754774,176361.69933534026,,174530.0,5044.0
2020-06-27,6815,2,3488,2,5688582,1646,5646846,43382,1045011577940,314066000,1037561133580,7764510360,183703.35136946256,183741.70883711014,190805.5893074119,178980.0,41736.0
2020-06-24,3320,5,1521,0,2542579,21507,2564086,0,479050412200,4014850250,483065262450,0,188411.220339663,188396.6693979843,186676.4425535872,,-21507.0
2020-06-23,16526,6,11884,4,21757330,19845,21753395,23780,3960234020140,3700485470,3959507861390,4426644220,182018.38277674696,182017.92692083237,186469.41143864952,186149.88309503783,3935.0
2020-06-22,868,0,59,0,231437,0,231437,0,42327512930,0,42327512930,0,182890.0,182890.0,,,0.0
2020-06-21,906,0,44,0,160939,0,160939,0,30460924530,0,30460924530,0,189270.0,189270.0,,,0.0
2020-06-20,972,1,52,0,265356,50,265406,0,52866875880,9961500,52876837380,0,199230.0,199230.0,199230.0,,-50.0
2020-06-16,758,0,24,0,146942,0,146942,0,30312665180,0,30312665180,0,206290.0,206290.0,,,0.0
2020-06-14,371,0,35,0,67226,0,67226,0,14337961280,0,14337961280,0,213280.0,213280.0,,,0.0
2020-06-09,185,0,11,0,57028,0,57028,0,12928247600,0,12928247600,0,226700.0,226700.0,,,0.0
2020-06-08,195,0,20,0,32616,0,32616,0,7458137697,0,7458137697,0,228665.00174760853,228665.00174760853,,,0.0
2020-06-07,386,0,11,0,47715,0,47715,0,11032662300,0,11032662300,0,231220.0,231220.0,,,0.0
2020-06-06,283,0,14,0,40710,0,40710,0,9508105470,0,9508105470,0,233557.0,233557.0,,,0.0
2020-06-02,205,0,2,0,40911,0,40911,0,9653155005,0,9653155005,0,235955.0,235955.0,,,0.0
2020-05-27,5682,5,2512,4,3703497,16684,3257785,462396,919828759511,4162227095,808626872982,115364113624,248367.62646520304,248213.70132835655,249474.17256053703,249492.02333930225,445712.0
2020-05-26,10157,5,3447,3,7275979,81723,7343451,14251,1729336623497,18957368900,1745072318518,3221673879,237677.51714195436,237636.54425119743,231971.0350819231,226066.51315697143,-67472.0
2020-05-23,272,0,651,0,519840,0,519840,0,122868342720,0,122868342720,0,236358.0,236358.0,,,0.0
2020-05-20,106,0,550,0,415151,0,415151,0,93451735553,0,93451735553,0,225103.0,225103.0,,,0.0
2020-05-19,49,0,358,0,213858,0,213858,0,46349016624,0,46349016624,0,216728.0,216728.0,,,0.0
2020-05-18,39,0,348,0,199419,0,199419,0,41716460610,0,41716460610,0,209190.0,209190.0,,,0.0
2020-05-17,178,0,486,0,399420,0,399420,0,79576047180,0,79576047180,0,199229.0,199229.0,,,0.0
