date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,379,2,834,2,883406,82002,849884,115524,56211701172,5185844500,54111076420,7286469252,63630.65359755311,63668.77882158036,63240.46364722812,63073.20774903916,33522.0
2020-10-18,238,1,974,1,1011873,3122,1014957,38,65634218499,206012790,65837785343,2445946,64864.08719177209,64867.56122968756,65987.44074311339,64367.0,-3084.0
2020-10-14,256,1,295,1,310497,250000,560459,38,20744058329,16655750000,37397276655,2531674,66809.20694563877,66726.15954958346,66623.0,66623.0,-249962.0
2020-10-13,530,0,960,2,631795,0,590820,40975,44336962529,0,41427734829,2909227700,70176.1845677791,70119.04612064589,,71000.0658938377,40975.0
2020-10-12,587,2,1298,2,1401417,133746,1384945,150218,98241142676,9150030370,97104238616,10286934430,70101.2922463478,70114.14793800475,68413.48802954855,68480.03854398275,16472.0
2020-10-11,249,1,636,3,708461,108757,667180,150038,48096000368,7383295216,45293515840,10185779744,67888.0,67888.0,67888.0,67888.0,41281.0
2020-10-10,200,2,780,3,590123,84479,474564,200038,38415438010,5511102447,30851288697,13075251760,65097.34074082861,65009.75357802109,65236.35988825625,65363.839670462614,115559.0
2020-10-07,220,1,924,12,740791,150000,690373,200418,46114010755,9339450000,42974834821,12478625934,62249.690877723944,62248.7189113711,62263.0,62263.0,50418.0
2020-10-05,265,2,908,3,812734,119144,731640,200238,48112697748,7146667938,43348061648,11911304038,59198.57880684209,59247.80171669127,59983.44807963473,59485.73216871922,81094.0
2020-10-04,396,1,679,2,680327,40000,718298,2029,40242890170,2368000000,42484126460,126763710,59152.27555278564,59145.54469036528,59200.0,62475.95367175949,-37971.0
2020-10-03,381,1,801,2,674687,150,624799,50038,40970990412,9148650,37930071176,3050067886,60725.92240846496,60707.63745780643,60991.0,60955.031895759224,49888.0
2020-09-30,389,1,1152,0,917548,2064,919612,0,53780624539,118706280,53899330819,0,58613.41808711915,58610.94768119598,57512.732558139534,,-2064.0
2020-09-29,285,1,586,1,705008,1936,706943,1,42292592437,116181296,42408713722,60011,59988.812094330846,59988.87282567336,60011.0,60011.0,-1935.0
2020-09-28,52,0,7,0,38039,0,38039,0,2282758429,0,2282758429,0,60011.0,60011.0,,,0.0
2020-09-27,169,1,83,0,149757,162000,311757,0,9177133580,9927360000,19104493580,0,61280.16439966078,61280.078971763265,61280.0,,-162000.0
2020-09-26,399,0,773,2,794259,0,792928,1331,51233500761,0,51144891891,88608870,64504.77836700623,64501.30641243594,,66573.15552216378,1331.0
2020-09-23,420,1,809,4,597205,1000,597925,280,39710316441,64500000,39756403142,18413299,66493.6101355481,66490.61862608186,64500.0,65761.78214285715,-720.0
2020-09-22,428,3,909,2,866266,160887,780647,246506,57222796882,10781073598,51742898231,16260972249,66056.84268111642,66282.0688877303,67010.22206890551,65965.82739973874,85619.0
2020-09-21,287,2,838,1,452017,240570,692548,39,29858426587,16071930663,45927763750,2593500,66055.98149405885,66317.08379780174,66807.70945255019,66500.0,-240531.0
2020-09-20,366,2,1839,2,595628,59612,654621,619,40669422741,4073126773,44699876383,42673131,68279.90413647445,68283.59674223712,68327.29606455076,68938.82229402261,-58993.0
2020-09-19,524,2,2007,4,641538,196971,813234,25275,45871251929,14173856800,58192798992,1852309737,71502.00288837138,71557.26272143073,71959.1046397693,73286.24083086054,-171696.0
2020-09-16,630,4,2083,6,1270299,104783,1343410,31672,93357360036,7644597596,98673552533,2328405099,73492.42976338642,73450.06552951073,72956.468091198,73516.20039782774,-73111.0
2020-09-15,590,4,1046,7,839558,116893,750871,205580,59485650676,8195546914,53030170302,14651027288,70853.53325916732,70624.87471483118,70111.52861163628,71266.79291759898,88687.0
2020-09-14,666,5,1374,3,867136,319994,1184425,2705,58799567061,21778562809,80392869690,185260180,67808.93315581408,67875.01926251134,68059.28488971668,68488.0517560074,-317289.0
2020-09-13,607,5,928,3,1128088,270529,1398503,114,76979443729,18466907159,95438393574,7957314,68238.86410368695,68243.25265945085,68262.20907555197,69801.0,-270415.0
2020-09-12,590,1,1240,30,704166,132252,833987,2431,50354070429,9493839983,59672991901,174918511,71508.80677141469,71551.46531180941,71785.98420439767,71953.31591937474,-129821.0
2020-09-09,806,0,1427,4,1157824,0,1142728,15096,83378054375,0,82264150855,1113903520,72012.71900997043,71989.26678527174,,73787.9915209327,15096.0
2020-09-08,46,0,1,0,26515,0,26515,0,1900462625,0,1900462625,0,71675.0,71675.0,,,0.0
2020-09-07,93,2,39,0,37541,2419,39960,0,2699535769,173947871,2873483640,0,71909.0,71909.0,71909.0,,-2419.0
2020-09-06,604,2,1160,0,1015855,1483,1017338,0,76890785943,114831009,77005616952,0,75690.70974007116,75693.24742809175,77431.56372218476,,-1483.0
