date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,310,11,144,9,134775934,28417289,26099867,137093356,1358773011930,286581594180,263251383120,1382103222990,10081.718386978495,10086.31128733338,10084.76192714935,10081.474867315963,108676067.0
2020-10-18,263,5,125,11,75153632,34190000,55749088,53594544,757755660710,344649100000,562102098290,540302662420,10082.75502519958,10082.713788788797,10080.406551623282,10081.299738645039,19404544.0
2020-10-14,174,12,154,11,63849293,33127575,33754220,63222648,642791397930,333421644840,339693492450,636519550320,10067.32209125636,10063.734029404324,10064.77669554744,10067.903994150956,30095073.0
2020-10-13,234,11,200,10,90037407,159082702,102701144,146418965,904403874550,1598525832670,1031757392120,1471172315100,10044.75700360851,10046.211287772998,10048.395033358183,10047.689622037691,-12663737.0
2020-10-12,240,14,223,13,76440148,75566599,93379035,58627712,766909938380,758288657710,936839447440,588359148650,10032.815980157442,10032.6529122945,10034.706705670318,10035.51270515213,-16938887.0
2020-10-11,348,14,320,17,99194668,237609338,168020464,168783542,994360066320,2380938853990,1683943321040,1691355599270,10024.32979885572,10022.251343383981,10020.392607591879,10020.856176071953,-68825796.0
2020-10-10,231,7,185,5,76490231,42792000,108870796,10411435,767433722130,429194978700,1092121297780,104507403050,10033.09458079686,10031.352189066387,10029.794791082446,10037.752053391296,-32380565.0
2020-10-07,406,22,236,12,135100333,77935544,117152925,95882952,1355245140480,781894648790,1175059581490,962080207780,10031.397483528039,10030.134386230648,10032.580882350678,10033.902666868245,17947408.0
2020-10-06,250,15,156,8,67565530,157882993,82302884,143145639,687103614920,1606150643730,837688272120,1455565986530,10169.44017045378,10178.11565533961,10173.0440575699,10168.42704184652,-14737354.0
2020-10-05,135,6,187,8,62600305,58695626,66305477,54990454,637427068150,597663094790,675140314980,559949847960,10182.491413580174,10182.270689041268,10182.412822209273,10182.67366841525,-3705172.0
2020-10-03,205,10,190,16,102769661,53200611,72565650,83404622,1043376875270,539902779610,736594083370,846685571510,10152.576792775448,10150.726733240865,10148.431934550526,10151.542578899285,30204011.0
2020-09-30,308,10,130,9,143643804,52591518,59965234,136270088,1458435571910,533794888150,608758275870,1383472184190,10153.139441433896,10151.853586863348,10149.828498009889,10152.427465886718,83678570.0
2020-09-29,280,6,121,10,131659034,16615554,35442286,112832302,1338267996320,168651687130,360368766390,1146550917060,10164.649972443212,10167.763061050859,10150.22954576176,10161.548570195793,96216748.0
2020-09-28,272,7,124,7,91327394,25963687,63833188,53457893,927881097810,263961465140,648491205680,543351357270,10159.942785731957,10159.15428945833,10166.5632134604,10164.099757354821,27494206.0
2020-09-27,285,11,111,11,171074594,61387820,26643597,205818817,1735207014550,622658373000,270406190110,2087459197440,10142.984846423193,10149.012166412816,10143.02793290265,10142.217450603654,144430997.0
2020-09-26,262,11,136,12,144170756,32870500,45965517,131075739,1460936529430,333062175000,465889469460,1328109234970,10133.376351511954,10135.629921447418,10132.555787103938,10132.380294800398,98205239.0
2020-09-23,194,11,140,12,96372278,55019419,37530165,113861532,974934200270,556564175040,379769816350,1151728558960,10116.334494759998,10119.05533455555,10115.777032105701,10115.168298982662,58842113.0
2020-09-22,187,19,130,8,91692917,94974734,60947258,125720393,926961256080,960384712210,616487828150,1270858140140,10109.409607723572,10115.103589237764,10112.00212690251,10108.607758965563,30745659.0
2020-09-21,196,19,116,12,70444691,149958157,56678367,163724481,712131488220,1515807951460,572989766200,1654949673480,10109.086690720242,10109.496736206249,10108.20606084136,10108.138156076977,13766324.0
2020-09-19,148,8,257,14,107561179,78755600,67744695,118572084,1085899541390,795223293000,684082764730,1197040069660,10095.645580363152,10097.953274865287,10097.3555277339,10095.46285498364,39816484.0
2020-09-16,204,12,326,18,97063423,201015414,90006884,208071953,978091668490,2024246904610,906610406390,2095728166710,10076.830573860969,10072.678511901378,10070.107880433488,10072.131954805076,7056539.0
2020-09-15,345,15,336,15,39201314,304242985,242965002,100479297,394670479100,3061363607190,2445018404790,1011015681500,10067.786990507511,10063.253491916503,10062.232354149432,10061.930285001894,-203763688.0
2020-09-14,226,15,252,10,35665628,189733778,195864102,29535304,359847774430,1914141112230,1975998891300,297989995360,10089.483758143835,10088.622014563955,10088.562681917398,10089.281470067144,-160198474.0
2020-09-13,306,14,143,10,133085041,129297688,98618324,163764405,1344191508330,1305136787920,995860441930,1653467854320,10100.244912799779,10098.12782794808,10094.045826403331,10096.625419424936,34466717.0
2020-09-12,246,12,247,14,66844883,80891396,75001175,72735104,675157411190,817290312030,757722495660,734725227560,10100.360429832752,10102.808331469474,10103.550593069256,10101.384161903447,-8156292.0
2020-09-09,414,17,196,13,120217645,166821804,111878867,175160582,1214704579550,1680713334710,1130411303180,1765006611080,10104.212069284837,10103.885867739436,10074.902047636411,10076.505746481249,8338778.0
2020-09-08,314,8,119,4,54571932,8107919,46652468,16027383,552605358680,82056474400,472307584950,162354248130,10126.182790816349,10123.957106620812,10120.534553934247,10129.80398172303,7919464.0
2020-09-07,509,22,129,5,204865861,218538238,59164989,364239110,2064227860000,2201364293720,596640318080,3668951835640,10075.997288782048,10084.347654995761,10073.130971798171,10072.921152371584,145700872.0
2020-09-06,403,25,149,10,227181491,82264900,82322149,227124242,2284502702410,826932782000,827957781450,2283477702960,10055.848706486393,10057.533622573434,10052.073022637844,10053.870440479004,144859342.0
