date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,18,0,3,0,14588,0,14588,0,427603456,0,427603456,0,29312.0,29312.0,,,0.0
2020-10-18,36,0,1,0,20284,0,20284,0,607647788,0,607647788,0,29957.0,29957.0,,,0.0
2020-10-14,57,0,3,0,44143,0,44143,0,1325217003,0,1325217003,0,30021.0,30021.0,,,0.0
2020-10-13,94,2,81,1,241237,201880,377255,65862,7407458428,6188821517,11577675507,2018604438,30706.145524940202,30689.256622178633,30655.9417327125,30649.0,-136018.0
2020-10-12,342,3,256,4,1234107,304262,1365039,173330,38895422964,9710478620,43105215194,5500686390,31517.058864425857,31578.010001179453,31914.858312901382,31735.339468066693,-130932.0
2020-10-11,344,3,385,2,2346768,469250,2777212,38806,72825950926,14470731500,86077908588,1218773838,31032.445868530678,30994.36002292947,30838.0,31406.840127815285,-430444.0
2020-10-10,56,0,4,0,74092,0,74092,0,2250989052,0,2250989052,0,30381.0,30381.0,,,0.0
2020-10-07,122,3,87,1,303454,250145,433790,119809,9683948669,7976623760,13840103037,3820469392,31912.410675094085,31905.076274234078,31888.0,31888.0,-130336.0
2020-10-05,8,0,2,0,14507,0,14507,0,462947384,0,462947384,0,31912.0,31912.0,,,0.0
2020-10-04,18,1,3,0,16469,50000,66469,0,527287973,1600850000,2128137973,0,32017.0,32017.0,32017.0,,-50000.0
2020-10-03,43,0,1,0,74734,0,74734,0,2358081902,0,2358081902,0,31553.0,31553.0,,,0.0
2020-09-30,14,0,2,0,16319,0,16319,0,526173517,0,526173517,0,32243.0,32243.0,,,0.0
2020-09-29,7,0,1,0,3531,0,3531,0,113871219,0,113871219,0,32249.0,32249.0,,,0.0
2020-09-28,2,0,2,0,340,0,340,0,10965000,0,10965000,0,32250.0,32250.0,,,0.0
2020-09-27,12,0,2,0,43306,0,43306,0,1372800200,0,1372800200,0,31700.0,31700.0,,,0.0
2020-09-26,8,1,1,0,34461,155,34616,0,1117363464,5025720,1122389184,0,32424.0,32424.0,32424.0,,-155.0
2020-09-23,21,0,2,0,22364,0,22364,0,725980168,0,725980168,0,32462.0,32462.0,,,0.0
2020-09-22,11,1,6,0,3897,300000,303897,0,128534751,9894900000,10023434751,0,32983.0,32983.0,32983.0,,-300000.0
2020-09-21,12,1,10,0,8854,200000,208854,0,291296600,6580000000,6871296600,0,32900.0,32900.0,32900.0,,-200000.0
2020-09-20,9,0,2,0,10855,0,10855,0,364858260,0,364858260,0,33612.0,33612.0,,,0.0
2020-09-19,24,0,10,0,40319,0,40319,0,1358064877,0,1358064877,0,33683.0,33683.0,,,0.0
2020-09-16,184,12,215,5,528813,463400,896348,95865,18384114689,16069129623,31072889312,3380355000,34764.869034989686,34666.09989870006,34676.58528916703,35261.61790017212,-367535.0
2020-09-15,411,14,389,2,1551207,970099,2421171,100135,55030324715,34276856088,85776742538,3530438265,35475.80994348272,35427.791980822505,35333.35885100387,35256.78598891496,-869964.0
2020-09-14,50,1,46,7,155040,500000,535240,119800,5753689440,18555500000,19863291640,4445897800,37111.0,37111.0,37111.0,37111.0,-380200.0
2020-09-13,26,1,45,0,38252,200000,238252,0,1440073044,7529400000,8969473044,0,37647.0,37647.0,37647.0,,-200000.0
2020-09-12,122,0,166,0,524256,0,524256,0,20346673377,0,20346673377,0,38810.56845701337,38810.56845701337,,,0.0
2020-09-09,47,0,4,0,61829,0,61829,0,2359456469,0,2359456469,0,38161.0,38161.0,,,0.0
2020-09-08,8,0,2,0,31477,0,31477,0,1229019465,0,1229019465,0,39045.0,39045.0,,,0.0
2020-09-07,10,0,3,0,21807,0,21807,0,852675507,0,852675507,0,39101.0,39101.0,,,0.0
