date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,17,1,14,2,107550,1597846,296386,1409010,1235439780,18350269992,3403048376,16182661396,11487.120223152022,11481.812150371476,11484.379591024417,11485.128846495058,-188836.0
2020-10-18,11,1,8,1,130498,79192,90984,118706,1498464582,909124160,1044530006,1363058736,11482.663197903415,11480.37024092148,11480.0,11482.643977558,39514.0
2020-10-14,13,0,13,0,26719,0,26719,0,306502720,0,306502720,0,11471.339496238632,11471.339496238632,,,0.0
2020-10-13,16,2,11,2,68985,87150500,78816,87140669,791020008,998869625066,903833679,998756811395,11466.55081539465,11467.64209043849,11461.433096379253,11461.431531986516,-9831.0
2020-10-12,8,1,13,2,16528,8086483,1102136,7000875,189219119,92571983992,12616272986,80144930125,11448.397809777347,11447.110870164843,11447.74359780389,11447.844751548913,-1085608.0
2020-10-11,13,2,21,2,32724,4960719,1309205,3684238,356700815,56753755187,14961819432,42148636570,10900.281597604206,11428.171624764647,11440.630922049808,11440.2589002122,-1276481.0
2020-10-10,9,1,15,1,40140,489550,486590,43100,457923224,5592248650,5558083424,492088450,11408.15206776283,11422.51880227707,11423.243080379942,11417.365429234338,-446450.0
2020-10-07,12,1,16,1,146125,1826591,1162419,810297,1666151612,20841176310,13261839152,9245488770,11402.23515483319,11408.828616875671,11409.87572477911,11410.0,-1016294.0
2020-10-06,0,1,1,0,0,100000,100000,0,0,1139000000,1139000000,0,,11390.0,11390.0,,-100000.0
2020-10-05,5,2,7,1,146876,2800000,202266,2744610,1671627206,31867400000,2305200052,31233827154,11381.214126201694,11396.873681192093,11381.214285714286,11380.060246811023,-55390.0
2020-10-04,13,1,12,2,216756,1014624,678870,552510,2463164763,11538629971,7715016124,6286778610,11363.767383601838,11364.497067185175,11372.321146552811,11378.578867350818,-462114.0
2020-10-03,14,1,18,1,158586,2890000,3005398,43188,1798956561,32873776688,34182549449,490183800,11343.728708713254,11373.718039673946,11375.009234602076,11350.0,-2846812.0
2020-09-30,14,1,12,2,538197,708500,668742,577955,6115933250,8057395000,7604080540,6569247710,11363.744595380502,11370.723746975666,11372.470007057163,11366.365391769255,-130545.0
2020-09-29,10,1,9,1,1842116,100000,570235,1371881,20916688290,1135700000,6473114011,15579274279,11354.707461419368,11351.660299701001,11357.0,11356.141151455557,1271881.0
2020-09-28,16,1,5,2,139222,270000,32337,376885,1581243548,3065850000,367394890,4279698658,11357.713206246139,11361.44014596283,11355.0,11355.449694203802,106885.0
2020-09-27,11,1,13,2,259659,501000,193705,566954,2946055585,5684676880,2198560470,6432171995,11345.863555663389,11350.045016907152,11346.660439121757,11345.13910299601,65954.0
2020-09-26,7,1,12,1,73386,320000,131115,262271,831390072,3630181168,1487708297,2973862943,11329.001062873027,11346.591137551004,11344.31615,11338.89352234902,-57729.0
2020-09-23,19,1,14,2,5523477,480000,538620,5464857,62592549375,5430297000,6102192280,61920654095,11332.091973045239,11329.30875199584,11313.11875,11330.699795987342,4984857.0
2020-09-22,16,1,13,1,248584,200000,444639,3945,2812116533,2260997005,5028444303,44669235,11312.540360602452,11309.049145486564,11304.985025,11323.0,-196055.0
2020-09-21,18,1,5,2,1009418,850000,858535,1000883,11405492036,9605600000,9701092944,11309999092,11299.077325746122,11299.589351628065,11300.70588235294,11300.021173303972,150883.0
2020-09-20,14,1,30,2,1806970,17844749,14643469,5008250,20396111930,201298764260,165101535690,56593340500,11287.465718855321,11274.755707817594,11280.56013900784,11300.023061947786,-12836499.0
2020-09-19,3,1,11,0,130491,29335,159826,0,1475282700,331397495,1806680195,0,11305.627974343059,11304.044366999111,11297.0,,-29335.0
2020-09-16,8,1,20,0,43684,700000,743684,0,492421960,7893200000,8385621960,0,11272.364252357842,11275.786436174505,11276.0,,-700000.0
2020-09-15,10,1,24,0,14558,10407947,10422505,0,163800334,117318871920,117482672254,0,11251.568484681962,11272.018795289616,11272.047399933916,,-10407947.0
2020-09-14,22,1,21,2,331800,14545000,9797230,5079570,3742479551,163947312432,110416792383,57272999600,11279.323541289934,11270.205188915643,11271.729971261602,11275.166913734824,-9465430.0
2020-09-13,23,1,15,3,17217144,10000500,73512,27144132,194003750491,112605629500,828483837,305780896154,11268.056449490114,11270.04893078681,11259.9999500025,11265.08286041344,17143632.0
2020-09-12,13,1,15,2,114790,9202416,21108,9296098,1292512481,103563999328,237255532,104619256277,11259.80033975085,11240.076369149137,11254.001050159002,11254.104278698438,93682.0
2020-09-09,21,1,22,1,282187,2024502,2287141,19548,3173071053,22763450488,25716586993,219934548,11244.568505990708,11243.98845239537,11243.975302568237,11251.0,-2004954.0
2020-09-08,27,0,12,1,1025567,0,125567,900000,11532298064,0,1411798064,10120500000,11244.802205999218,11243.384519818104,,11245.0,900000.0
2020-09-07,42,1,12,1,2021085,12361,72072,1961374,22709407389,138838387,809670816,22038574960,11236.245575520079,11234.193806193805,11231.970471644689,11236.29402653446,1949013.0
2020-09-06,29,1,13,2,15990099,262605,302825,15949879,179410852773,2949054150,3400866000,178959040923,11220.121449717102,11230.466441013787,11230.0,11220.087683611895,15687274.0
