date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,36,2,0,1,102351,520000,0,622351,888816084,4515680000,0,5404496084,8684.0,,8684.0,8684.0,102351.0
2020-10-18,134,2,122,0,990817,160000,1150817,0,8755506861,1402400000,10157906861,0,8836.653853335178,8826.691699027735,8765.0,,-160000.0
2020-10-14,216,3,154,2,1200939,1920000,1411011,1709928,10882211393,17332651231,12785792812,15429069812,9061.418933850928,9061.440918603754,9027.422516145833,9023.227768654586,-210072.0
2020-10-13,181,3,196,0,1346237,310438,1656675,0,12503588825,2903964207,15407553032,0,9287.806548921179,9300.287040004829,9354.409598696036,,-310438.0
2020-10-12,173,10,260,0,1047878,1355154,2403032,0,10002042855,13034479588,23036522443,0,9545.045181786429,9586.440148529025,9618.448964471934,,-1355154.0
2020-10-11,293,5,290,1,1654658,1295934,2949107,1485,16038393581,12538040463,28562088944,14345100,9692.875253375621,9684.995811952567,9674.906641078944,9660.0,-1294449.0
2020-10-10,220,3,195,1,1677572,864205,1781777,760000,15752603594,8157552931,16769591472,7140565053,9390.120718514616,9411.722944004778,9439.372522723197,9395.480332894736,-104205.0
2020-10-07,215,4,223,1,1240895,1280000,2020895,500000,11890866281,12218090688,19358865954,4750091015,9582.49189576878,9579.35268977359,9545.38335,9500.18203,-780000.0
2020-10-06,55,0,37,1,278772,0,228772,50000,2714465316,0,2237811986,476653330,9737.223666652319,9781.843870753413,,9533.0666,50000.0
2020-10-05,203,2,202,1,1822941,100000,1917941,5000,16762896502,931395000,17646791502,47500000,9195.523333997096,9200.904252007753,9313.95,9500.0,-95000.0
2020-10-04,157,3,188,0,1646136,190000,1836136,0,15579763360,1843358384,17423121744,0,9464.444833233707,9489.014835502381,9701.886231578947,,-190000.0
2020-10-03,257,1,226,1,1855998,50000,1878721,27277,18192435032,486984200,18406691233,272727999,9801.969092639109,9797.458607744311,9739.684,9998.460204567951,-22723.0
2020-09-30,152,2,261,2,998885,1363120,2199212,162793,9522691854,13047177940,21028564424,1541305370,9533.321507480841,9561.863260113169,9571.554918128999,9467.88479848642,-1200327.0
2020-09-29,168,3,308,2,1199952,3029952,4079904,150000,11441645592,29131764419,39082910011,1490500000,9535.086063442537,9579.370007480567,9614.596013072154,9936.666666666666,-2879952.0
2020-09-28,22,1,4,0,38194,50000,88194,0,364141596,476700000,840841596,0,9534.0,9534.0,9534.0,,-50000.0
2020-09-27,79,1,63,0,435784,50000,485784,0,4178499283,500986874,4679486157,0,9588.464200154205,9632.853607776296,10019.73748,,-50000.0
2020-09-26,172,2,292,0,1946405,450000,2396405,0,19348656122,4451355037,23800011159,0,9940.714353898598,9931.547947446279,9891.900082222222,,-450000.0
2020-09-23,205,2,334,1,2614931,361996,2786425,190502,26793969198,3704087633,28549792877,1948263954,10246.530098882151,10246.029545744099,10232.399344191648,10227.0,-171494.0
2020-09-22,217,3,306,0,2116110,738195,2854305,0,21241843335,7539106506,28780949841,0,10038.156492337355,10083.347729482308,10212.892942921586,,-738195.0
2020-09-21,137,4,210,0,716619,1691515,2408134,0,7242520987,17074445221,24316966208,0,10106.515438468698,10097.845970365437,10094.173105766133,,-1691515.0
2020-09-20,153,3,223,2,3210756,970000,4138110,42646,33882636084,10230000000,43639747344,472888740,10552.852999106752,10545.816168250723,10546.39175257732,11088.70093326455,-927354.0
2020-09-19,499,2,722,2,5666638,714300,6276284,104654,62855238123,7637533006,69363117213,1129653916,11092.156958499907,11051.621821606543,10692.332361752766,10794.178110726776,-609646.0
2020-09-16,134,16,463,4,5459694,7182475,5402169,7240000,59480107605,78248971140,58849278745,78879800000,10894.403167100574,10893.638970754155,10894.430003585116,10895.0,57525.0
2020-09-15,139,5,237,3,2008854,5971931,1180785,6800000,20835363398,61982671849,12240835247,70577200000,10371.765891398778,10366.69270612347,10379.0,10379.0,828069.0
2020-09-14,284,4,593,2,4276365,2753737,6400102,630000,41679843048,27809301194,63289724242,6199420000,9746.558829286088,9888.861809077418,10098.749878437919,9840.349206349207,-2123737.0
2020-09-13,209,1,226,0,2089627,40000,2129627,0,19682771867,379360000,20062131867,0,9419.275242423648,9420.490943719253,9484.0,,-40000.0
2020-09-12,346,5,260,1,2387529,332071,2709093,10507,23437572479,3250350640,26581802419,106120700,9816.665045325104,9812.06714535086,9788.119528655017,10100.0,-321564.0
2020-09-09,318,1,452,0,3677165,550000,4227165,0,35972496488,5470911118,41443407606,0,9782.67129378203,9804.066698602965,9947.111123636363,,-550000.0
