date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,71,2,23,1,988738,2200814,653858,2535694,11043863370,24568368180,7302986100,28309245450,11169.656036280592,11169.070501546208,11163.309657245001,11164.298787629737,334880.0
2020-10-18,30,21,38,2,2613579,2874975,1802393,3686161,29179867560,32098135050,20115702370,41162300240,11164.716107682225,11160.552870544881,11164.665797093889,11166.712533717327,811186.0
2020-10-14,32,25,22,10,119779,2506096,1232491,1393384,1337466130,27939375430,13739564960,15537276600,11166.115345761778,11147.801452505535,11148.565509860755,11150.749972728265,-1112712.0
2020-10-13,42,14,36,7,4396174,67875338,3391428,68880084,48974330420,755472129680,37752370230,766694089870,11140.216565586348,11131.703291356915,11130.289026037704,11130.853003460332,1004746.0
2020-10-12,35,20,36,8,669384,67113588,5107293,62675679,7461699360,746983563950,56861290460,697583972850,11147.11340575813,11133.351945933002,11130.139010746974,11130.058484886937,-4437909.0
2020-10-11,42,2,35,6,1738352,38852327,18722783,21867896,19346474650,432037876240,208213082290,243171268600,11129.204355619575,11120.840437556746,11120.0,11120.01212187949,-16984431.0
2020-10-10,23,4,42,0,875598,2713427,3589025,0,9748608930,30175530240,39924139170,0,11133.658288392618,11123.951259743246,11120.818890650089,,-2713427.0
2020-10-07,41,1,42,2,2893275,3067685,5630729,330231,32146700550,34051303500,62529245970,3668758080,11110.834797936594,11105.000075478682,11100.0,11109.671956902896,-2737454.0
2020-10-06,37,15,40,9,6238927,38755589,3027547,41966969,69305211960,430586005280,33613352530,466277864710,11108.514646829495,11102.503951218594,11110.294447595674,11110.591873099056,3211380.0
2020-10-05,35,12,24,5,1546992,5025738,1662051,4910679,17135707370,55723758460,18410389760,54449076070,11076.79119866166,11076.910251249812,11087.67676707381,11087.891525795108,-115059.0
2020-10-03,31,1,34,6,211307,3564566,242023,3533850,2346905810,39531036940,2687239850,39190702900,11106.616486912408,11103.241634059574,11090.0,11090.086704302672,-30716.0
