date,open,high,low,adjClose,value,volume,count,close
2020-07-22,15500.0,15500.0,15500.0,15500.0,3874996280000,249999760,5235505,15500.0
2020-07-25,16270.0,16270.0,16270.0,15570.0,5023720440,308772,6616,16270.0
2020-07-26,16340.0,16340.0,16340.0,16340.0,53022956860,3244979,6771,16340.0
2020-07-27,17150.0,17150.0,17150.0,17150.0,55732972400,3249736,7371,17150.0
2020-07-28,18000.0,18000.0,18000.0,18000.0,58438260000,3246570,8228,18000.0
2020-07-29,18900.0,18900.0,18900.0,18900.0,61493266800,3253612,13587,18900.0
2020-08-01,19840.0,19840.0,19840.0,19840.0,65019132160,3277174,10472,19840.0
2020-08-02,20830.0,20830.0,20830.0,20830.0,55662467580,2672226,10918,20830.0
2020-08-03,21870.0,21870.0,21870.0,21870.0,58489346700,2674410,9682,21870.0
2020-08-04,22960.0,22960.0,22960.0,22960.0,61003434240,2656944,10920,22960.0
2020-08-05,24100.0,24100.0,24100.0,23700.0,41611469700,1726617,9010,24100.0
2020-08-11,24880.0,24880.0,24880.0,23860.0,7014916000,281950,6240,24880.0
2020-08-12,25050.0,25050.0,25050.0,25050.0,52971481500,2114630,4507,25050.0
2020-08-15,26300.0,26300.0,26300.0,26080.0,43316599700,1647019,5998,26300.0
2020-08-16,27380.0,27380.0,27380.0,27380.0,55316142560,2020312,4870,27380.0
2020-08-17,28740.0,28740.0,28740.0,28740.0,59456880900,2068785,11389,28740.0
2020-08-18,30170.0,30170.0,30170.0,30170.0,61352022480,2033544,20461,30170.0
2020-08-19,31670.0,31670.0,31670.0,31670.0,65358614130,2063739,28769,31670.0
2020-08-22,33250.0,33250.0,33250.0,33250.0,76829112500,2310650,32996,33250.0
2020-08-23,34910.0,34910.0,31590.0,31750.0,830618939280,26157184,47715,31590.0
2020-08-24,30170.0,30180.0,30170.0,30170.0,345623356800,11455862,52605,30170.0
2020-08-25,31670.0,31670.0,31330.0,31670.0,579667078070,18303352,92605,31670.0
2020-08-26,31800.0,33250.0,31670.0,32800.0,671294476510,20468456,55818,33250.0
2020-08-31,34440.0,34440.0,31400.0,33630.0,1786892161190,53139361,187871,34430.0
2020-09-01,33640.0,34790.0,32000.0,33520.0,992256944850,29599542,165210,33400.0
2020-09-02,32000.0,33300.0,31850.0,32080.0,140043211360,4365711,17942,31850.0
2020-09-05,31850.0,33000.0,30480.0,30900.0,513896727420,16632625,97483,31330.0
2020-09-06,31400.0,32000.0,29360.0,30460.0,250588646840,8226373,37705,29360.0
2020-09-07,28940.0,28940.0,28940.0,30110.0,10385813560,358874,673,28940.0
2020-09-08,28610.0,28610.0,28610.0,29910.0,5871029490,205209,423,28610.0
2020-09-09,28420.0,29690.0,28420.0,28660.0,813385479200,28385080,97440,28450.0
2020-09-12,28810.0,29900.0,27380.0,28510.0,543138425450,19052035,69894,27690.0
2020-09-13,27110.0,28000.0,27090.0,27170.0,63633640930,2342145,6140,27090.0
2020-09-14,25820.0,28000.0,25820.0,26340.0,709705078110,26941585,72139,25890.0
2020-09-15,26230.0,27650.0,26200.0,27390.0,519151223690,18955721,62110,27650.0
2020-09-16,28000.0,28490.0,26030.0,26930.0,334314398740,12415486,48290,26030.0
2020-09-19,25590.0,25590.0,25590.0,26230.0,24741870630,966857,907,25590.0
2020-09-20,24920.0,24920.0,24920.0,25910.0,11242633080,451149,643,24920.0
2020-09-21,24620.0,24620.0,24620.0,25780.0,4662240160,189368,324,24620.0
2020-09-22,24500.0,24500.0,24500.0,25520.0,9340674000,381252,606,24500.0
2020-09-23,24250.0,24250.0,24250.0,25010.0,17958822500,740570,1359,24250.0
2020-09-26,23760.0,23760.0,23760.0,24850.0,6198960240,260899,463,23760.0
2020-09-27,23610.0,23610.0,23610.0,24770.0,3138288420,132922,213,23610.0
2020-09-28,23540.0,23540.0,23540.0,24720.0,2038093200,86580,113,23540.0
2020-09-29,23490.0,23490.0,23490.0,24660.0,2328587190,99131,192,23490.0
2020-09-30,23430.0,23430.0,23430.0,24520.0,5347827210,228247,277,23430.0
2020-10-03,23300.0,23300.0,23300.0,23890.0,24347055400,1044938,1349,23300.0
2020-10-04,22700.0,22700.0,22700.0,23700.0,7363267100,324373,409,22700.0
2020-10-05,22520.0,22520.0,22520.0,23600.0,3964533400,176045,280,22520.0
2020-10-06,22420.0,24780.0,22420.0,23780.0,441608596710,18571629,133490,24780.0
2020-10-07,24770.0,24960.0,22700.0,24290.0,525536829680,21635592,112834,24960.0
2020-10-10,24300.0,25000.0,23080.0,23900.0,338423533550,14158216,73240,24230.0
2020-10-11,23950.0,25080.0,23010.0,24290.0,307561183870,12663673,62469,23150.0
2020-10-12,23080.0,23080.0,23080.0,23080.0,69982045080,3032151,11365,23080.0
2020-10-13,22100.0,23110.0,21930.0,22040.0,206428647460,9365900,40016,21940.0
2020-10-14,21800.0,21870.0,20940.0,21000.0,171664052190,8174804,35994,20940.0
2020-10-18,20020.0,20830.0,19950.0,20030.0,108837150790,5434089,27060,19950.0
2020-10-19,19030.0,19030.0,19030.0,19600.0,19406051830,1019761,4279,19030.0
