date,open,high,low,adjClose,value,volume,count,close
2003-08-26,301.0,301.0,301.0,301.0,301000,1000,1,301.0
2003-09-03,331.0,331.0,331.0,331.0,3310000,10000,4,331.0
2003-09-06,364.0,364.0,364.0,364.0,3640000,10000,1,364.0
2003-09-08,400.0,400.0,400.0,400.0,4000000,10000,1,400.0
2003-09-09,440.0,440.0,440.0,440.0,4400000,10000,1,440.0
2003-09-13,484.0,484.0,484.0,484.0,4840000,10000,1,484.0
2003-09-21,532.0,600.0,532.0,532.0,1317174608,2198441,17,532.0
2003-10-08,585.0,585.0,585.0,585.0,4680000,8000,8,585.0
2003-10-22,643.0,643.0,592.0,592.0,456020,710,4,592.0
2003-10-27,651.0,651.0,651.0,651.0,3515400,5400,1,651.0
2003-10-28,683.0,683.0,653.0,653.0,348030,510,2,653.0
2003-10-29,685.0,685.0,685.0,685.0,3699000,5400,4,685.0
2003-11-01,719.0,719.0,688.0,688.0,366380,510,2,688.0
2003-11-04,722.0,722.0,698.0,698.0,1176620,1630,2,698.0
2003-11-05,732.0,732.0,698.0,698.0,80180,110,2,698.0
2003-11-09,732.0,732.0,716.0,716.0,2203160,3010,4,716.0
2003-11-15,1080.0,1080.0,716.0,716.0,2344305920,2170657,2,716.0
2003-11-17,751.0,751.0,723.0,723.0,908430,1210,3,723.0
2003-11-18,759.0,1900.0,723.0,723.0,2060353830,1084463,3,723.0
2003-11-23,759.0,759.0,759.0,759.0,4554000,6000,7,759.0
2003-12-03,796.0,796.0,759.0,759.0,87190,110,2,759.0
2003-12-08,796.0,796.0,765.0,765.0,803650,1010,2,765.0
2003-12-13,803.0,803.0,773.0,773.0,930377,1159,3,773.0
2004-06-16,851.0,855.0,851.0,851.0,1497960,1760,3,851.0
2004-06-20,893.0,893.0,893.0,893.0,6429600,7200,3,893.0
2004-06-21,937.0,937.0,929.0,929.0,5631290,6010,4,929.0
2004-06-22,975.0,975.0,975.0,975.0,7020000,7200,3,975.0
2004-06-23,1023.0,1023.0,976.0,976.0,292108,286,2,976.0
2004-06-26,1024.0,1024.0,976.0,976.0,55840,55,2,976.0
2004-06-27,1024.0,1024.0,1022.0,1022.0,7178220,7010,3,1022.0
2004-06-28,1073.0,1073.0,1071.0,1071.0,7521710,7010,2,1071.0
2004-06-29,1124.0,1124.0,1074.0,1074.0,516540,460,2,1074.0
2004-06-30,1127.0,1127.0,1125.0,1125.0,7900250,7010,3,1125.0
2004-07-03,1181.0,1181.0,1179.0,1179.0,8278790,7010,3,1179.0
2004-07-05,1237.0,1237.0,1235.0,1235.0,8671350,7010,3,1235.0
2004-07-06,1296.0,1296.0,1294.0,1294.0,9084940,7010,3,1294.0
2004-07-07,1358.0,1358.0,1358.0,1358.0,10703756,7882,4,1358.0
2004-07-11,1425.0,1425.0,1367.0,1367.0,1438670,1010,2,1367.0
2004-07-14,1435.0,1435.0,1370.0,1370.0,599180,418,2,1370.0
2004-07-18,1438.0,1438.0,1436.0,1436.0,10150822,7059,5,1436.0
