date,open,high,low,adjClose,value,volume,count,close
2019-05-06,755.0,758.0,680.0,702.0,11445619934,16315209,2572,720.0
2019-05-07,685.0,734.0,641.0,682.0,10126102120,14854490,850,669.0
2019-05-08,652.0,749.0,652.0,727.0,18913857871,26020971,1444,740.0
2019-05-11,753.0,799.0,727.0,765.0,17175176575,22444801,1298,766.0
2019-05-12,788.0,790.0,715.0,736.0,8851874128,12029317,651,730.0
2019-05-13,750.0,799.0,750.0,771.0,11194195582,14509668,724,770.0
2019-05-14,790.0,800.0,740.0,763.0,11430807167,14973085,870,748.0
2019-05-15,750.0,751.0,722.0,735.0,4443606626,6047426,400,738.0
2019-05-18,733.0,742.0,700.0,716.0,6557447222,9155342,609,709.0
2019-05-19,682.0,713.0,682.0,702.0,3173503638,4519437,361,705.0
2019-05-20,692.0,699.0,650.0,669.0,3247241110,4855887,362,680.0
2019-05-21,674.0,697.0,657.0,668.0,3932824240,5888764,421,667.0
2019-05-22,668.0,676.0,649.0,656.0,7982387864,12162729,647,660.0
2019-05-25,651.0,660.0,630.0,644.0,1595728334,2478442,233,645.0
2019-05-26,632.0,693.0,632.0,681.0,7263126540,10667644,842,686.0
2019-05-28,706.0,725.0,675.0,689.0,12034585639,17468384,868,689.0
2019-05-29,719.0,719.0,666.0,677.0,2693091349,3979564,332,674.0
2019-06-01,685.0,744.0,666.0,729.0,13667683851,18749643,878,744.0
2019-06-02,769.0,801.0,750.0,797.0,25928862259,32525783,1218,801.0
2019-06-03,830.0,876.0,820.0,863.0,21692535154,25130959,1038,876.0
2019-06-08,928.0,949.0,891.0,943.0,11361485588,12045453,449,949.0
2019-06-09,1037.0,1037.0,1037.0,1037.0,904327257,872061,67,1037.0
2019-06-10,1140.0,1140.0,1004.0,1131.0,48865627798,43198100,1583,1140.0
2019-06-11,1180.0,1233.0,1050.0,1184.0,37474211141,31654294,1752,1200.0
2019-06-12,1240.0,1302.0,1215.0,1295.0,30360089852,23445901,1202,1302.0
2019-06-15,1380.0,1380.0,1356.0,1369.0,309874680,226286,13,1356.0
2019-06-17,1352.0,1385.0,1217.0,1289.0,15945186047,12365473,658,1217.0
2019-06-18,1161.0,1161.0,1161.0,1161.0,1948912650,1678650,100,1161.0
2019-06-19,1045.0,1080.0,1045.0,1051.0,19452978162,18513714,780,1045.0
2019-06-23,1100.0,1100.0,990.0,1001.0,15254026550,15236287,684,990.0
2019-06-24,964.0,1087.0,964.0,1028.0,20702444061,20132765,1293,1056.0
2019-06-25,1042.0,1081.0,980.0,1011.0,22220760232,21987635,1094,993.0
2019-06-26,1000.0,1000.0,939.0,960.0,15379922344,16019608,1019,960.0
2019-07-09,1090.0,1199.0,1075.0,1116.0,27406856423,24555919,1495,1104.0
2019-07-10,1110.0,1110.0,1015.0,1048.0,19522586757,18626709,852,1039.0
2019-07-13,1012.0,1068.0,1010.0,1035.0,9247362593,8933061,544,1026.0
2019-07-14,1053.0,1089.0,1020.0,1062.0,6161398167,5801889,483,1068.0
2019-07-15,1083.0,1084.0,1008.0,1026.0,3405157973,3318957,349,1045.0
2019-07-16,1057.0,1057.0,924.0,946.0,5370029411,5674366,421,954.0
2019-07-17,1009.0,1020.0,931.0,994.0,4261489056,4286814,286,1009.0
2019-07-20,1038.0,1038.0,940.0,974.0,3286341851,3374946,309,941.0
2019-07-21,980.0,980.0,940.0,958.0,2107200075,2199548,208,965.0
2019-07-22,980.0,980.0,899.0,927.0,3882274536,4188091,513,919.0
2019-07-23,939.0,940.0,835.0,857.0,5435172804,6341097,529,870.0
2019-07-24,896.0,896.0,860.0,878.0,1526531328,1738084,242,881.0
2019-07-27,894.0,894.0,850.0,874.0,3296662892,3771471,369,872.0
2019-07-28,866.0,900.0,848.0,862.0,3567035156,4136616,393,856.0
2019-07-29,883.0,900.0,860.0,875.0,4192979499,4793327,305,860.0
2019-07-30,880.0,880.0,849.0,860.0,5345532238,6216126,380,858.0
2019-07-31,858.0,933.0,841.0,890.0,12335737032,13866396,880,918.0
2020-01-21,4700.0,4700.0,4700.0,4700.0,3757024900,799367,80,4700.0
2020-01-22,4900.0,5000.0,4900.0,4905.0,5155898800,1051236,148,5000.0
2020-01-25,5395.0,5395.0,5300.0,5395.0,9059098803,1679219,301,5395.0
2020-01-26,5934.0,5934.0,5400.0,5616.0,5496690014,978743,195,5400.0
2020-01-27,5700.0,5700.0,5700.0,5700.0,1472384100,258313,55,5700.0
2020-01-28,5800.0,5800.0,5600.0,5693.0,281002300,49360,23,5600.0
2020-02-01,6262.0,6262.0,5124.0,5443.0,312395600,57391,20,5500.0
