date,open,high,low,adjClose,value,volume,count,close
2006-07-25,551.0,674.0,406.0,521.0,51227596,98302,13,521.0
2006-07-26,541.0,541.0,541.0,541.0,2380400,4400,2,541.0
2006-07-29,562.0,562.0,561.0,561.0,130130262,231551,52,561.0
2006-07-30,582.0,583.0,569.0,576.0,72579358,125872,35,576.0
2006-07-31,573.0,583.0,570.0,578.0,19397980,33554,13,578.0
2006-08-01,570.0,570.0,555.0,555.0,32507160,58560,16,555.0
2006-08-02,540.0,540.0,533.0,533.0,12205744,22895,11,533.0
2006-08-05,512.0,512.0,512.0,512.0,6103040,11920,3,512.0
2006-08-06,492.0,492.0,492.0,492.0,1071576,2178,3,492.0
2006-08-09,473.0,473.0,473.0,473.0,8429806,17822,2,473.0
2006-08-13,455.0,455.0,455.0,455.0,455000,1000,3,455.0
2006-08-14,437.0,437.0,437.0,437.0,2622000,6000,3,437.0
2006-08-15,420.0,420.0,420.0,420.0,420000,1000,1,420.0
2006-08-16,404.0,404.0,404.0,404.0,2424000,6000,3,404.0
2006-08-19,388.0,388.0,388.0,388.0,42777000,110250,31,388.0
2006-08-20,373.0,400.0,373.0,376.0,178227002,473082,78,376.0
2006-08-21,391.0,391.0,391.0,391.0,7625282,19502,8,391.0
2006-08-23,406.0,406.0,406.0,406.0,4920720,12120,7,406.0
2006-08-26,422.0,422.0,422.0,422.0,6137568,14544,5,422.0
2006-08-27,438.0,438.0,438.0,438.0,375804,858,1,438.0
2006-08-28,455.0,455.0,455.0,455.0,9029020,19844,6,455.0
2006-08-29,473.0,473.0,437.0,465.0,188777382,405370,77,465.0
2006-08-30,447.0,465.0,447.0,447.0,148031275,330695,84,447.0
2006-09-02,447.0,464.0,430.0,441.0,158570988,358759,74,441.0
2006-09-03,458.0,458.0,458.0,458.0,59548244,130018,33,458.0
2006-09-04,476.0,476.0,450.0,471.0,122453090,259955,61,471.0
2006-09-05,454.0,473.0,453.0,453.0,23155650,51050,19,453.0
2006-09-06,440.0,450.0,435.0,439.0,114700190,260960,69,439.0
2006-09-10,439.0,440.0,422.0,427.0,102681959,240455,62,427.0
2006-09-11,417.0,420.0,410.0,410.0,101104000,246000,63,410.0
2006-09-12,394.0,408.0,394.0,400.0,123012473,307245,75,400.0
2006-09-13,400.0,416.0,400.0,407.0,83687582,205460,62,407.0
2006-09-16,417.0,419.0,400.0,408.0,117727534,287978,72,408.0
2006-09-17,394.0,410.0,393.0,396.0,85869785,216532,57,396.0
2006-09-18,383.0,383.0,381.0,381.0,76206945,199845,57,381.0
2006-09-19,382.0,382.0,366.0,371.0,82094446,220841,59,371.0
2006-09-20,358.0,358.0,357.0,357.0,62723398,175664,44,357.0
2006-09-23,343.0,371.0,343.0,355.0,246482240,693458,207,355.0
2006-09-24,355.0,369.0,341.0,351.0,315964517,899106,244,351.0
2006-11-05,400.0,450.0,400.0,400.0,1191254000,2975010,138,400.0
2006-11-06,400.0,400.0,400.0,400.0,428478400,1071196,46,400.0
2014-03-15,850.0,884.0,850.0,874.0,324750048,371780,58,884.0
2014-03-16,908.0,943.0,876.0,928.0,4250648442,4581566,667,943.0
2014-03-17,1002.0,1002.0,1002.0,1002.0,925593492,923746,77,1002.0
2014-03-18,1082.0,1082.0,1050.0,1081.0,5920350124,5478835,582,1082.0
2014-03-19,1120.0,1149.0,1051.0,1084.0,3921857955,3616981,453,1061.0
