date,open,high,low,adjClose,value,volume,count,close
2005-08-20,1900.0,1900.0,1900.0,1900.0,1482950000,780500,1454,1900.0
2005-08-21,1995.0,1995.0,1995.0,1995.0,1473307500,738500,403,1995.0
2005-08-22,2094.0,2094.0,2092.0,2093.0,9787663124,4674161,1017,2093.0
2005-08-23,2197.0,2197.0,2150.0,2192.0,3003714759,1373597,316,2192.0
2005-08-24,2192.0,2301.0,2170.0,2280.0,2579902248,1131245,799,2280.0
2005-08-27,2350.0,2394.0,2348.0,2390.0,1352817726,565835,240,2390.0
2005-08-28,2469.0,2500.0,2400.0,2448.0,7481766048,3055116,933,2448.0
2005-08-29,2413.0,2480.0,2330.0,2390.0,4211407174,1762089,511,2390.0
2005-08-30,2343.0,2370.0,2276.0,2315.0,2389874848,1032112,452,2315.0
2005-08-31,2347.0,2445.0,2347.0,2421.0,1112224853,459262,192,2421.0
2005-09-03,2542.0,2542.0,2383.0,2498.0,2786365851,1115339,370,2498.0
2005-09-04,2400.0,2420.0,2374.0,2385.0,885014387,371057,159,2385.0
2005-09-05,2329.0,2360.0,2312.0,2342.0,812448615,346814,178,2342.0
2005-09-06,2282.0,2334.0,2260.0,2291.0,808846284,352966,169,2291.0
2005-09-07,2290.0,2405.0,2290.0,2393.0,2748647468,1148374,357,2393.0
2005-09-10,2463.0,2490.0,2361.0,2426.0,850862143,350691,121,2426.0
2005-09-11,2420.0,2440.0,2352.0,2399.0,498815267,207897,81,2399.0
2005-09-12,2368.0,2368.0,2280.0,2289.0,731996152,319749,104,2289.0
2005-09-13,2292.0,2345.0,2255.0,2289.0,1109065779,484436,164,2289.0
2005-09-14,2378.0,2378.0,2250.0,2265.0,781884151,345174,135,2265.0
2005-09-17,2323.0,2378.0,2299.0,2342.0,1573675971,671268,182,2342.0
2005-09-18,2300.0,2300.0,2225.0,2229.0,1337707840,600081,189,2229.0
2005-09-19,2230.0,2317.0,2200.0,2251.0,1630840476,724384,221,2251.0
2005-09-21,2251.0,2251.0,2203.0,2211.0,399313906,180544,73,2211.0
2005-09-24,2263.0,2321.0,2255.0,2297.0,855344612,372321,127,2297.0
2005-09-25,2203.0,2203.0,2183.0,2185.0,183315090,83890,35,2185.0
2005-09-26,2076.0,2093.0,2076.0,2078.0,1398348032,672882,195,2078.0
2005-09-27,1975.0,1975.0,1975.0,1975.0,158000000,80000,17,1975.0
2005-09-28,1877.0,1967.0,1877.0,1879.0,2262294404,1203425,310,1879.0
2005-10-01,1971.0,1972.0,1800.0,1900.0,1092828331,575035,190,1900.0
2005-10-02,1994.0,1995.0,1990.0,1993.0,663952713,332993,127,1993.0
2005-10-03,2049.0,2049.0,1894.0,1918.0,1333672054,695202,186,1918.0
2005-10-04,1918.0,1944.0,1881.0,1914.0,465658027,243268,70,1914.0
2005-10-05,1950.0,2009.0,1950.0,2004.0,632771386,315618,105,2004.0
