date,open,high,low,adjClose,value,volume,count,close
2020-08-12,2200.0,2200.0,2200.0,2200.0,7528906976800,3422230444,5276588,2200.0
2020-08-15,2310.0,2310.0,2310.0,2310.0,144246051180,62444178,1975,2310.0
2020-08-16,2420.0,2420.0,2420.0,2320.0,3473580880,1435364,2414,2420.0
2020-08-17,2430.0,2430.0,2430.0,2350.0,12786071940,5261758,8582,2430.0
2020-08-18,2460.0,2460.0,2460.0,2460.0,55276177860,22469991,8069,2460.0
2020-08-19,2580.0,2580.0,2580.0,2570.0,53223286980,20629181,6918,2580.0
2020-08-22,2690.0,2690.0,2690.0,2680.0,47760226390,17754731,9940,2690.0
2020-08-23,2810.0,2810.0,2810.0,2810.0,66508583350,23668535,12424,2810.0
2020-08-24,2950.0,2950.0,2950.0,2950.0,58165029050,19716959,15328,2950.0
2020-08-25,3090.0,3090.0,3090.0,3090.0,91573046100,29635290,11967,3090.0
2020-08-26,3240.0,3240.0,3240.0,3240.0,88486399080,27310617,9015,3240.0
2020-08-31,3400.0,3400.0,3400.0,3300.0,18425892000,5419380,8340,3400.0
2020-09-02,3460.0,3460.0,3460.0,3460.0,70110364060,20263111,25047,3460.0
2020-09-05,3630.0,3630.0,3630.0,3630.0,95239536810,26236787,26395,3630.0
2020-09-06,3810.0,3810.0,3810.0,3810.0,91135302870,23920027,24111,3810.0
2020-09-07,4000.0,4000.0,3810.0,3990.0,4698850520530,1177355388,288406,4000.0
2020-09-08,3800.0,3800.0,3800.0,3800.0,238688438600,62812747,16084,3800.0
2020-09-09,3610.0,3990.0,3610.0,3790.0,2298814260380,605763904,220633,3990.0
2020-09-13,4000.0,4200.0,3800.0,4040.0,2324462721450,575167542,132692,4200.0
2020-09-14,4240.0,4240.0,4240.0,4240.0,126651933360,29870739,35006,4240.0
2020-09-15,4450.0,4450.0,4450.0,4450.0,163619851700,36768506,30194,4450.0
2020-09-16,4670.0,4670.0,4670.0,4670.0,374107218040,80108612,58766,4670.0
2020-09-19,4570.0,4900.0,4440.0,4680.0,2916859626120,622821469,276164,4700.0
2020-09-20,4660.0,4800.0,4450.0,4510.0,778648974880,172683263,95029,4450.0
2020-09-21,4290.0,4290.0,4290.0,4310.0,41768551110,9736259,2103,4290.0
2020-09-22,4100.0,4310.0,4100.0,4130.0,1439839358130,348762092,79885,4100.0
2020-09-23,4170.0,4300.0,3930.0,4050.0,1563402008410,386117825,98574,3930.0
2020-09-26,3970.0,4090.0,3850.0,3920.0,268211235790,68445193,23113,3850.0
2020-09-27,3730.0,3730.0,3730.0,3870.0,11949983770,3203749,853,3730.0
2020-09-28,3680.0,3680.0,3680.0,3830.0,10363038240,2816043,484,3680.0
2020-09-29,3640.0,3640.0,3640.0,3770.0,15085929040,4144486,785,3640.0
2020-09-30,3590.0,3590.0,3590.0,3690.0,19707814780,5489642,1058,3590.0
2020-10-03,3510.0,3870.0,3510.0,3720.0,1135663968480,305187593,122479,3870.0
2020-10-04,3680.0,3790.0,3540.0,3570.0,591484890960,165538294,45819,3540.0
2020-10-05,3400.0,3740.0,3400.0,3570.0,1091379343930,306047276,69392,3740.0
2020-10-06,3740.0,3740.0,3620.0,3740.0,291010693880,77866397,28911,3740.0
2020-10-07,3910.0,3920.0,3650.0,3840.0,1094368775070,285057860,64442,3900.0
2020-10-10,3800.0,3950.0,3650.0,3760.0,760363451030,202055324,60493,3800.0
2020-10-11,3800.0,3940.0,3700.0,3860.0,824344782570,213724071,57776,3730.0
2020-10-12,3670.0,3760.0,3670.0,3680.0,517852607390,140610635,39110,3690.0
2020-10-13,3670.0,3670.0,3500.0,3540.0,456246898280,128815908,54269,3540.0
2020-10-14,3640.0,3710.0,3410.0,3630.0,610176985050,168196551,55503,3710.0
2020-10-18,3810.0,3810.0,3700.0,3800.0,1332135784950,350334072,66985,3800.0
2020-10-19,3610.0,3610.0,3610.0,3610.0,65162517990,18050559,1423,3610.0
