date,open,high,low,adjClose,value,volume,count,close
2001-11-28,2710.0,2715.0,2710.0,2715.0,2714000,1000,4,2715.0
2001-12-25,2850.0,2850.0,2850.0,2850.0,1425000,500,4,2850.0
2002-07-29,12819.0,15400.0,8760.0,15399.0,11139274224,782695,467,15399.0
2002-07-30,15783.0,15783.0,15015.0,15015.0,2587871425,166635,61,15015.0
2002-07-31,14640.0,14640.0,14640.0,14640.0,45237600,3090,12,14640.0
2002-08-03,14274.0,14274.0,14274.0,14274.0,1050580674,73601,24,14274.0
2002-08-04,13918.0,14630.0,13918.0,14630.0,4614494293,328384,214,14630.0
2002-08-05,14630.0,14990.0,14400.0,14802.0,9693546860,658449,203,14802.0
2002-08-06,15172.0,15172.0,15172.0,15172.0,15588850700,1027475,250,15172.0
2002-08-07,15551.0,15551.0,15551.0,15551.0,19639357900,1262900,514,15551.0
2002-08-10,15939.0,15939.0,15939.0,15939.0,15946969500,1000500,305,15939.0
2002-08-11,16337.0,16337.0,15542.0,15939.0,15723281659,971612,429,15939.0
2002-08-13,15900.0,15900.0,15600.0,15841.0,1984840700,125378,78,15841.0
2002-08-14,15841.0,15841.0,15602.0,15650.0,2316567122,147818,116,15650.0
2002-08-17,15600.0,15600.0,15400.0,15500.0,3554468761,229844,122,15500.0
2002-08-18,15500.0,15525.0,15499.0,15504.0,2692479086,173638,79,15504.0
2002-08-19,15519.0,15891.0,15519.0,15891.0,19996363383,1264503,302,15891.0
2002-08-20,16288.0,16288.0,16287.0,16288.0,18585242232,1141039,325,16288.0
2002-08-21,16450.0,16450.0,16450.0,16450.0,20413446550,1240939,295,16450.0
2002-08-27,17272.0,17272.0,17272.0,17272.0,5229098000,302750,120,17272.0
2002-08-28,18135.0,18135.0,18135.0,18135.0,7456205250,411150,184,18135.0
2002-08-31,19041.0,19041.0,19041.0,19041.0,22849200000,1200000,417,19041.0
2002-09-01,19993.0,19993.0,19993.0,19993.0,26119594941,1306437,384,19993.0
2002-09-02,20992.0,20992.0,20992.0,20992.0,6740363264,321092,240,20992.0
2002-09-03,22041.0,22041.0,22041.0,22041.0,5757880635,261235,164,22041.0
2002-09-04,21011.0,23143.0,21005.0,22902.0,21383551090,937444,495,22902.0
2002-09-07,21766.0,21766.0,21757.0,21757.0,2629810748,120864,45,21757.0
2002-09-08,20670.0,20670.0,20670.0,20670.0,1121719560,54268,20,20670.0
2002-09-09,19637.0,21703.0,19637.0,21000.0,15843504616,804921,395,21000.0
2002-09-10,21001.0,21680.0,11084.0,21168.0,18377887174,1336661,2408,21168.0
2002-09-11,21170.0,21300.0,21170.0,21175.0,6640624446,312846,152,21175.0
2002-09-14,21176.0,21178.0,20120.0,20120.0,3510272845,166537,106,20120.0
2002-09-15,20083.0,20100.0,20083.0,20087.0,536486331,26700,29,20087.0
2002-09-16,20125.0,20999.0,20000.0,20400.0,2377957820,116605,104,20400.0
2002-09-17,21000.0,21420.0,20888.0,21420.0,24449186539,1152378,304,21420.0
2002-09-18,22480.0,22491.0,21421.0,22000.0,28782720884,1307269,205,22000.0
2002-09-22,22400.0,22463.0,22000.0,22181.0,1015634695,45829,64,22181.0
2002-09-23,22178.0,22400.0,22100.0,22250.0,4042054589,181632,133,22250.0
2002-09-24,22250.0,22250.0,21138.0,21138.0,5566016954,253663,98,21138.0
2002-09-25,20400.0,20999.0,20360.0,20598.0,2303082280,112178,109,20598.0
2002-09-28,20700.0,21300.0,20700.0,21100.0,3963942877,188690,136,21100.0
2002-09-29,21100.0,22155.0,21100.0,21899.0,3493257428,160152,146,21899.0
2002-09-30,22200.0,22993.0,21900.0,22400.0,3246896270,143457,138,22400.0
2002-10-01,22405.0,22410.0,21730.0,21730.0,2085576387,93727,76,21730.0
2002-10-02,21502.0,22300.0,21500.0,22100.0,1105620852,50532,65,22100.0
2002-10-06,22099.0,22350.0,21990.0,22200.0,1798399762,81221,69,22200.0
2002-10-07,22200.0,22200.0,21101.0,21301.0,5533124739,251363,96,21301.0
2002-10-08,20236.0,20400.0,20236.0,20236.0,403329822,19924,14,20236.0
2002-10-09,19225.0,19600.0,19225.0,19227.0,5024640234,260670,189,19227.0
2002-10-12,19228.0,19230.0,18710.0,19178.0,508647043,26512,33,19178.0
2002-10-13,19175.0,19200.0,18905.0,18905.0,1038815345,54531,52,18905.0
2002-10-14,18000.0,18870.0,17960.0,17960.0,580584412,32178,21,17960.0
2002-10-15,17062.0,17062.0,17062.0,17062.0,383895000,22500,11,17062.0
2002-11-16,29000.0,29500.0,26100.0,28700.0,8525771325,296794,168,28700.0
2002-11-17,30000.0,30000.0,28000.0,28700.0,58731013232,2057943,543,28700.0
2002-11-18,28600.0,28600.0,27750.0,28000.0,10488516506,375308,250,28000.0
2002-11-19,27900.0,28051.0,27890.0,28000.0,7075689878,252744,169,28000.0
2002-11-20,28000.0,28550.0,27910.0,28550.0,8817373110,311519,177,28550.0
2002-11-23,28700.0,28756.0,28500.0,28560.0,21470468573,752024,259,28560.0
2002-11-24,28700.0,28705.0,28560.0,28590.0,5054651124,176738,153,28590.0
2002-11-25,28502.0,28600.0,28480.0,28589.0,4715884126,165251,143,28589.0
2002-11-26,28587.0,28600.0,28490.0,28600.0,1768089794,61949,61,28600.0
2002-11-30,28700.0,29080.0,28600.0,29080.0,21996270262,767977,212,29080.0
2002-12-01,29100.0,29223.0,28750.0,28800.0,23999868693,832959,260,28800.0
2002-12-02,28805.0,28960.0,28802.0,28850.0,11170839589,387101,161,28850.0
2002-12-03,28856.0,28940.0,28801.0,28850.0,8277874496,286993,136,28850.0
2002-12-04,28850.0,28850.0,28750.0,28800.0,3077690229,106820,99,28800.0
2002-12-07,28800.0,28851.0,28800.0,28850.0,4351143880,151027,116,28850.0
2002-12-08,28850.0,29000.0,28850.0,28927.0,20386987745,704915,172,28927.0
2002-12-09,30000.0,30000.0,29310.0,29600.0,2453955090,81878,98,29600.0
2002-12-10,29590.0,29937.0,29000.0,29400.0,4721126958,159966,164,29400.0
2002-12-11,29390.0,29390.0,28099.0,28200.0,3305409143,115226,94,28200.0
2002-12-14,28380.0,29000.0,28200.0,28898.0,2672532559,93177,92,28898.0
2002-12-15,29100.0,29200.0,28798.0,28804.0,2198199608,75936,56,28804.0
2002-12-16,28806.0,28808.0,27900.0,28201.0,2295492365,80719,77,28201.0
2002-12-17,28101.0,28400.0,28000.0,28130.0,2887243393,102736,86,28130.0
2002-12-18,28130.0,28250.0,28011.0,28100.0,1499863896,53288,73,28100.0
2002-12-21,28150.0,28150.0,27997.0,27999.0,11261279036,401516,137,27999.0
2002-12-22,27499.0,27600.0,26599.0,26599.0,3613209635,135187,65,26599.0
2002-12-23,26599.0,26850.0,26589.0,26698.0,9004280035,337952,184,26698.0
2002-12-24,26740.0,27800.0,26649.0,27599.0,5709918302,208709,97,27599.0
2002-12-25,27700.0,27710.0,27201.0,27250.0,621168021,22692,38,27250.0
2002-12-28,26220.0,27200.0,26219.0,26980.0,1577732839,58698,37,26980.0
2002-12-29,26273.0,26575.0,26250.0,26250.0,525769893,20010,26,26250.0
2002-12-31,26239.0,26247.0,25250.0,26039.0,1219974314,46953,40,26039.0
2003-01-01,26100.0,26300.0,26028.0,26098.0,2373300347,90679,95,26098.0
2003-01-04,26095.0,26150.0,26095.0,26100.0,1734586902,66459,78,26100.0
2003-01-05,26100.0,26450.0,26100.0,26358.0,1390749648,52831,80,26358.0
2003-01-06,26316.0,26550.0,26316.0,26493.0,1632721526,61695,57,26493.0
