date,open,high,low,adjClose,value,volume,count,close
2013-08-07,603.0,651.0,603.0,624.0,5619000,9000,2,651.0
2013-08-11,673.0,673.0,673.0,673.0,673,1,1,673.0
2013-08-12,726.0,726.0,726.0,726.0,1380126,1901,4,726.0
2013-08-13,784.0,784.0,784.0,784.0,784,1,1,784.0
2013-08-14,846.0,846.0,846.0,846.0,846,1,1,846.0
2013-08-17,913.0,913.0,913.0,913.0,639100,700,3,913.0
2013-08-18,986.0,986.0,986.0,986.0,59928094,60779,32,986.0
2013-08-19,1064.0,1064.0,1064.0,1064.0,42664272,40098,10,1064.0
2013-08-20,1149.0,1149.0,1149.0,1149.0,8979435,7815,11,1149.0
2013-08-21,1240.0,1240.0,1240.0,1240.0,2073280,1672,3,1240.0
2013-08-24,1339.0,1339.0,1240.0,1337.0,325507730,243537,43,1339.0
2013-08-25,1443.0,1443.0,1443.0,1443.0,223145520,154640,41,1443.0
2013-08-26,1558.0,1558.0,1558.0,1558.0,12551248,8056,4,1558.0
2013-08-27,1682.0,1682.0,1682.0,1682.0,185316032,110176,36,1682.0
2013-08-28,1816.0,1816.0,1680.0,1750.0,688326543,393298,85,1768.0
2013-09-03,1610.0,1610.0,1610.0,1610.0,1610,1,1,1610.0
2013-09-04,1482.0,1482.0,1482.0,1482.0,1482,1,1,1482.0
2013-09-07,1364.0,1364.0,1364.0,1364.0,272800,200,2,1364.0
2013-09-08,1255.0,1255.0,1255.0,1255.0,1255,1,1,1255.0
2013-09-09,1155.0,1155.0,1155.0,1155.0,82005,71,2,1155.0
2013-09-10,1063.0,1120.0,1063.0,1064.0,429306312,403520,130,1100.0
2013-09-11,1130.0,1140.0,979.0,1046.0,238086016,227527,60,979.0
2014-03-11,1500.0,1500.0,1500.0,1500.0,2062453500,1374969,76,1500.0
