date,open,high,low,adjClose,value,volume,count,close
2002-03-10,3800.0,3850.0,3800.0,3850.0,1548970000,405000,93,3850.0
2002-03-11,3925.0,3925.0,3900.0,3925.0,1955092000,500000,99,3925.0
2002-03-12,4121.0,4121.0,4000.0,4120.0,2524620364,612743,133,4120.0
2002-05-28,5350.0,5800.0,5200.0,5500.0,4879849080,910256,320,5500.0
2002-05-29,5510.0,5775.0,5450.0,5500.0,1910991210,347507,145,5500.0
2002-06-01,5485.0,5506.0,5450.0,5502.0,356767409,64990,54,5502.0
2002-06-02,5512.0,5590.0,5502.0,5550.0,2559519830,462657,106,5550.0
2002-06-03,5581.0,5720.0,5560.0,5720.0,5707151456,1001782,187,5720.0
2002-07-02,5650.0,6000.0,5643.0,5750.0,872964871,153295,68,5750.0
2002-07-03,5701.0,5800.0,5701.0,5800.0,690858213,119443,36,5800.0
2002-07-06,5800.0,5830.0,5800.0,5830.0,870691107,149642,51,5830.0
2002-07-07,5902.0,6002.0,5842.0,6000.0,2206151924,367917,101,6000.0
2002-07-08,6150.0,6152.0,6030.0,6150.0,1897708000,308630,81,6150.0
2002-07-09,6150.0,6457.0,6150.0,6400.0,591628980,92306,41,6400.0
2002-07-10,6500.0,6500.0,6250.0,6380.0,368654987,58198,49,6380.0
2002-07-13,6380.0,6380.0,6250.0,6350.0,474134993,75492,33,6350.0
2002-07-14,6251.0,6330.0,6250.0,6250.0,709951682,113069,51,6250.0
2002-07-15,6250.0,6253.0,6249.0,6251.0,395838509,63330,39,6251.0
2002-07-16,6251.0,6254.0,6248.0,6250.0,452017752,72302,23,6250.0
2002-07-17,6250.0,6250.0,6238.0,6247.0,141372453,22636,12,6247.0
2002-07-20,6197.0,6197.0,6197.0,6197.0,4957600,800,1,6197.0
2002-07-21,6000.0,6150.0,5985.0,5985.0,266592020,44409,22,5985.0
2002-07-22,5800.0,5950.0,5789.0,5900.0,950319632,163113,76,5900.0
2002-07-23,5900.0,5912.0,5900.0,5912.0,303782129,51454,24,5912.0
2002-07-24,5900.0,6000.0,5898.0,6000.0,264552958,44623,20,6000.0
2002-07-27,5982.0,5983.0,5899.0,5900.0,175678000,29614,12,5900.0
2002-07-28,5688.0,5800.0,5688.0,5792.0,312542180,54420,30,5792.0
2002-07-29,5750.0,5750.0,5750.0,5750.0,6946000,1208,2,5750.0
2002-07-30,5699.0,5739.0,5600.0,5677.0,161432111,28663,18,5677.0
2002-07-31,5510.0,5600.0,5500.0,5500.0,108322200,19606,13,5500.0
2002-08-03,5455.0,5500.0,5429.0,5500.0,266649080,48775,27,5500.0
2002-08-04,5451.0,5497.0,5451.0,5480.0,177117850,32280,14,5480.0
2002-08-05,5458.0,5460.0,5450.0,5450.0,99983333,18315,13,5450.0
2002-08-06,5400.0,5464.0,5400.0,5446.0,601993830,110555,39,5446.0
2002-08-07,5400.0,5400.0,5352.0,5352.0,132890320,24787,11,5352.0
2002-08-10,5300.0,5329.0,5300.0,5329.0,135404884,25500,11,5329.0
2002-08-11,5320.0,5320.0,5288.0,5317.0,274414400,51695,23,5317.0
2002-08-13,5300.0,5450.0,5300.0,5450.0,370964140,69196,32,5450.0
2002-08-14,5500.0,5600.0,5500.0,5600.0,372443115,66721,28,5600.0
2002-08-17,5650.0,5750.0,5600.0,5699.0,426026560,74769,53,5699.0
2002-08-18,5700.0,5800.0,5699.0,5700.0,422798255,74004,39,5700.0
2002-08-19,5693.0,5693.0,5600.0,5689.0,268898834,47594,39,5689.0
2002-08-20,5688.0,5700.0,5600.0,5688.0,750574350,132649,48,5688.0
2002-08-21,5650.0,5692.0,5650.0,5670.0,640809973,113071,42,5670.0
2002-08-27,5670.0,5670.0,5670.0,5670.0,4558680,804,3,5670.0
2002-08-28,5662.0,5663.0,5580.0,5580.0,160105291,28442,17,5580.0
2002-08-31,5570.0,5570.0,5570.0,5570.0,16710000,3000,2,5570.0
2002-09-01,5568.0,5570.0,5450.0,5560.0,149843760,27415,11,5560.0
2002-09-02,5548.0,5568.0,5390.0,5568.0,299837933,54652,22,5568.0
2002-09-03,5556.0,5560.0,5556.0,5560.0,121049229,21775,11,5560.0
2002-09-04,5600.0,5600.0,5600.0,5600.0,179748800,32098,10,5600.0
2002-09-07,5604.0,5606.0,5598.0,5600.0,628361244,112211,28,5600.0
2002-09-08,5600.0,5608.0,5600.0,5607.0,1052921460,188019,21,5607.0
2002-09-09,5616.0,5653.0,5615.0,5653.0,95162622,16904,9,5653.0
2002-09-10,5654.0,5654.0,5651.0,5653.0,73191090,12950,6,5653.0
2002-09-11,5690.0,5711.0,5690.0,5705.0,144655500,25350,10,5705.0
2002-09-14,5723.0,5792.0,5708.0,5792.0,69444690,12030,6,5792.0
2002-09-24,6100.0,6300.0,6000.0,6290.0,398820419,64352,32,6290.0
2002-09-25,6290.0,6290.0,6050.0,6102.0,587304576,95474,48,6102.0
2002-09-28,6090.0,6200.0,6090.0,6200.0,1085848990,177909,52,6200.0
2002-09-29,6189.0,6189.0,6090.0,6189.0,190864410,30929,10,6189.0
2002-09-30,6189.0,6189.0,6182.0,6184.0,449522780,72700,19,6184.0
2002-10-01,6185.0,6199.0,6185.0,6198.0,92095720,14880,7,6198.0
2002-10-02,6178.0,6180.0,6093.0,6180.0,394496424,64445,27,6180.0
2002-10-06,6180.0,6180.0,6130.0,6173.0,80208195,13000,9,6173.0
2002-10-07,6100.0,6100.0,6099.0,6100.0,48798000,8000,6,6100.0
2002-10-08,6080.0,6080.0,5990.0,6070.0,241617334,40000,22,6070.0
2002-10-09,6000.0,6095.0,5900.0,6095.0,330139012,54688,25,6095.0
2002-10-12,6044.0,6050.0,5900.0,6046.0,458511056,75980,29,6046.0
2002-10-13,6039.0,6039.0,5950.0,5950.0,36145000,6000,4,5950.0
2002-10-14,5900.0,6032.0,5900.0,6032.0,6622000,1100,2,6032.0
2002-10-15,5900.0,5997.0,5900.0,5997.0,33314000,5630,4,5997.0
2002-10-16,5900.0,5998.0,5900.0,5998.0,264512400,44816,22,5998.0
2002-10-19,5995.0,6055.0,5995.0,6055.0,114866380,19076,12,6055.0
2002-10-20,6055.0,6150.0,6055.0,6150.0,137809705,22431,11,6150.0
2002-10-21,6200.0,6200.0,6196.0,6200.0,222447264,35884,18,6200.0
2002-10-23,6225.0,6225.0,6210.0,6225.0,225192750,36190,14,6225.0
2002-10-26,6225.0,6250.0,6224.0,6250.0,822721895,131658,27,6250.0
2002-10-27,6249.0,6250.0,6200.0,6250.0,18649100,3000,4,6250.0
2002-10-28,6203.0,6250.0,6203.0,6250.0,24318000,3900,3,6250.0
2002-10-29,6250.0,6250.0,6200.0,6220.0,120969295,19449,19,6220.0
2002-10-30,6220.0,6220.0,6200.0,6200.0,33428400,5385,9,6200.0
