date,open,high,low,adjClose,value,volume,count,close
2001-05-15,380.0,380.0,350.0,350.0,4051600,10900,8,350.0
2001-05-16,450.0,450.0,449.0,450.0,10121490,22494,30,450.0
2001-05-19,350.0,350.0,350.0,350.0,3409700,9742,14,350.0
2001-05-20,350.0,351.0,350.0,351.0,675350,1929,4,351.0
2001-05-21,350.0,350.0,350.0,350.0,7000,20,1,350.0
2001-05-26,359.0,363.0,359.0,363.0,8756464,24246,8,363.0
2001-05-27,364.0,380.0,364.0,380.0,2409280,6570,6,380.0
2001-05-28,380.0,380.0,380.0,380.0,97660,257,1,380.0
2001-05-29,400.0,400.0,382.0,384.0,2284086,5784,8,384.0
2001-05-30,402.0,402.0,400.0,401.0,5845146,14590,28,401.0
2011-08-08,500.0,500.0,500.0,500.0,13876000,27752,1,500.0
2011-08-09,540.0,540.0,540.0,540.0,270000,500,1,540.0
2011-08-10,583.0,583.0,583.0,583.0,35854500,61500,3,583.0
2011-08-13,629.0,629.0,629.0,629.0,3774000,6000,1,629.0
2011-08-14,679.0,679.0,679.0,679.0,189305200,278800,14,679.0
2011-08-15,729.0,730.0,664.0,718.0,88728000,123600,6,664.0
2011-08-16,700.0,700.0,700.0,700.0,14000000,20000,1,700.0
2011-08-17,645.0,688.0,645.0,650.0,49687760,76488,11,650.0
2011-08-21,689.0,689.0,617.0,621.0,81852600,131800,21,626.0
2011-08-23,600.0,600.0,583.0,598.0,43330000,72500,5,600.0
2011-08-24,644.0,644.0,620.0,639.0,25609400,40100,5,644.0
2011-08-27,685.0,685.0,588.0,603.0,42599434,70628,11,588.0
2011-08-28,583.0,628.0,583.0,618.0,7970700,12900,2,628.0
2011-08-29,657.0,657.0,657.0,657.0,2759400,4200,3,657.0
2011-08-30,605.0,605.0,605.0,605.0,147520780,243836,32,605.0
2011-09-03,605.0,640.0,605.0,608.0,721030,1186,2,640.0
2011-09-04,635.0,656.0,630.0,652.0,65560950,100510,20,651.0
2011-09-05,601.0,695.0,600.0,617.0,308495132,499751,60,625.0
2011-09-06,645.0,648.0,630.0,641.0,174559000,272500,18,630.0
2011-09-07,638.0,639.0,638.0,638.0,79152124,124020,24,639.0
2011-09-10,639.0,680.0,639.0,653.0,156046708,238892,31,640.0
2011-09-11,663.0,663.0,615.0,639.0,12785000,20000,3,615.0
2011-09-12,610.0,611.0,588.0,596.0,63953452,107240,23,590.0
2011-09-13,620.0,638.0,620.0,620.0,6883800,11100,3,620.0
2011-09-14,580.0,600.0,580.0,588.0,11339772,19300,6,580.0
2011-09-17,552.0,552.0,543.0,548.0,25768500,47000,5,543.0
2011-09-18,559.0,555.0,511.0,519.0,146868400,282970,40,520.0
2011-09-19,529.0,529.0,529.0,529.0,529000,1000,1,529.0
2011-09-20,490.0,491.0,487.0,488.0,231847732,474636,47,487.0
2011-09-21,455.0,490.0,449.0,460.0,198889966,431922,48,463.0
2012-04-22,300.0,300.0,300.0,300.0,150000000,500000,10,300.0
2012-04-30,280.0,280.0,280.0,280.0,4728994480,16889266,476,280.0
2014-08-17,679.0,733.0,679.0,714.0,2033069130,2848468,247,733.0
2014-08-18,769.0,771.0,740.0,768.0,1851148451,2411360,279,771.0
2014-08-19,819.0,819.0,716.0,758.0,4537261244,5982956,587,740.0
2014-08-20,740.0,809.0,726.0,777.0,2622731065,3376204,413,790.0
2014-08-23,753.0,825.0,753.0,802.0,1913624827,2386117,271,800.0
2014-08-24,826.0,834.0,770.0,808.0,1767677872,2187156,216,785.0
2014-08-25,775.0,859.0,775.0,822.0,2530568123,3077828,277,839.0
2014-08-26,860.0,887.0,860.0,885.0,3151224429,3560253,310,885.0
2014-08-27,900.0,932.0,840.0,908.0,3424256795,3770339,378,840.0
2014-08-30,850.0,853.0,836.0,837.0,2715345224,3243342,270,836.0
2014-08-31,800.0,888.0,800.0,845.0,1347279454,1593641,142,860.0
2014-09-01,884.0,884.0,835.0,849.0,369252416,434684,93,837.0
2014-09-02,874.0,874.0,801.0,818.0,834118773,1019507,85,809.0
2014-09-03,819.0,860.0,780.0,824.0,970973341,1177979,126,810.0
2014-09-06,858.0,858.0,759.0,767.0,1223594709,1596047,140,759.0
2014-09-07,722.0,817.0,722.0,784.0,1365418143,1741012,170,810.0
2014-09-08,830.0,846.0,817.0,839.0,3218828256,3836074,536,846.0
2014-09-09,861.0,883.0,820.0,848.0,1703391891,2009284,213,830.0
2014-09-10,840.0,840.0,781.0,794.0,1279643166,1611351,125,795.0
2014-09-13,742.0,790.0,731.0,758.0,783180304,1033407,122,780.0
2014-09-14,770.0,770.0,741.0,753.0,46590576,61878,23,741.0
2014-09-15,776.0,795.0,776.0,783.0,383240688,489391,47,795.0
2014-09-16,790.0,830.0,788.0,811.0,575596391,709700,79,820.0
2014-09-17,833.0,833.0,787.0,799.0,636886004,797346,107,788.0
2014-09-20,800.0,850.0,800.0,832.0,1528432244,1836627,263,850.0
2014-09-21,861.0,898.0,850.0,895.0,3962413685,4429295,583,898.0
2014-09-22,934.0,950.0,871.0,917.0,1338596266,1459129,202,899.0
2014-09-23,908.0,945.0,860.0,908.0,1682861772,1853033,178,899.0
2014-09-24,900.0,915.0,863.0,880.0,668356938,759613,104,870.0
2014-09-27,870.0,870.0,814.0,838.0,803449633,958935,79,859.0
2014-09-28,840.0,905.0,840.0,899.0,1774427208,1973953,246,905.0
2014-09-29,945.0,970.0,920.0,963.0,3190349694,3311870,296,970.0
2014-09-30,1027.0,1040.0,987.0,1031.0,4969957515,4819199,430,1040.0
2014-10-01,1079.0,1079.0,959.0,1022.0,2521333936,2467386,323,995.0
2014-10-04,1037.0,1048.0,980.0,1019.0,1413554394,1386642,198,1026.0
2014-10-06,1030.0,1068.0,1000.0,1046.0,2742383671,2621029,253,1055.0
2014-10-07,1065.0,1070.0,963.0,976.0,6612948222,6777137,634,963.0
2014-10-08,920.0,994.0,898.0,955.0,2432372312,2546389,297,898.0
2014-10-11,901.0,957.0,901.0,948.0,2490389356,2627672,255,955.0
2014-10-12,920.0,970.0,916.0,948.0,1652930340,1744224,183,950.0
2014-10-14,931.0,1009.0,931.0,988.0,2485377454,2514369,222,1009.0
2014-10-15,982.0,1011.0,970.0,996.0,1387199997,1393166,116,987.0
2014-10-18,947.0,1020.0,945.0,997.0,1007688378,1010855,150,1006.0
2014-10-19,1036.0,1036.0,1000.0,1023.0,609064749,595566,89,1034.0
2014-10-20,1039.0,1104.0,1039.0,1099.0,2687747934,2445915,179,1104.0
2014-10-21,1159.0,1186.0,1150.0,1178.0,2169123282,1841549,149,1160.0
2014-10-22,1210.0,1222.0,1120.0,1168.0,1798260073,1539651,379,1169.0
2014-10-25,1200.0,1261.0,1183.0,1249.0,2763358338,2212081,175,1261.0
2014-10-26,1338.0,1338.0,1171.0,1275.0,1317233552,1032920,153,1265.0
2014-10-27,1275.0,1350.0,1230.0,1295.0,972331591,750793,94,1250.0
2014-10-28,1251.0,1251.0,1192.0,1219.0,1294617804,1061854,99,1250.0
2014-10-29,1221.0,1316.0,1211.0,1290.0,4337592952,3361841,296,1316.0
