date,open,high,low,adjClose,value,volume,count,close
2004-05-09,2450.0,2450.0,2450.0,2450.0,4900000,2000,1,2450.0
2004-05-12,2520.0,2520.0,2520.0,2520.0,5040000,2000,1,2520.0
2004-06-07,2500.0,2500.0,2500.0,2500.0,131870000,52748,7,2500.0
2004-08-28,1150.0,1150.0,1150.0,1150.0,2300000,2000,1,1150.0
2004-08-29,1150.0,1150.0,1150.0,1150.0,97750000,85000,9,1150.0
2004-08-31,1150.0,1150.0,1150.0,1150.0,115000000,100000,1,1150.0
2004-09-01,1150.0,1150.0,1150.0,1150.0,413200750,359305,7,1150.0
2004-09-05,1150.0,1150.0,1150.0,1150.0,562732950,489333,13,1150.0
2004-09-06,1265.0,1265.0,1265.0,1265.0,617318735,487999,7,1265.0
2004-09-07,1391.0,1391.0,1391.0,1391.0,2782000,2000,1,1391.0
2004-09-08,1530.0,1530.0,1530.0,1530.0,743578470,485999,49,1530.0
2009-05-18,2100.0,2300.0,2100.0,2199.0,22395600,10184,3,2200.0
2009-05-19,2300.0,2300.0,2300.0,2300.0,5000200,2174,1,2300.0
2009-05-20,2438.0,2438.0,2438.0,2438.0,34748814,14253,7,2438.0
2009-05-26,2584.0,2584.0,2584.0,2584.0,10336000,4000,3,2584.0
2009-05-30,2739.0,2739.0,2739.0,2739.0,273900,100,1,2739.0
2009-08-31,1900.0,2000.0,1900.0,1938.0,193800000,100000,15,2000.0
2009-09-01,2054.0,2054.0,2054.0,2054.0,1092728,532,2,2054.0
2009-09-02,1931.0,1931.0,1931.0,1931.0,96550000,50000,5,1931.0
2009-09-05,2046.0,2046.0,2000.0,2008.0,60234600,30000,8,2000.0
2009-09-06,1960.0,1960.0,1960.0,1960.0,122921400,62715,11,1960.0
2018-11-21,6502.0,7152.0,6502.0,7059.0,506557214,71765,44,7152.0
2018-11-24,7764.0,7764.0,6354.0,6829.0,336438523,49269,44,6354.0
2018-11-26,6150.0,6150.0,6147.0,6147.0,160916619,26177,20,6147.0
2018-11-27,5533.0,6668.0,5533.0,5560.0,249553862,44886,33,6389.0
2018-11-28,6115.0,6116.0,5007.0,5651.0,173226553,30654,35,6000.0
2018-12-01,5515.0,5750.0,5500.0,5542.0,401119750,72373,22,5750.0
2018-12-02,5988.0,5990.0,5850.0,5967.0,121650106,20388,15,5850.0
2018-12-03,5850.0,5967.0,5412.0,5697.0,67066250,11773,14,5700.0
2018-12-04,5700.0,5950.0,5528.0,5657.0,71267812,12598,10,5950.0
2018-12-05,5563.0,6000.0,5563.0,5940.0,74350719,12518,8,6000.0
2018-12-08,5625.0,6528.0,5625.0,6193.0,15513875,2505,5,6528.0
2018-12-09,6534.0,6534.0,6500.0,6533.0,65769244,10067,9,6500.0
2018-12-10,5880.0,6524.0,5880.0,6343.0,111820445,17628,16,6000.0
2018-12-11,5870.0,6387.0,5870.0,6089.0,40736400,6690,8,6387.0
2018-12-12,6089.0,6680.0,6089.0,6459.0,64042874,9915,10,6459.0
2018-12-15,6600.0,6600.0,6600.0,6600.0,4923600,746,3,6600.0
2018-12-16,5940.0,6599.0,5940.0,5966.0,150898983,25295,35,5940.0
2018-12-17,5940.0,5940.0,5412.0,5734.0,31787287,5544,8,5503.0
2018-12-19,5305.0,5959.0,5305.0,5598.0,96047280,17157,19,5959.0
2018-12-22,5897.0,6156.0,5500.0,5825.0,169334806,29068,25,5500.0
2018-12-23,5946.0,5996.0,5441.0,5871.0,16521824,2814,11,5800.0
2018-12-24,5522.0,5987.0,5500.0,5886.0,55294420,9394,7,5978.0
2018-12-25,5522.0,6069.0,5522.0,5736.0,434396098,75737,12,5532.0
2018-12-26,5572.0,6133.0,5542.0,6002.0,159170132,26519,7,6133.0
2018-12-30,6139.0,6139.0,5522.0,5843.0,333334803,57045,25,6129.0
2018-12-31,5600.0,5622.0,5600.0,5602.0,45462888,8116,3,5622.0
2019-01-01,5551.0,5800.0,5551.0,5653.0,21457670,3796,9,5601.0
2019-01-02,5653.0,6218.0,5420.0,5898.0,288214850,48867,26,6218.0
2019-02-25,6000.0,6000.0,6000.0,6000.0,240000000,40000,4,6000.0
2019-02-27,5700.0,5700.0,5700.0,5700.0,833784600,146278,37,5700.0
2019-03-02,5615.0,5615.0,5600.0,5600.0,4632591800,827221,180,5600.0
