date,open,high,low,adjClose,value,volume,count,close
2001-04-17,3300.0,3300.0,3299.0,3299.0,1814750,550,2,3299.0
2001-04-18,3135.0,3135.0,3135.0,3135.0,9405000,3000,3,3135.0
2001-04-21,3135.0,3135.0,3130.0,3135.0,11892325,3795,4,3135.0
2001-04-22,3291.0,3291.0,3291.0,3291.0,27414030,8330,8,3291.0
2001-04-23,3291.0,3455.0,3291.0,3455.0,36412000,10800,6,3455.0
2001-04-25,3454.0,3454.0,3450.0,3450.0,3251080,942,2,3450.0
2001-04-29,3301.0,3301.0,3300.0,3300.0,5281000,1600,2,3300.0
2001-05-01,3250.0,3250.0,3200.0,3200.0,4370000,1350,4,3200.0
2001-05-02,3130.0,3130.0,3099.0,3100.0,15946432,5115,4,3100.0
2001-05-05,3100.0,3100.0,3050.0,3100.0,26919550,8716,5,3100.0
2001-05-06,3255.0,3255.0,3200.0,3255.0,27392500,8500,4,3255.0
2001-05-08,3298.0,3298.0,3298.0,3298.0,3298000,1000,1,3298.0
2001-05-15,3200.0,3200.0,3200.0,3200.0,8000000,2500,1,3200.0
2001-05-23,3199.0,3200.0,3199.0,3200.0,11262500,3520,4,3200.0
2001-05-26,3300.0,3300.0,3300.0,3300.0,19800000,6000,3,3300.0
2001-05-28,3450.0,3450.0,3450.0,3450.0,12075000,3500,2,3450.0
2001-05-30,3450.0,3450.0,3450.0,3450.0,6900000,2000,2,3450.0
2001-06-03,3450.0,3450.0,3450.0,3450.0,17250000,5000,2,3450.0
2001-06-09,3450.0,3450.0,3450.0,3450.0,5226750,1515,2,3450.0
2001-06-17,3350.0,3350.0,3350.0,3350.0,3350000,1000,1,3350.0
2001-06-18,3300.0,3300.0,3300.0,3300.0,6600000,2000,1,3300.0
2001-06-19,3300.0,3300.0,3300.0,3300.0,2877600,872,1,3300.0
2001-07-03,3299.0,3300.0,3299.0,3300.0,26397000,8000,4,3300.0
2001-07-04,3300.0,3300.0,3300.0,3300.0,990000,300,1,3300.0
2001-07-07,3300.0,3300.0,3300.0,3300.0,1082400,328,1,3300.0
2001-07-09,3310.0,3310.0,3310.0,3310.0,2273970,687,1,3310.0
2001-07-10,3310.0,3310.0,3300.0,3300.0,3344030,1013,2,3300.0
2001-08-13,3300.0,3300.0,3300.0,3300.0,4220700,1279,2,3300.0
2001-08-14,3300.0,3300.0,3299.0,3300.0,35003078,10609,4,3300.0
2001-08-15,3300.0,3300.0,3300.0,3300.0,6600000,2000,1,3300.0
2001-08-19,3290.0,3290.0,3287.0,3290.0,11511000,3500,4,3290.0
2001-08-21,3288.0,3289.0,3288.0,3289.0,16440608,5000,8,3289.0
2001-08-25,3200.0,3200.0,3200.0,3200.0,3200000,1000,1,3200.0
2001-08-27,3202.0,3202.0,3201.0,3201.0,8004046,2500,2,3201.0
2001-08-28,3201.0,3201.0,3201.0,3201.0,3201000,1000,1,3201.0
2001-09-05,3203.0,3203.0,3202.0,3202.0,10054326,3140,3,3202.0
2001-09-08,3289.0,3289.0,3289.0,3289.0,7867288,2392,2,3289.0
2001-10-16,2799.0,2799.0,2799.0,2799.0,7974351,2849,3,2799.0
2001-10-21,2799.0,2799.0,2799.0,2799.0,11196000,4000,1,2799.0
2001-10-23,2790.0,2790.0,2790.0,2790.0,13910940,4986,1,2790.0
2001-10-24,2790.0,2791.0,2790.0,2790.0,11162000,4000,5,2790.0
2001-10-28,2791.0,2791.0,2791.0,2791.0,5582000,2000,1,2791.0
2001-10-31,2792.0,2792.0,2792.0,2792.0,279200,100,1,2792.0
2001-12-08,2798.0,2798.0,2798.0,2798.0,1399000,500,1,2798.0
2001-12-10,2800.0,2800.0,2800.0,2800.0,1400000,500,1,2800.0
2001-12-25,2900.0,2900.0,2900.0,2900.0,580000,200,1,2900.0
2001-12-26,3003.0,3004.0,3000.0,3001.0,21018775,7000,5,3001.0
2001-12-30,3001.0,3001.0,3001.0,3001.0,4876625,1625,3,3001.0
2001-12-31,3001.0,3001.0,3001.0,3001.0,1518506,506,1,3001.0
2002-01-02,3001.0,3001.0,3001.0,3001.0,7484494,2494,3,3001.0
2002-01-06,3001.0,3001.0,3001.0,3001.0,300100,100,1,3001.0
2002-01-07,3001.0,3100.0,3001.0,3100.0,22009070,7169,8,3100.0
2002-01-27,3099.0,3099.0,3099.0,3099.0,309900,100,1,3099.0
2002-01-29,2945.0,2945.0,2945.0,2945.0,8316680,2824,2,2945.0
2002-01-30,2945.0,2945.0,2945.0,2945.0,294500,100,1,2945.0
2002-02-05,2945.0,2945.0,2945.0,2945.0,1472500,500,1,2945.0
2002-05-18,2500.0,2500.0,2500.0,2500.0,2500000,1000,1,2500.0
2002-05-21,2500.0,2500.0,2500.0,2500.0,2500000,1000,2,2500.0
2002-06-23,2375.0,2375.0,2375.0,2375.0,11875000,5000,1,2375.0
2002-07-07,2257.0,2257.0,2257.0,2257.0,11591952,5136,4,2257.0
2002-07-08,2257.0,2257.0,2257.0,2257.0,7615118,3374,2,2257.0
2002-07-09,2257.0,2257.0,2257.0,2257.0,3886554,1722,6,2257.0
2002-07-13,2257.0,2257.0,2257.0,2257.0,738039,327,1,2257.0
2002-07-14,2257.0,2257.0,2257.0,2257.0,785436,348,1,2257.0
2002-07-15,2257.0,2257.0,2257.0,2257.0,3728564,1652,1,2257.0
2002-07-22,2201.0,2201.0,2199.0,2199.0,12853431,5841,3,2199.0
2002-07-28,2199.0,2199.0,2199.0,2199.0,7177536,3264,2,2199.0
