date,open,high,low,adjClose,value,volume,count,close
2003-12-03,12980.0,12980.0,12000.0,12183.0,10720668833,879950,558,12183.0
2003-12-06,12792.0,12792.0,12669.0,12669.0,768286290,60060,39,12669.0
2003-12-07,13302.0,13302.0,13174.0,13174.0,798251740,60010,20,13174.0
2003-12-08,13832.0,13832.0,13524.0,13524.0,553415240,40010,28,13524.0
2003-12-09,13820.0,14200.0,13302.0,13975.0,4288007643,306820,311,13975.0
2003-12-10,13900.0,13900.0,13306.0,13779.0,506864501,37318,64,13779.0
2003-12-13,13694.0,14467.0,13690.0,13985.0,687874306,48790,76,13985.0
2003-12-14,14684.0,14684.0,7693.0,14386.0,2412984093,257681,443,14386.0
2003-12-15,14296.0,14401.0,14244.0,14325.0,623721945,43674,72,14325.0
2003-12-16,14335.0,14489.0,14325.0,14332.0,203772468,14184,30,14332.0
2003-12-17,14340.0,14900.0,14340.0,14386.0,383825563,26493,52,14386.0
2003-12-21,14386.0,14601.0,14386.0,14438.0,341325073,23450,46,14438.0
2003-12-22,14511.0,14550.0,14480.0,14484.0,713478654,49174,56,14484.0
2003-12-23,14552.0,14577.0,14495.0,14495.0,87449918911,6010294,24,14495.0
2003-12-24,14591.0,14631.0,14522.0,14522.0,254629107,17425,25,14522.0
2003-12-27,14700.0,14705.0,14568.0,14568.0,447338881,30562,53,14568.0
2003-12-28,14588.0,14595.0,14450.0,14541.0,352449362,24329,33,14541.0
2003-12-29,14500.0,14503.0,14190.0,14503.0,226783481,15792,29,14503.0
2003-12-30,14300.0,14476.0,14179.0,14476.0,108468291,7616,23,14476.0
2003-12-31,14100.0,14383.0,13996.0,14383.0,243434750,17297,43,14383.0
2004-01-03,13995.0,14349.0,13959.0,14349.0,88588594,6335,22,14349.0
2004-01-04,13959.0,13959.0,13894.0,13904.0,1088522303,78288,47,13904.0
2004-01-05,13900.0,13955.0,13894.0,13904.0,248831641,17895,29,13904.0
2004-01-06,13897.0,14246.0,13896.0,13952.0,331901516,23608,28,13952.0
2004-01-07,14254.0,14506.0,14244.0,14431.0,1055663675,73077,51,14431.0
2004-01-10,14500.0,15000.0,14435.0,14481.0,732609784,50502,48,14481.0
2004-01-11,14500.0,14500.0,14300.0,14467.0,201418526,13980,27,14467.0
2004-01-12,14500.0,14500.0,14300.0,14425.0,359718638,25078,35,14425.0
2004-01-13,14426.0,14500.0,14425.0,14457.0,552369350,38123,32,14457.0
2004-01-14,14500.0,14500.0,14457.0,14477.0,551280409,38023,44,14477.0
2004-01-17,14491.0,14500.0,14450.0,14479.0,335078490,23134,35,14479.0
2004-01-18,14499.0,14500.0,14400.0,14476.0,128338940,8876,25,14476.0
2004-01-19,14300.0,14464.0,14196.0,14464.0,101113318,7046,21,14464.0
2004-01-20,14187.0,14417.0,13899.0,14417.0,102711820,7344,22,14417.0
2004-01-21,14200.0,14450.0,14200.0,14416.0,95002864,6591,16,14416.0
2004-01-24,14450.0,14450.0,14416.0,14420.0,199079473,13787,30,14420.0
2004-01-25,14500.0,14500.0,14301.0,14427.0,149254189,10310,29,14427.0
2004-01-26,14416.0,14425.0,14409.0,14425.0,86888856,6028,13,14425.0
2004-01-27,14415.0,14500.0,14301.0,14432.0,229479120,15869,29,14432.0
2004-01-28,14433.0,14500.0,14350.0,14437.0,181597587,12555,23,14437.0
2004-01-31,14500.0,14500.0,14349.0,14435.0,111210646,7713,19,14435.0
2004-02-01,14435.0,14500.0,14300.0,14436.0,129812882,8983,29,14436.0
2004-02-03,14436.0,14500.0,14436.0,14488.0,917185988,63262,28,14488.0
2004-02-04,14488.0,14500.0,14488.0,14489.0,125055706,8625,14,14489.0
2004-02-07,14489.0,14520.0,14400.0,14490.0,142362913,9820,24,14490.0
2004-02-08,14500.0,14500.0,14300.0,14489.0,56595077,3909,16,14489.0
2004-02-09,14450.0,14487.0,14450.0,14487.0,82947318,5732,11,14487.0
2004-02-14,14390.0,14460.0,14278.0,14460.0,179718861,12542,19,14460.0
2004-02-15,14261.0,14434.0,14000.0,14434.0,81118901,5740,16,14434.0
2004-02-16,13993.0,14411.0,13800.0,14411.0,44849162,3224,7,14411.0
2004-02-17,13790.0,14283.0,13790.0,14283.0,281633272,20209,27,14283.0
2004-02-18,14000.0,14244.0,13900.0,14244.0,134918643,9647,19,14244.0
2004-02-21,14243.0,14243.0,14000.0,14211.0,187780134,13354,17,14211.0
2004-02-22,13979.0,14190.0,13979.0,14190.0,93401678,6679,14,14190.0
2004-02-23,13998.0,14168.0,13993.0,14168.0,113576275,8115,15,14168.0
2004-02-24,13992.0,14135.0,13992.0,14135.0,204096217,14580,18,14135.0
2004-02-25,14100.0,14112.0,13900.0,14112.0,127283656,9123,19,14112.0
2004-02-28,13990.0,14059.0,13902.0,14059.0,450029679,32167,29,14059.0
2004-02-29,14059.0,14059.0,13901.0,14051.0,106696325,7630,15,14051.0
2004-03-03,13898.0,14048.0,13898.0,14048.0,18970840,1361,4,14048.0
2004-03-06,13887.0,14017.0,13884.0,14017.0,197123173,14196,22,14017.0
2004-03-07,13900.0,14005.0,13900.0,14005.0,249795222,17884,32,14005.0
2004-03-08,13999.0,14000.0,13601.0,13969.0,277174174,19978,24,13969.0
2004-03-09,13790.0,14000.0,13790.0,13967.0,165654872,11866,16,13967.0
2004-03-10,13900.0,13959.0,13879.0,13959.0,96533354,6949,21,13959.0
2004-03-15,14000.0,14000.0,13999.0,13999.0,36105806,2579,8,13999.0
2004-03-16,14000.0,14001.0,13999.0,13999.0,590828028,42202,37,13999.0
2004-03-17,14000.0,14001.0,13995.0,13999.0,519284617,37092,38,13999.0
2004-03-27,14000.0,14000.0,13999.0,13999.0,231740447,16553,9,13999.0
2004-03-28,13999.0,14000.0,13997.0,13998.0,216698871,15480,12,13998.0
2004-03-29,14000.0,14000.0,13950.0,13960.0,2244228027,160757,39,13960.0
2004-03-30,14000.0,14350.0,14000.0,14000.0,1578517414,112745,34,14000.0
2004-04-03,14350.0,14400.0,14000.0,14004.0,65782840,4669,9,14004.0
2004-04-04,13999.0,14002.0,13980.0,14002.0,129597442,9265,12,14002.0
2004-04-05,13977.0,13978.0,13799.0,13976.0,325731656,23444,18,13976.0
2004-04-06,13600.0,13923.0,13500.0,13923.0,191459530,14078,19,13923.0
2004-04-07,13775.0,13904.0,13600.0,13904.0,153278134,11142,22,13904.0
2004-04-10,13889.0,13893.0,13600.0,13893.0,50669876,3719,14,13893.0
2004-04-12,13500.0,13848.0,13498.0,13848.0,178972558,13202,29,13848.0
2004-04-13,13499.0,13790.0,13495.0,13790.0,224924138,16662,16,13790.0
2004-04-14,13498.0,13722.0,13200.0,13722.0,229719110,17149,20,13722.0
2004-04-17,13400.0,13601.0,13315.0,13601.0,494868710,36943,18,13601.0
2004-04-18,13722.0,13800.0,13603.0,13603.0,22200779,1616,9,13603.0
2004-04-21,13724.0,13725.0,13589.0,13605.0,168743448,12386,20,13605.0
2004-04-24,13587.0,13604.0,13570.0,13604.0,21046890,1550,5,13604.0
2004-04-25,13559.0,13596.0,12931.0,13596.0,50301014,3754,10,13596.0
2004-04-26,13558.0,13592.0,13031.0,13592.0,44362682,3290,6,13592.0
2004-04-27,13301.0,13566.0,13054.0,13566.0,120001777,9018,19,13566.0
2004-04-28,13299.0,13552.0,13000.0,13552.0,32484616,2496,7,13552.0
2004-05-01,12881.0,13527.0,12875.0,13527.0,51935341,4011,11,13527.0
2004-05-02,12851.0,13468.0,12851.0,13468.0,156462627,12000,18,13468.0
2004-05-03,13290.0,13465.0,13290.0,13465.0,20853760,1569,4,13465.0
2004-05-04,13001.0,13410.0,12997.0,13410.0,152140115,11703,17,13410.0
2004-05-05,13269.0,13398.0,13248.0,13398.0,99447428,7503,8,13398.0
2004-05-08,13243.0,13382.0,13000.0,13382.0,51569475,3965,8,13382.0
2004-05-09,13198.0,13358.0,13000.0,13358.0,93448378,7158,15,13358.0
2004-05-10,12994.0,13342.0,12713.0,13342.0,51257445,3955,4,13342.0
2004-05-11,12888.0,13306.0,12675.0,13306.0,67858117,5349,15,13306.0
2004-05-12,12888.0,13301.0,12888.0,13301.0,13021010,1010,2,13301.0
2004-05-16,12676.0,13193.0,12650.0,13193.0,212893555,16815,18,13193.0
