date,open,high,low,adjClose,value,volume,count,close
2001-04-17,1100.0,1100.0,1100.0,1100.0,550000,500,1,1100.0
2001-04-18,1100.0,1100.0,1100.0,1100.0,5108400,4644,5,1100.0
2001-04-21,1110.0,1110.0,1110.0,1110.0,8880000,8000,5,1110.0
2001-04-23,1120.0,1120.0,1120.0,1120.0,1120000,1000,1,1120.0
2001-04-25,1122.0,1122.0,1122.0,1122.0,2244000,2000,2,1122.0
2001-04-28,1128.0,1130.0,1127.0,1130.0,10151000,9000,5,1130.0
2001-04-30,1147.0,1178.0,1145.0,1178.0,8052000,7000,5,1178.0
2001-05-01,1181.0,1181.0,1180.0,1180.0,8265000,7000,3,1180.0
2001-05-06,1185.0,1185.0,1185.0,1185.0,2429250,2050,1,1185.0
2001-05-07,1184.0,1184.0,1184.0,1184.0,2249600,1900,1,1184.0
2001-05-09,1184.0,1184.0,1184.0,1184.0,118400,100,1,1184.0
2001-05-21,1183.0,1184.0,1183.0,1184.0,9598240,8110,6,1184.0
2001-05-23,1187.0,1187.0,1184.0,1184.0,19319200,16300,10,1184.0
2001-05-26,1243.0,1243.0,1243.0,1243.0,870100,700,3,1243.0
2001-05-29,1305.0,1305.0,1305.0,1305.0,3915000,3000,2,1305.0
2001-06-02,1350.0,1350.0,1350.0,1350.0,2700000,2000,3,1350.0
2001-06-03,1353.0,1353.0,1352.0,1352.0,6763000,5000,3,1352.0
2001-06-06,1300.0,1350.0,1300.0,1350.0,7330000,5600,3,1350.0
2001-06-16,1283.0,1350.0,1283.0,1350.0,53586822,40000,12,1350.0
2001-06-17,1349.0,1350.0,1348.0,1350.0,103862398,77000,16,1350.0
2001-06-20,1349.0,1349.0,1349.0,1349.0,1349000,1000,1,1349.0
2001-08-01,1000.0,1000.0,1000.0,1000.0,1000000,1000,1,1000.0
2001-09-04,1000.0,1000.0,1000.0,1000.0,63000,63,1,1000.0
2001-10-28,1000.0,1000.0,1000.0,1000.0,13927000,13927,12,1000.0
2001-11-03,1000.0,1000.0,1000.0,1000.0,20000,20,1,1000.0
2001-11-06,1000.0,1000.0,1000.0,1000.0,2555000,2555,2,1000.0
2001-11-07,1000.0,1000.0,1000.0,1000.0,4603000,4603,3,1000.0
2001-12-15,1000.0,1000.0,1000.0,1000.0,1326000,1326,2,1000.0
2001-12-17,1000.0,1000.0,1000.0,1000.0,603000,603,1,1000.0
2001-12-22,1000.0,1000.0,1000.0,1000.0,71000,71,1,1000.0
2001-12-26,1000.0,1000.0,1000.0,1000.0,487000,487,1,1000.0
2002-01-07,1050.0,1050.0,1050.0,1050.0,2100000,2000,1,1050.0
2002-01-08,1054.0,1054.0,1054.0,1054.0,1054000,1000,2,1054.0
2002-01-14,1080.0,1080.0,1080.0,1080.0,5400000,5000,1,1080.0
2002-01-15,1107.0,1107.0,1107.0,1107.0,5535000,5000,1,1107.0
2002-01-16,1134.0,1134.0,1134.0,1134.0,2835000,2500,2,1134.0
2002-01-19,1162.0,1162.0,1162.0,1162.0,2324000,2000,1,1162.0
2002-01-20,1191.0,1191.0,1191.0,1191.0,1191000,1000,1,1191.0
2002-01-21,1191.0,1193.0,1191.0,1193.0,2476516,2076,2,1193.0
2002-01-22,1192.0,1220.0,1190.0,1190.0,10920024,9074,8,1190.0
2002-01-23,1210.0,1210.0,1210.0,1210.0,2698300,2230,1,1210.0
2002-01-26,1211.0,1212.0,1211.0,1211.0,11716581,9671,7,1211.0
2002-01-27,1211.0,1211.0,1211.0,1211.0,95669,79,1,1211.0
2002-01-29,1211.0,1211.0,1211.0,1211.0,4844000,4000,1,1211.0
2002-02-04,1216.0,1218.0,1216.0,1218.0,2775696,2281,2,1218.0
2002-02-13,1238.0,1240.0,1238.0,1240.0,5050240,4076,5,1240.0
2002-05-29,1150.0,1150.0,1150.0,1150.0,1150000,1000,1,1150.0
2002-06-02,1152.0,1152.0,1151.0,1151.0,1357889,1179,2,1151.0
2002-06-03,1151.0,1151.0,1151.0,1151.0,2548314,2214,2,1151.0
2002-06-09,1151.0,1151.0,1151.0,1151.0,131214,114,1,1151.0
2002-06-11,1150.0,1151.0,1150.0,1151.0,2009936,1747,2,1151.0
2002-06-17,1151.0,1151.0,1151.0,1151.0,575500,500,2,1151.0
2002-06-18,1151.0,1151.0,1151.0,1151.0,1984324,1724,1,1151.0
2002-06-19,1150.0,1150.0,1150.0,1150.0,2099900,1826,3,1150.0
2002-06-22,1150.0,1150.0,1150.0,1150.0,5883400,5116,2,1150.0
2002-06-25,1150.0,1150.0,1150.0,1150.0,524400,456,1,1150.0
2002-07-10,1150.0,1150.0,1150.0,1150.0,3974400,3456,3,1150.0
2002-07-20,1145.0,1150.0,1145.0,1150.0,5745000,5000,2,1150.0
2002-07-22,1150.0,1150.0,1150.0,1150.0,2300000,2000,1,1150.0
2002-07-23,1150.0,1150.0,1150.0,1150.0,1150000,1000,2,1150.0
2002-07-24,1150.0,1150.0,1150.0,1150.0,1150000,1000,1,1150.0
2002-08-03,1150.0,1150.0,1150.0,1150.0,5750000,5000,2,1150.0
2002-08-10,1150.0,1150.0,1150.0,1150.0,10714550,9317,1,1150.0
2002-08-14,1150.0,1150.0,1150.0,1150.0,1150000,1000,1,1150.0
2002-08-21,1150.0,1150.0,1150.0,1150.0,57500,50,1,1150.0
2002-09-28,1149.0,1149.0,1149.0,1149.0,4823502,4198,2,1149.0
2002-12-08,1092.0,1092.0,1092.0,1092.0,952224,872,1,1092.0
2002-12-18,1092.0,1092.0,1092.0,1092.0,1092000,1000,1,1092.0
2003-01-07,1089.0,1091.0,1089.0,1090.0,7495892,6878,3,1090.0
2003-01-08,1139.0,1140.0,1139.0,1140.0,9146892,8028,2,1140.0
2003-03-03,1110.0,1111.0,1110.0,1111.0,1110500,1000,2,1111.0
2003-05-20,1084.0,1084.0,1084.0,1084.0,542000,500,1,1084.0
2005-02-01,1000.0,1084.0,1000.0,1041.0,12626957,12123,10,1041.0
2005-02-05,1900.0,1900.0,1041.0,1041.0,6649999141,3500000,13,1041.0
2005-02-08,1093.0,1093.0,1056.0,1056.0,1917085,1754,4,1056.0
2005-02-09,1108.0,1108.0,1108.0,1108.0,6648000,6000,1,1108.0
2005-02-16,1163.0,1163.0,1163.0,1163.0,21742285,18695,3,1163.0
2005-02-26,1221.0,1221.0,1178.0,1178.0,1831457,1500,2,1178.0
2005-02-28,1236.0,1236.0,1236.0,1236.0,1854000,1500,1,1236.0
2005-03-01,1297.0,1297.0,1297.0,1297.0,30112449,23217,5,1297.0
2005-03-02,1361.0,1361.0,1308.0,1308.0,1360947,1000,2,1308.0
2005-03-05,1373.0,1373.0,1373.0,1373.0,8461799,6163,1,1373.0
2005-03-06,1441.0,1441.0,1378.0,1378.0,657033,456,2,1378.0
2005-06-20,1297.0,1297.0,1297.0,1297.0,591432,456,1,1297.0
2005-06-21,1361.0,1361.0,1361.0,1361.0,8166000,6000,1,1361.0
2005-06-22,1320.0,1353.0,1320.0,1353.0,1512654,1144,4,1353.0
2005-06-26,1420.0,1420.0,1364.0,1364.0,1350364,951,2,1364.0
2005-06-28,1432.0,1432.0,1411.0,1411.0,5709363,3987,3,1411.0
2005-06-29,1481.0,1481.0,1481.0,1481.0,16501302,11142,5,1481.0
2005-07-02,1555.0,1555.0,1555.0,1555.0,16377260,10532,13,1555.0
2005-07-03,1632.0,1632.0,1628.0,1628.0,8992280,5510,9,1628.0
2005-07-04,1632.0,1633.0,1631.0,1631.0,26126810,16010,18,1631.0
2005-07-05,1650.0,1670.0,1600.0,1646.0,22161617,13458,13,1646.0
2005-07-06,1646.0,1646.0,1646.0,1646.0,658400,400,1,1646.0
2005-07-16,1564.0,1642.0,1564.0,1642.0,412112,263,2,1642.0
2005-07-17,1560.0,1560.0,1560.0,1560.0,9048000,5800,2,1560.0
2005-07-18,1482.0,1482.0,1482.0,1482.0,8595600,5800,1,1482.0
2005-07-19,1408.0,1408.0,1408.0,1408.0,8166400,5800,3,1408.0
2005-07-20,1338.0,1339.0,1338.0,1338.0,21893994,16363,15,1338.0
2005-07-23,1338.0,1338.0,1301.0,1309.0,8554526,6532,4,1309.0
2005-07-24,1309.0,1309.0,1309.0,1309.0,6848688,5232,5,1309.0
2005-07-25,1299.0,1305.0,1299.0,1305.0,2976069,2291,2,1305.0
2005-07-26,1308.0,1308.0,1305.0,1305.0,3152010,2410,3,1305.0
2005-07-30,1370.0,1370.0,1318.0,1318.0,1602380,1170,3,1318.0
2005-08-07,1383.0,1383.0,1328.0,1328.0,1274576,922,2,1328.0
2005-08-08,1394.0,1760.0,1394.0,1394.0,3565215134,2040445,19,1394.0
2005-08-09,1463.0,1463.0,1463.0,1463.0,63311325,43275,13,1463.0
2005-08-10,1536.0,1536.0,1463.0,1463.0,539942,352,2,1463.0
2005-08-14,1536.0,1536.0,1501.0,1501.0,4623010,3010,5,1501.0
2005-08-15,1576.0,1576.0,1566.0,1566.0,7895660,5010,4,1566.0
2005-08-16,1644.0,1644.0,1644.0,1644.0,81160992,49368,17,1644.0
2005-08-17,1726.0,1726.0,1699.0,1724.0,63716187,36956,14,1724.0
2005-08-22,1644.0,1686.0,1638.0,1686.0,4229940,2580,3,1686.0
2005-08-23,1602.0,1602.0,1602.0,1602.0,30567762,19081,8,1602.0
2005-08-27,1602.0,1602.0,1602.0,1602.0,17556318,10959,2,1602.0
2005-08-28,1650.0,1650.0,1605.0,1605.0,676050,410,5,1605.0
2005-08-29,1600.0,1630.0,1600.0,1610.0,12209300,7582,4,1610.0
2005-08-30,1650.0,1680.0,1650.0,1655.0,12252050,7400,4,1655.0
2005-09-04,1679.0,1679.0,1660.0,1660.0,2340336,1394,4,1660.0
2005-09-07,1650.0,1655.0,1650.0,1655.0,3993050,2420,3,1655.0
2005-09-10,1679.0,1679.0,1659.0,1659.0,2004526,1194,2,1659.0
2005-09-11,1650.0,1655.0,1650.0,1655.0,3687800,2235,3,1655.0
2005-09-12,1620.0,1699.0,1620.0,1678.0,15012447,8945,7,1678.0
2005-09-14,1677.0,1677.0,1677.0,1677.0,9223500,5500,1,1677.0
2005-09-24,1669.0,1675.0,1669.0,1675.0,2002860,1200,2,1675.0
2005-10-01,1667.0,1674.0,1667.0,1674.0,600190,360,2,1674.0
2005-10-22,1591.0,1591.0,1591.0,1591.0,9943750,6250,3,1591.0
2007-10-15,1390.0,1390.0,1390.0,1390.0,417000,300,3,1390.0
2007-10-22,1390.0,1390.0,1390.0,1390.0,139000,100,1,1390.0
2007-11-19,1396.0,1396.0,1396.0,1396.0,2792000,2000,2,1396.0
2007-12-10,1377.0,1377.0,1377.0,1377.0,1377000,1000,1,1377.0
