date,open,high,low,adjClose,value,volume,count,close
2001-04-21,4552.0,4554.0,4552.0,4554.0,22769096,5000,5,4554.0
2001-04-22,4554.0,4557.0,4554.0,4557.0,16181604,3552,4,4557.0
2001-04-25,4557.0,4557.0,4557.0,4557.0,5359032,1176,2,4557.0
2001-05-06,4549.0,4549.0,4549.0,4549.0,8788668,1932,23,4549.0
2001-05-07,4550.0,4776.0,4550.0,4776.0,84042080,17720,10,4776.0
2001-05-19,4775.0,4776.0,4775.0,4776.0,8061448,1688,3,4776.0
2001-05-29,4783.0,4783.0,4783.0,4783.0,401772,84,1,4783.0
2001-05-30,4784.0,4784.0,4784.0,4784.0,401856,84,1,4784.0
2001-06-09,4786.0,4786.0,4785.0,4785.0,2076774,434,2,4785.0
2001-06-16,4787.0,4787.0,4787.0,4787.0,1570136,328,1,4787.0
2001-06-18,4789.0,4789.0,4789.0,4789.0,1187672,248,1,4789.0
2001-08-12,4650.0,4650.0,4650.0,4650.0,4650000,1000,1,4650.0
2001-08-15,4650.0,4650.0,4650.0,4650.0,5319600,1144,2,4650.0
2001-08-18,4650.0,4650.0,4650.0,4650.0,855600,184,1,4650.0
2001-08-21,4700.0,4700.0,4700.0,4700.0,2350000,500,1,4700.0
2001-08-22,4735.0,4735.0,4735.0,4735.0,1491525,315,1,4735.0
2001-08-25,4735.0,4735.0,4735.0,4735.0,3068280,648,4,4735.0
2001-08-29,4732.0,4800.0,4732.0,4800.0,11086042,2332,6,4800.0
2001-09-02,4800.0,4800.0,4800.0,4800.0,38400,8,1,4800.0
2001-09-22,4793.0,4800.0,4793.0,4800.0,4412738952,919328,13,4800.0
2001-09-24,4800.0,4800.0,4800.0,4800.0,5952000,1240,2,4800.0
2001-09-30,4795.0,4800.0,4795.0,4800.0,47977900,10000,10,4800.0
2001-10-06,4849.0,4850.0,4849.0,4850.0,12336600,2544,2,4850.0
2001-10-07,4850.0,4850.0,4850.0,4850.0,3608400,744,1,4850.0
2001-10-09,4850.0,4850.0,4850.0,4850.0,6790000,1400,1,4850.0
2001-11-04,4610.0,4610.0,4610.0,4610.0,4610000,1000,1,4610.0
2001-11-06,4607.0,4840.0,4607.0,4840.0,58341052,12264,20,4840.0
2001-11-11,4840.0,4840.0,4840.0,4840.0,2381280,492,2,4840.0
2001-12-10,4797.0,4850.0,4797.0,4850.0,23254800,4838,10,4850.0
2001-12-22,4838.0,4838.0,4838.0,4838.0,483800,100,1,4838.0
2001-12-23,4837.0,4837.0,4837.0,4837.0,406308,84,1,4837.0
2001-12-29,4828.0,4828.0,4828.0,4828.0,2356064,488,1,4828.0
2002-01-01,4818.0,4850.0,4818.0,4850.0,22693616,4700,10,4850.0
2002-01-05,4850.0,4850.0,4850.0,4850.0,14550000,3000,2,4850.0
2002-01-06,4850.0,4850.0,4850.0,4850.0,4151600,856,1,4850.0
2002-01-07,4850.0,4850.0,4850.0,4850.0,698400,144,2,4850.0
