date,open,high,low,adjClose,value,volume,count,close
2004-03-16,3802.0,3802.0,3802.0,3802.0,877159420,230710,85,3802.0
2004-03-17,3804.0,3805.0,3802.0,3802.0,643703055,169290,24,3802.0
2004-03-29,3802.0,3803.0,3802.0,3802.0,68190632,17935,12,3802.0
2004-03-30,3803.0,3803.0,3802.0,3802.0,14068704,3700,5,3802.0
2004-04-03,3803.0,3804.0,3802.0,3802.0,24758020,6510,3,3802.0
2004-04-04,3802.0,3840.0,3802.0,3806.0,21026060,5510,4,3806.0
2004-04-05,3808.0,3808.0,3808.0,3808.0,68544000,18000,8,3808.0
2004-04-06,3810.0,3810.0,3808.0,3808.0,704886080,185010,9,3808.0
2004-04-07,3830.0,3850.0,3830.0,3848.0,3828975950,994639,21,3848.0
2004-04-10,3880.0,3880.0,3850.0,3857.0,372055580,96439,31,3857.0
2004-04-12,3856.0,3857.0,3849.0,3852.0,1594918667,413554,7,3852.0
2004-04-13,3852.0,3853.0,3852.0,3852.0,42048792,10916,7,3852.0
2004-04-14,3850.0,3851.0,3850.0,3851.0,30684510,7970,2,3851.0
2004-04-17,3800.0,3850.0,3800.0,3830.0,63572700,16598,9,3830.0
2004-04-18,3852.0,3852.0,3800.0,3837.0,67479122,17586,10,3837.0
2004-04-21,3852.0,3852.0,3837.0,3842.0,24311093,6314,7,3842.0
2004-04-25,3750.0,3830.0,3750.0,3830.0,13216908,3486,4,3830.0
2004-04-26,3806.0,3806.0,3640.0,3702.0,80800616,21826,8,3702.0
2004-04-27,3800.0,3802.0,3740.0,3740.0,23755380,6250,6,3740.0
2004-05-02,3700.0,3736.0,3700.0,3736.0,4999060,1351,4,3736.0
2004-05-04,3650.0,3726.0,3650.0,3726.0,6253826,1713,3,3726.0
2004-05-08,3645.0,3717.0,3643.0,3717.0,6028984,1654,3,3717.0
2004-05-09,3601.0,3693.0,3601.0,3693.0,11668160,3240,2,3693.0
2004-05-10,3600.0,3692.0,3600.0,3692.0,173720,48,2,3692.0
2004-05-11,3508.0,3640.0,3508.0,3640.0,15892560,4530,2,3640.0
2004-05-15,3508.0,3616.0,3508.0,3616.0,10146216,2892,3,3616.0
2004-05-16,3506.0,3611.0,3506.0,3611.0,2514852,717,2,3611.0
2004-05-17,3507.0,3508.0,3506.0,3506.0,153582598,43795,13,3506.0
2004-05-19,3508.0,3508.0,3506.0,3506.0,4995372,1424,2,3506.0
2004-05-23,3400.0,3400.0,3331.0,3347.0,66008567,19716,8,3347.0
2004-05-24,3319.0,3330.0,3319.0,3322.0,71107980,21403,7,3322.0
2004-05-26,3488.0,3488.0,3488.0,3488.0,78842752,22604,4,3488.0
2004-05-29,3650.0,3650.0,3650.0,3650.0,468612550,128387,40,3650.0
2004-05-30,3832.0,3832.0,3832.0,3832.0,114960000,30000,12,3832.0
2004-05-31,4023.0,4023.0,4023.0,4023.0,354462507,88109,44,4023.0
2004-06-01,4224.0,4224.0,3832.0,4180.0,2764967300,661363,178,4180.0
2004-06-02,4190.0,4210.0,4014.0,4173.0,615440207,147452,60,4173.0
2004-06-05,4217.0,4380.0,4215.0,4293.0,538072627,125328,55,4293.0
2004-06-06,4499.0,4507.0,4499.0,4506.0,1480878284,328597,87,4506.0
2004-06-07,4502.0,4502.0,4356.0,4477.0,415527776,92812,41,4477.0
2004-06-08,4330.0,4336.0,4254.0,4289.0,119739530,27912,19,4289.0
2004-06-09,4199.0,4253.0,4075.0,4078.0,1032716506,253206,70,4078.0
2004-06-12,4002.0,4002.0,3875.0,3900.0,186647492,47854,14,3900.0
2004-06-13,3705.0,3705.0,3705.0,3705.0,151575255,40911,15,3705.0
2004-06-14,3600.0,3890.0,3600.0,3720.0,286267735,76942,26,3720.0
2004-06-16,3906.0,3906.0,3852.0,3852.0,44570826,11411,12,3852.0
2004-06-19,4044.0,4044.0,3895.0,3895.0,14617570,3615,2,3895.0
2004-06-20,4089.0,4089.0,4042.0,4042.0,49873063,12197,11,4042.0
2004-06-21,4244.0,4244.0,3906.0,4124.0,736168287,178478,77,4124.0
2004-06-22,4125.0,4218.0,4125.0,4161.0,67797757,16290,13,4161.0
2004-06-23,4125.0,4125.0,4000.0,4046.0,92785062,22927,14,4046.0
2004-06-26,4039.0,4049.0,3985.0,3994.0,113467245,28407,12,3994.0
2004-06-27,3795.0,3950.0,3795.0,3950.0,13278963,3497,5,3950.0
2004-06-28,3753.0,3930.0,3753.0,3930.0,5942769,1583,3,3930.0
2004-06-29,3734.0,3923.0,3734.0,3923.0,2021984,541,2,3923.0
2004-06-30,3727.0,3800.0,3727.0,3800.0,37296819,10007,5,3800.0
2004-07-03,3610.0,3670.0,3610.0,3670.0,39432630,10923,9,3670.0
2004-07-04,3489.0,3505.0,3487.0,3492.0,461737436,132221,44,3492.0
2004-07-05,3318.0,3485.0,3318.0,3338.0,599978746,179721,55,3338.0
2004-07-06,3477.0,3504.0,3477.0,3485.0,146209622,41953,13,3485.0
2004-07-07,3589.0,3610.0,3401.0,3584.0,157808827,44021,22,3584.0
2004-07-10,3499.0,3510.0,3405.0,3499.0,150614990,43036,26,3499.0
2004-07-11,3495.0,3495.0,3325.0,3387.0,54695291,16147,8,3387.0
2004-07-12,3250.0,3250.0,3218.0,3222.0,155487534,48252,28,3222.0
2004-07-13,3325.0,3382.0,3220.0,3282.0,367230302,111879,43,3282.0
2004-07-14,3379.0,3445.0,3300.0,3387.0,252930885,74655,31,3387.0
2004-07-17,3387.0,3400.0,3250.0,3335.0,202241801,60636,31,3335.0
2004-07-18,3293.0,3293.0,3169.0,3192.0,109232887,34212,21,3192.0
2004-07-19,3168.0,3168.0,3033.0,3105.0,115993770,37350,11,3105.0
2004-07-20,3110.0,3150.0,3100.0,3108.0,137398442,44201,34,3108.0
2004-07-24,3166.0,3263.0,3166.0,3233.0,155313152,48034,9,3233.0
2004-07-25,3394.0,3394.0,3394.0,3394.0,61159880,18020,6,3394.0
2004-07-26,3563.0,3563.0,3420.0,3420.0,9102035,2555,4,3420.0
2004-07-27,3591.0,3591.0,3591.0,3591.0,60357528,16808,7,3591.0
2004-07-28,3770.0,3770.0,3770.0,3770.0,89801400,23820,6,3770.0
2004-07-31,3958.0,3958.0,3958.0,3958.0,409569882,103479,38,3958.0
2004-08-01,4155.0,4155.0,4020.0,4133.0,2016585726,487838,150,4133.0
2004-08-02,4289.0,4300.0,4154.0,4226.0,820047552,194042,78,4226.0
2004-08-03,4225.0,4225.0,4015.0,4023.0,407874480,101378,41,4023.0
2004-08-04,3822.0,3822.0,3822.0,3822.0,96127122,25151,18,3822.0
2004-08-07,3635.0,3769.0,3631.0,3641.0,499420166,137147,58,3641.0
2004-08-08,3815.0,3822.0,3640.0,3807.0,317709243,83435,45,3807.0
2004-08-09,3700.0,3799.0,3617.0,3703.0,94467790,25511,17,3703.0
2004-08-10,3518.0,3888.0,3518.0,3657.0,214259676,58577,22,3657.0
2004-08-11,3835.0,3836.0,3835.0,3835.0,266865310,69586,25,3835.0
2004-08-14,3835.0,4020.0,3644.0,3816.0,469662462,123074,43,3816.0
2004-08-15,3900.0,4000.0,3830.0,3960.0,157971598,39889,17,3960.0
2004-08-16,3860.0,3900.0,3830.0,3853.0,192318040,49912,23,3853.0
2004-08-17,3819.0,3820.0,3700.0,3764.0,68660478,18239,12,3764.0
2004-08-18,3650.0,3663.0,3576.0,3645.0,252187537,69173,22,3645.0
2004-08-21,3600.0,3600.0,3517.0,3546.0,93721260,26425,6,3546.0
2004-08-22,3400.0,3400.0,3369.0,3383.0,56662045,16745,5,3383.0
2004-08-23,3258.0,3259.0,3214.0,3240.0,83436858,25752,11,3240.0
2004-08-24,3250.0,3390.0,3078.0,3352.0,249605145,74459,21,3352.0
2004-08-25,3390.0,3500.0,3390.0,3465.0,77142746,22257,11,3465.0
2004-08-28,3512.0,3513.0,3400.0,3441.0,191316134,55597,15,3441.0
2004-08-29,3438.0,3438.0,3269.0,3305.0,105053172,31786,13,3305.0
2004-08-31,3254.0,3254.0,3249.0,3251.0,181102434,55698,22,3251.0
2004-09-01,3240.0,3240.0,3239.0,3239.0,116581499,35982,19,3239.0
2004-09-04,3350.0,3400.0,3350.0,3373.0,45878430,13501,7,3373.0
2004-09-05,3541.0,3541.0,3541.0,3541.0,56656000,16000,8,3541.0
2004-09-06,3718.0,3718.0,3469.0,3615.0,399877434,110604,53,3615.0
2004-09-07,3449.0,3457.0,3435.0,3445.0,271950189,78939,26,3445.0
2004-09-08,3435.0,3435.0,3273.0,3425.0,83579592,24396,8,3425.0
2004-09-11,3505.0,3596.0,3434.0,3445.0,298572226,86667,34,3445.0
2004-09-12,3617.0,3617.0,3617.0,3617.0,197488200,54600,9,3617.0
2004-09-14,3797.0,3797.0,3780.0,3793.0,223333850,58870,32,3793.0
2004-09-15,3982.0,3982.0,3982.0,3982.0,217759652,54686,25,3982.0
2004-09-18,4181.0,4181.0,3970.0,4050.0,2203182318,543934,150,4050.0
2004-09-19,4181.0,4252.0,4101.0,4193.0,1414067972,337180,97,4193.0
2004-09-20,4199.0,4402.0,4199.0,4322.0,1266335686,292995,91,4322.0
2004-09-21,4537.0,4537.0,4300.0,4371.0,1924101347,440117,121,4371.0
2004-09-22,4371.0,4470.0,4300.0,4413.0,1233154699,279423,92,4413.0
2004-09-25,4445.0,4633.0,4415.0,4573.0,2562044842,560234,170,4573.0
2004-09-26,4801.0,4801.0,4799.0,4800.0,14146265176,2946538,585,4800.0
2004-09-27,5030.0,5030.0,4600.0,4768.0,3743933788,785121,193,4768.0
2004-09-28,4602.0,4602.0,4530.0,4544.0,388078768,85390,32,4544.0
2004-09-29,4317.0,4317.0,4317.0,4317.0,160484475,37175,33,4317.0
2004-10-02,4102.0,4200.0,4102.0,4116.0,2530889292,614772,149,4116.0
2004-10-03,4114.0,4114.0,3911.0,3953.0,1395459829,353010,99,3953.0
2004-10-04,3911.0,3999.0,3756.0,3803.0,699980221,184013,70,3803.0
2004-10-05,3794.0,3992.0,3615.0,3922.0,1134948002,289361,92,3922.0
2004-10-06,4118.0,4118.0,4110.0,4116.0,504374815,122535,48,4116.0
2004-10-09,4321.0,4321.0,4198.0,4269.0,683822312,160173,82,4269.0
2004-10-10,4200.0,4200.0,4056.0,4089.0,164550308,40237,33,4089.0
2004-10-11,3902.0,3998.0,3885.0,3909.0,820435732,209872,72,3909.0
2004-10-12,3909.0,3909.0,3890.0,3898.0,307749888,78939,34,3898.0
2004-10-13,3900.0,3900.0,3709.0,3745.0,435613873,116304,50,3745.0
2004-10-16,3790.0,3932.0,3790.0,3864.0,905862675,234434,56,3864.0
2004-10-17,3899.0,3930.0,3802.0,3863.0,331982613,85934,43,3863.0
2004-10-18,3862.0,3862.0,3670.0,3791.0,183691168,48451,32,3791.0
2004-10-19,3720.0,3780.0,3700.0,3744.0,217073126,57975,26,3744.0
2004-10-20,3729.0,3730.0,3680.0,3698.0,257821733,69707,27,3698.0
2004-10-23,3735.0,3803.0,3720.0,3736.0,366828915,98166,43,3736.0
2004-10-24,3882.0,3922.0,3882.0,3892.0,328759055,84466,38,3892.0
2004-10-25,3870.0,3870.0,3698.0,3765.0,347413980,92272,35,3765.0
2004-10-26,3839.0,3839.0,3799.0,3817.0,321770917,84281,37,3817.0
2004-10-27,3815.0,3818.0,3690.0,3793.0,536046928,141319,49,3793.0
2004-10-30,3650.0,3651.0,3604.0,3624.0,88022117,24287,14,3624.0
2004-10-31,3600.0,3620.0,3443.0,3463.0,311910257,90056,37,3463.0
2004-11-01,3310.0,3635.0,3291.0,3389.0,178999553,52815,27,3389.0
2004-11-02,3505.0,3558.0,3505.0,3557.0,149185336,41937,22,3557.0
2004-11-03,3734.0,3734.0,3602.0,3695.0,787337573,213077,78,3695.0
2004-11-06,3603.0,3750.0,3600.0,3687.0,278124718,75424,35,3687.0
2004-11-07,3700.0,3701.0,3680.0,3695.0,205048840,55485,31,3695.0
2004-11-08,3799.0,3800.0,3750.0,3789.0,193402135,51032,29,3789.0
2004-11-09,3850.0,3850.0,3750.0,3790.0,145082660,38280,26,3790.0
2004-11-10,3770.0,3780.0,3700.0,3745.0,351676699,93885,46,3745.0
2004-11-13,3700.0,3700.0,3558.0,3624.0,182703533,50405,23,3624.0
2004-11-15,3559.0,3805.0,3559.0,3770.0,385731784,102304,38,3770.0
2004-11-16,3770.0,3805.0,3600.0,3771.0,217357254,57639,26,3771.0
2004-11-17,3798.0,3799.0,3602.0,3710.0,102385523,27590,18,3710.0
2004-11-20,3700.0,3700.0,3583.0,3647.0,56999798,15633,17,3647.0
2004-11-21,3581.0,3583.0,3500.0,3512.0,262556920,74740,37,3512.0
2004-11-22,3512.0,3512.0,3381.0,3406.0,1390413149,408137,130,3406.0
2004-11-23,3423.0,3576.0,3423.0,3549.0,205279786,57832,24,3549.0
2004-11-24,3725.0,3726.0,3619.0,3718.0,599034375,161095,89,3718.0
2004-11-27,3779.0,3798.0,3718.0,3750.0,267767463,71404,42,3750.0
2004-11-28,3620.0,3699.0,3563.0,3602.0,664327293,184401,52,3602.0
2004-11-29,3700.0,3758.0,3700.0,3720.0,288774054,77625,41,3720.0
2004-11-30,3700.0,3700.0,3534.0,3602.0,499058285,138534,51,3602.0
2004-12-01,3602.0,3602.0,3560.0,3589.0,222665868,62034,46,3589.0
2004-12-04,3588.0,3630.0,3588.0,3610.0,139858495,38737,24,3610.0
2004-12-05,3680.0,3790.0,3679.0,3733.0,419110323,112265,61,3733.0
2004-12-06,3732.0,3820.0,3620.0,3698.0,966934188,261473,86,3698.0
2004-12-07,3725.0,3882.0,3725.0,3843.0,696711014,181263,75,3843.0
2004-12-11,3882.0,4035.0,3882.0,3998.0,1048502559,262207,95,3998.0
2004-12-12,4010.0,4197.0,4010.0,4131.0,825847344,199912,79,4131.0
2004-12-13,4337.0,4337.0,4000.0,4186.0,1135632247,271292,106,4186.0
2004-12-14,3977.0,3977.0,3977.0,3977.0,206187565,51845,24,3977.0
2004-12-15,3850.0,4000.0,3779.0,3898.0,379215113,97277,54,3898.0
2004-12-18,4000.0,4092.0,4000.0,4045.0,635875075,157178,57,4045.0
2004-12-19,4044.0,4045.0,3904.0,3985.0,538636725,135156,55,3985.0
2004-12-20,4000.0,4000.0,3850.0,3895.0,778285551,199800,50,3895.0
2004-12-21,3879.0,3950.0,3855.0,3928.0,217106840,55267,25,3928.0
2004-12-22,3928.0,3974.0,3880.0,3921.0,372353815,94944,33,3921.0
2004-12-25,3980.0,3990.0,3900.0,3918.0,773819327,197466,55,3918.0
2004-12-26,3988.0,4113.0,3800.0,3970.0,1777855671,447728,119,3970.0
2004-12-27,4168.0,4168.0,4168.0,4168.0,411381600,98700,36,4168.0
2004-12-28,4376.0,4376.0,4376.0,4376.0,977637784,223409,61,4376.0
2004-12-29,4376.0,4376.0,4158.0,4210.0,593836560,141031,71,4210.0
2005-01-01,4012.0,4100.0,4000.0,4053.0,1043505335,257452,76,4053.0
2005-01-02,4053.0,4053.0,3859.0,3912.0,389221353,99489,41,3912.0
2005-01-03,3951.0,3999.0,3909.0,3948.0,320994902,81299,44,3948.0
2005-01-04,3948.0,3948.0,3799.0,3824.0,1185720598,309995,84,3824.0
