date,open,high,low,adjClose,value,volume,count,close
2005-01-22,5500.0,5500.0,3250.0,5500.0,3025370000,596360,1226,5500.0
2005-01-23,5775.0,5775.0,5775.0,5775.0,2881725000,499000,110,5775.0
2005-01-24,6063.0,6063.0,6063.0,6063.0,2970870000,490000,390,6063.0
2005-01-25,6366.0,6366.0,6366.0,6366.0,3176634000,499000,226,6366.0
2005-01-26,6684.0,6684.0,6076.0,6564.0,2268490410,345609,659,6564.0
2005-01-30,6236.0,6236.0,6236.0,6236.0,123828252,19857,57,6236.0
2005-01-31,5925.0,5925.0,5925.0,5925.0,6250875,1055,2,5925.0
2005-02-01,5629.0,5629.0,5629.0,5629.0,74055124,13156,10,5629.0
2005-02-02,5348.0,5798.0,5348.0,5430.0,1259348147,231924,316,5430.0
2005-02-05,5698.0,5698.0,5470.0,5497.0,90606816,16480,22,5497.0
2005-02-06,5469.0,5469.0,5223.0,5240.0,158109317,30171,23,5240.0
2005-02-07,4978.0,5090.0,4978.0,4979.0,463914532,93156,85,4979.0
2005-02-08,5035.0,5200.0,4814.0,4989.0,116621275,23375,40,4989.0
2005-02-12,5434.0,5458.0,5110.0,5232.0,127275242,24322,39,5232.0
2005-02-13,5232.0,5232.0,4971.0,5116.0,220939574,43184,25,5116.0
2005-02-14,4862.0,4965.0,4862.0,4915.0,70733670,14389,20,4915.0
2005-02-15,4673.0,4673.0,4670.0,4670.0,74261700,15900,5,4670.0
2005-02-16,4437.0,4614.0,4437.0,4481.0,47331761,10561,18,4481.0
2005-02-21,4500.0,4500.0,4487.0,4487.0,24924870,5550,12,4487.0
2005-02-22,4483.0,4499.0,4307.0,4394.0,96797415,22029,28,4394.0
2005-02-23,4310.0,4600.0,4310.0,4553.0,58258400,12793,29,4553.0
2005-02-26,4700.0,4700.0,4700.0,4700.0,45120000,9600,9,4700.0
2005-02-27,4935.0,4935.0,4708.0,4708.0,1527580,310,2,4708.0
2005-02-28,4943.0,4943.0,4716.0,4716.0,1530060,310,2,4716.0
2005-03-01,4951.0,4951.0,4951.0,4951.0,41741881,8431,21,4951.0
2005-03-02,5198.0,5198.0,4951.0,5155.0,423239542,82094,109,5155.0
2005-03-05,5206.0,5408.0,5201.0,5372.0,147782377,27509,42,5372.0
2005-03-06,5406.0,5407.0,5300.0,5370.0,71889064,13387,18,5370.0
2005-03-07,5102.0,5268.0,5102.0,5143.0,82360514,16014,19,5143.0
2005-03-08,5050.0,5143.0,5004.0,5091.0,98266850,19301,27,5091.0
2005-03-09,5235.0,5235.0,5093.0,5093.0,5675109,1110,5,5093.0
2005-03-12,5090.0,5237.0,5090.0,5144.0,23983855,4628,11,5144.0
2005-03-13,5144.0,5232.0,5144.0,5202.0,88659844,17042,22,5202.0
2005-03-14,5236.0,5462.0,5236.0,5364.0,135491368,25257,37,5364.0
2005-03-15,5630.0,5632.0,5630.0,5631.0,179889926,31942,39,5631.0
2005-03-16,5600.0,6640.0,5510.0,5854.0,35717841561,5416677,116,5854.0
2005-03-26,6140.0,6146.0,6000.0,6142.0,138122545,22485,18,6142.0
2005-03-27,6350.0,6449.0,6236.0,6413.0,120824875,18839,43,6413.0
2005-03-28,6650.0,6733.0,6422.0,6705.0,112550954,16785,26,6705.0
2005-03-29,7040.0,7040.0,6729.0,6913.0,1690143690,244482,125,6913.0
2005-03-30,7258.0,7258.0,7250.0,7257.0,1264548582,174232,76,7257.0
2005-04-03,7619.0,7619.0,7258.0,7437.0,344284481,46291,41,7437.0
2005-04-04,7180.0,7192.0,7066.0,7118.0,414639879,58249,37,7118.0
2005-04-05,6810.0,7120.0,6763.0,7011.0,932407127,132976,116,7011.0
2005-04-06,6994.0,6994.0,6823.0,6924.0,339069929,48966,52,6924.0
2005-04-12,6995.0,7270.0,6995.0,7140.0,107634218,15073,16,7140.0
2005-04-13,7450.0,7497.0,7450.0,7483.0,77115445,10305,5,7483.0
2005-04-16,7857.0,7857.0,7857.0,7857.0,2002364307,254851,104,7857.0
2005-04-17,7880.0,8000.0,7875.0,7914.0,301250699,38064,44,7914.0
2005-04-18,7870.0,7914.0,7519.0,7550.0,311055697,41197,49,7550.0
2005-04-19,7386.0,7519.0,7180.0,7435.0,238735829,32107,23,7435.0
2005-04-20,7300.0,7367.0,7287.0,7312.0,353289228,48311,49,7312.0
2005-04-23,7312.0,7312.0,7299.0,7310.0,138103772,18891,18,7310.0
2005-04-24,7323.0,7400.0,7310.0,7330.0,624388446,85178,31,7330.0
2005-04-25,7499.0,7500.0,7350.0,7403.0,336164670,45407,31,7403.0
2005-04-27,7770.0,7773.0,7450.0,7764.0,542218459,69836,37,7764.0
2005-04-30,7800.0,7899.0,7700.0,7797.0,266831178,34222,29,7797.0
2005-05-01,7700.0,7800.0,7650.0,7740.0,469519330,60659,35,7740.0
2005-05-02,7741.0,7743.0,7506.0,7601.0,356612512,46916,25,7601.0
2005-05-03,7799.0,7900.0,7690.0,7823.0,660101398,84369,36,7823.0
2005-05-04,7869.0,8214.0,7869.0,8178.0,797374088,97495,65,8178.0
2005-05-07,8550.0,8580.0,8499.0,8532.0,1874646272,219694,70,8532.0
2005-05-08,8850.0,8958.0,8554.0,8889.0,2129736587,239587,78,8889.0
2005-05-09,8602.0,9010.0,8602.0,8872.0,5760572904,646384,118,8872.0
2005-05-10,9000.0,9315.0,9000.0,9311.0,1823848090,195874,71,9311.0
2005-05-24,10990.0,12000.0,9340.0,11396.0,3135567165,275131,179,11396.0
2005-05-25,11000.0,11888.0,10828.0,11664.0,3321043872,286745,113,11664.0
2005-05-28,12247.0,12247.0,12246.0,12246.0,3621094824,295672,170,12246.0
2005-05-29,12858.0,12858.0,12399.0,12549.0,1432887513,114182,75,12549.0
2005-05-30,12500.0,13000.0,12497.0,12611.0,4183809527,331752,116,12611.0
2005-05-31,12406.0,12799.0,12021.0,12321.0,1379856190,111988,84,12321.0
2005-06-01,12292.0,12299.0,11705.0,11762.0,904581105,76905,71,11762.0
2005-06-06,11600.0,11601.0,11174.0,11215.0,926801299,82635,63,11215.0
2005-06-07,11145.0,11712.0,10756.0,11443.0,5655548568,496730,196,11443.0
2005-06-08,11443.0,12015.0,11443.0,11912.0,4660496864,395883,92,11912.0
2005-06-11,12507.0,12507.0,12200.0,12504.0,11969960786,957235,250,12504.0
2005-06-12,12599.0,13129.0,11901.0,12844.0,5253108222,408988,170,12844.0
2005-06-13,13485.0,13486.0,12800.0,13257.0,5019765599,378647,222,13257.0
2005-06-14,13896.0,13919.0,13880.0,13909.0,1790839647,128746,90,13909.0
2005-06-15,14604.0,14604.0,14600.0,14603.0,2961491217,202788,117,14603.0
2005-06-18,15320.0,15333.0,15001.0,15222.0,6317831494,414244,180,15222.0
2005-06-19,15299.0,15299.0,14461.0,14727.0,5573171676,378413,174,14727.0
2005-06-20,14500.0,15463.0,14005.0,14699.0,836704794,56919,42,14699.0
2005-07-04,13290.0,14900.0,9001.0,13155.0,1893922350,143964,80,13155.0
2005-07-05,13812.0,13812.0,13812.0,13812.0,1450605300,105025,64,13812.0
