date,open,high,low,adjClose,value,volume,count,close
2001-03-26,39450.0,40003.0,39397.0,39397.0,273709743,6925,36,39397.0
2001-03-27,39299.0,39349.0,38413.0,38413.0,54737419,1407,17,38413.0
2001-03-28,38398.0,38400.0,37453.0,37500.0,228438810,6069,34,37500.0
2001-03-31,37500.0,38400.0,37500.0,38153.0,240223279,6371,41,38153.0
2001-04-03,38156.0,38200.0,38155.0,38200.0,104078000,2725,15,38200.0
2001-04-07,38200.0,38500.0,38119.0,38500.0,211042860,5511,30,38500.0
2001-04-08,38500.0,38600.0,38489.0,38600.0,615886924,15989,86,38600.0
2001-04-09,38604.0,38700.0,38600.0,38700.0,424297739,10984,51,38700.0
2001-04-10,38701.0,38705.0,38600.0,38600.0,160211217,4141,28,38600.0
2001-04-11,38579.0,38579.0,37920.0,38358.0,308971551,8081,44,38358.0
2001-04-14,38358.0,38395.0,38250.0,38351.0,696574095,18171,37,38351.0
2001-04-15,38350.0,38460.0,38350.0,38460.0,310124109,8077,34,38460.0
2001-04-16,38460.0,38700.0,38400.0,38700.0,262327116,6807,34,38700.0
2001-04-17,38700.0,38801.0,38700.0,38800.0,981273223,25316,63,38800.0
2001-04-18,38800.0,38850.0,38789.0,38789.0,1073810253,27675,77,38789.0
2001-04-21,38800.0,38800.0,38450.0,38488.0,187606402,4857,18,38488.0
2001-04-22,38488.0,38488.0,38104.0,38104.0,171069431,4472,20,38104.0
2001-04-23,37724.0,38099.0,37723.0,37850.0,210279241,5567,29,37850.0
2001-04-24,37849.0,37850.0,37498.0,37700.0,693946698,18495,86,37700.0
2001-04-25,37702.0,38077.0,37702.0,38077.0,945878354,24892,49,38077.0
2001-04-28,38097.0,38400.0,38097.0,38200.0,737050029,19271,64,38200.0
2001-04-29,38200.0,38200.0,38000.0,38000.0,1097838177,28800,65,38000.0
2001-04-30,37999.0,37999.0,37620.0,37620.0,243662301,6457,25,37620.0
2001-05-01,37244.0,37398.0,37244.0,37244.0,544597168,14622,47,37244.0
2001-05-02,37239.0,37242.0,37190.0,37190.0,136103359,3657,17,37190.0
2001-05-05,36872.0,37180.0,36872.0,37136.0,648269872,17480,75,37136.0
2001-05-06,37100.0,37200.0,37050.0,37050.0,762109249,20514,114,37050.0
2001-05-07,37100.0,37830.0,37100.0,37830.0,824417358,21968,98,37830.0
2001-05-08,38100.0,38775.0,37841.0,38775.0,1000308142,25876,30,38775.0
2001-05-15,38902.0,38911.0,38699.0,38784.0,1395370500,35930,124,38784.0
2001-05-16,38774.0,38774.0,38397.0,38499.0,778935851,20237,55,38499.0
2001-05-19,38115.0,38499.0,38115.0,38115.0,1398688678,36664,82,38115.0
2001-05-20,38000.0,38115.0,37999.0,38102.0,884949601,23241,72,38102.0
2001-05-21,38011.0,38102.0,37980.0,38102.0,967892804,25439,69,38102.0
2001-05-23,38103.0,38105.0,37993.0,38100.0,536706130,14102,55,38100.0
2001-05-26,38100.0,38100.0,37905.0,37905.0,265328420,6983,24,37905.0
2001-05-27,37894.0,37903.0,37630.0,37630.0,241196347,6392,26,37630.0
2001-05-28,37598.0,37600.0,37254.0,37254.0,44166320,1180,7,37254.0
2001-05-29,36882.0,36882.0,36882.0,36882.0,106220160,2880,14,36882.0
2001-05-30,36514.0,36514.0,36514.0,36514.0,6755090,185,2,36514.0
2001-06-02,36148.0,36148.0,36148.0,36148.0,50571052,1399,9,36148.0
