date,open,high,low,adjClose,value,volume,count,close
2001-03-25,7940.0,7940.0,7939.0,7940.0,5486253,691,12,7940.0
2001-03-26,7939.0,7939.0,7939.0,7939.0,174658,22,1,7939.0
2001-03-27,7939.0,7939.0,7939.0,7939.0,7716708,972,3,7939.0
2001-03-28,7938.0,7939.0,7938.0,7939.0,8192442,1032,5,7939.0
2001-04-07,7936.0,7936.0,7936.0,7936.0,5555200,700,3,7936.0
2001-04-08,7936.0,7936.0,7936.0,7936.0,238080,30,3,7936.0
2001-04-10,7925.0,7939.0,7898.0,7939.0,172477019,21787,17,7939.0
2001-04-11,7929.0,7929.0,7929.0,7929.0,5233140,660,2,7929.0
2001-04-14,7899.0,7929.0,7899.0,7928.0,145872139,18460,25,7928.0
2001-04-15,7895.0,7895.0,7884.0,7884.0,3124666,396,7,7884.0
2001-04-17,7869.0,7870.0,7869.0,7870.0,1573989,200,6,7870.0
2001-04-18,7860.0,7860.0,7800.0,7800.0,6578248,842,10,7800.0
2001-04-21,7801.0,7801.0,7799.0,7801.0,69662783,8931,24,7801.0
2001-04-22,7799.0,7800.0,7799.0,7800.0,124526000,15965,22,7800.0
2001-04-23,7800.0,7800.0,7790.0,7790.0,23800435,3052,10,7790.0
2001-04-30,7650.0,7650.0,7600.0,7600.0,25430800,3333,11,7600.0
2001-05-01,7600.0,7600.0,7399.0,7400.0,32517750,4356,28,7400.0
2001-05-02,7301.0,7350.0,7301.0,7350.0,91979287,12531,26,7350.0
2001-05-05,7350.0,7350.0,7299.0,7299.0,19842615,2713,18,7299.0
2001-05-06,7290.0,7299.0,7250.0,7299.0,32946867,4517,16,7299.0
2001-05-07,7299.0,7600.0,7299.0,7600.0,795071399,104773,31,7600.0
2001-05-08,7602.0,7800.0,7600.0,7800.0,509211334,65428,28,7800.0
2001-05-15,7800.0,7800.0,4390.0,7779.0,49102812,10910,34,7779.0
2001-05-16,7775.0,7810.0,7775.0,7810.0,886227946,113621,17,7810.0
2001-05-19,7790.0,7812.0,4395.0,7790.0,163344404,21329,42,7790.0
2001-05-20,7779.0,7810.0,7596.0,7810.0,70488999,9073,21,7810.0
2001-05-21,7786.0,7786.0,7768.0,7768.0,956142,123,4,7768.0
2001-05-23,7749.0,7749.0,7743.0,7743.0,9591342,1238,5,7743.0
2001-05-26,7729.0,7729.0,7729.0,7729.0,6445986,834,4,7729.0
2001-05-27,7640.0,7690.0,7632.0,7632.0,13701276,1790,11,7632.0
2001-05-28,7591.0,7632.0,7591.0,7632.0,71750684,9440,35,7632.0
2001-05-29,7632.0,7650.0,7630.0,7636.0,32304723,4228,23,7636.0
2001-05-30,7629.0,7629.0,7625.0,7625.0,4675949,613,3,7625.0
2001-06-02,7493.0,7493.0,7250.0,7250.0,3060998,421,3,7250.0
2001-06-03,7245.0,7612.0,7235.0,7612.0,329796909,43899,109,7612.0
