date,open,high,low,adjClose,value,volume,count,close
2001-09-22,1500.0,1500.0,1500.0,1500.0,3616500,2411,3,1500.0
2001-09-24,1500.0,1500.0,1500.0,1500.0,883500,589,1,1500.0
2001-10-16,1425.0,1425.0,1425.0,1425.0,1425000,1000,1,1425.0
2001-10-29,1425.0,1425.0,1425.0,1425.0,28500,20,1,1425.0
2001-10-30,1395.0,1395.0,1395.0,1395.0,1968345,1411,1,1395.0
2001-10-31,1395.0,1395.0,1355.0,1355.0,8330000,6000,3,1355.0
2001-11-05,1300.0,1300.0,1300.0,1300.0,9301500,7155,5,1300.0
2001-11-06,1299.0,1300.0,1299.0,1300.0,1949072,1500,4,1300.0
2001-11-07,1280.0,1280.0,1280.0,1280.0,1806080,1411,1,1280.0
2001-11-10,1270.0,1270.0,1260.0,1260.0,9215240,7274,5,1260.0
2001-11-11,1260.0,1300.0,1260.0,1300.0,10209460,7916,8,1300.0
2001-11-12,1349.0,1349.0,1349.0,1349.0,260357,193,1,1349.0
2001-11-13,1410.0,1410.0,1400.0,1410.0,41658510,29671,15,1410.0
2001-11-14,1412.0,1412.0,1412.0,1412.0,3825108,2709,3,1412.0
2001-11-17,1415.0,1415.0,1415.0,1415.0,2139480,1512,3,1415.0
2001-11-18,1414.0,1416.0,1414.0,1414.0,8411456,5947,6,1414.0
2001-11-21,1410.0,1410.0,1410.0,1410.0,1426920,1012,2,1410.0
2001-11-26,1352.0,1352.0,1352.0,1352.0,1352000,1000,2,1352.0
2001-12-02,1338.0,1338.0,1300.0,1300.0,4101700,3150,8,1300.0
2001-12-03,1298.0,1298.0,1235.0,1235.0,2479450,2000,3,1235.0
2001-12-04,1235.0,1235.0,1235.0,1235.0,185250,150,1,1235.0
2001-12-08,1199.0,1229.0,1199.0,1229.0,7319899,6000,7,1229.0
2001-12-10,1229.0,1229.0,1229.0,1229.0,4275691,3479,6,1229.0
2001-12-11,1231.0,1231.0,1229.0,1229.0,10279501,8361,9,1229.0
2001-12-12,1230.0,1230.0,1230.0,1230.0,6961800,5660,6,1230.0
2001-12-15,1230.0,1230.0,1230.0,1230.0,3790860,3082,4,1230.0
2001-12-22,1229.0,1250.0,1229.0,1250.0,13486334,10881,6,1250.0
2001-12-23,1250.0,1250.0,1250.0,1250.0,312500,250,1,1250.0
2001-12-24,1250.0,1250.0,1250.0,1250.0,8876250,7101,8,1250.0
2001-12-25,1250.0,1250.0,1250.0,1250.0,5490000,4392,6,1250.0
2001-12-26,1240.0,1240.0,1239.0,1240.0,2173132,1753,5,1240.0
2001-12-29,1239.0,1239.0,1239.0,1239.0,510468,412,1,1239.0
2001-12-30,1238.0,1238.0,1238.0,1238.0,1229334,993,2,1238.0
2002-06-18,1150.0,1150.0,1150.0,1150.0,1150000,1000,1,1150.0
2002-07-15,1139.0,1149.0,1139.0,1149.0,9893510,8630,4,1149.0
2002-09-16,1000.0,1000.0,1000.0,1000.0,1000000,1000,1,1000.0
2002-09-24,950.0,1000.0,950.0,1000.0,546500,570,3,1000.0
2002-10-06,950.0,1000.0,950.0,1000.0,96626050,100100,32,1000.0
