date,open,high,low,adjClose,value,volume,count,close
2002-11-30,6300.0,6900.0,6300.0,6900.0,19700000,3000,3,6900.0
2002-12-01,7000.0,7000.0,7000.0,7000.0,17500000,2500,3,7000.0
2002-12-04,5599.0,5999.0,5599.0,5999.0,74904500,13020,7,5999.0
2002-12-09,5997.0,5997.0,5997.0,5997.0,4935531,823,1,5997.0
2002-12-11,5964.0,6500.0,5964.0,5999.0,147572340,24538,15,5999.0
2002-12-14,6460.0,6460.0,6460.0,6460.0,1485800,230,1,6460.0
2002-12-15,6370.0,6370.0,6370.0,6370.0,26339950,4135,6,6370.0
2002-12-17,6000.0,6283.0,6000.0,6283.0,128733460,21000,10,6283.0
2002-12-21,6042.0,6042.0,6042.0,6042.0,7371240,1220,2,6042.0
2002-12-29,5876.0,5876.0,5876.0,5876.0,3778268,643,2,5876.0
2002-12-31,5796.0,5796.0,5599.0,5599.0,21826985,3855,8,5599.0
2003-01-01,5593.0,5593.0,5411.0,5491.0,180275141,32920,21,5491.0
2003-01-04,5593.0,5700.0,5593.0,5700.0,136358526,24202,14,5700.0
2003-01-05,5700.0,5700.0,5600.0,5600.0,104241618,18454,16,5600.0
2003-01-06,5500.0,5500.0,5410.0,5410.0,161083165,29526,13,5410.0
2003-01-07,5299.0,5300.0,5274.0,5274.0,11007900,2080,4,5274.0
2003-01-08,5249.0,5262.0,5200.0,5262.0,304963636,58585,39,5262.0
2003-01-11,5499.0,5600.0,5499.0,5600.0,42837149,7779,5,5600.0
2003-01-12,5700.0,5900.0,5650.0,5850.0,260659388,45275,31,5850.0
2003-01-13,6101.0,6102.0,5900.0,5999.0,399712398,66106,48,5999.0
2003-01-14,5500.0,5533.0,5300.0,5400.0,658546766,122509,62,5400.0
2003-01-15,5300.0,5400.0,5000.0,5347.0,12145736418,2414984,123,5347.0
2003-02-04,4500.0,4500.0,4500.0,4500.0,1589238000,353164,10,4500.0
