date,open,high,low,adjClose,value,volume,count,close
2004-03-16,18000.0,21061.0,18000.0,19661.0,30474929411,1550000,1430,19661.0
2004-03-17,20644.0,20644.0,20644.0,20644.0,34248396000,1659000,285,20644.0
2004-03-29,21676.0,21676.0,21171.0,21171.0,216759495,10000,13,21171.0
2004-03-30,22229.0,22229.0,21711.0,21711.0,222289482,10000,9,21711.0
2004-04-03,22796.0,22796.0,22796.0,22796.0,2353687000,103250,54,22796.0
2004-04-04,23935.0,23935.0,23935.0,23935.0,14826296400,619440,317,23935.0
2004-04-05,23935.0,24300.0,23200.0,23657.0,2642699348,111705,171,23657.0
2004-04-06,24296.0,24600.0,23650.0,24109.0,2819759365,116955,76,24109.0
2004-04-07,24500.0,24600.0,24450.0,24513.0,1005353720,41012,51,24513.0
2004-04-10,24514.0,24581.0,23600.0,24251.0,2952533006,121748,78,24251.0
2004-04-12,24048.0,24048.0,23200.0,23734.0,344358779,14755,12,23734.0
2004-04-13,22698.0,23180.0,22548.0,22704.0,1512563246,66621,48,22704.0
2004-04-14,22601.0,22693.0,22548.0,22693.0,49431330,2189,6,22693.0
2004-04-17,22694.0,22695.0,22300.0,22633.0,158462830,7051,19,22633.0
2004-04-18,22256.0,23200.0,21800.0,22234.0,929784892,41817,48,22234.0
2004-04-21,22234.0,22234.0,22001.0,22232.0,6890388,312,3,22232.0
2004-04-24,21121.0,23000.0,21121.0,22034.0,179803193,8319,23,22034.0
2004-04-25,22034.0,22034.0,21122.0,21937.0,126757866,5867,10,21937.0
2004-04-26,21925.0,21927.0,21922.0,21927.0,350516154,15989,16,21927.0
2004-04-27,22000.0,22000.0,21500.0,21706.0,403243655,18652,24,21706.0
2004-04-28,21500.0,21686.0,21500.0,21686.0,53966860,2510,8,21686.0
2004-05-01,21710.0,21746.0,21710.0,21711.0,324291054,14923,11,21711.0
2004-05-04,21500.0,21669.0,21499.0,21669.0,109628190,5099,6,21669.0
