date,open,high,low,adjClose,value,volume,count,close
2001-05-20,2099.0,2100.0,2099.0,2100.0,1234653,588,2,2100.0
2001-05-23,2100.0,2100.0,2100.0,2100.0,926100,441,1,2100.0
2001-05-29,1550.0,2100.0,1550.0,2100.0,966400,588,3,2100.0
2001-06-02,2100.0,2100.0,2100.0,2100.0,2160900,1029,3,2100.0
2002-08-11,5000.0,5000.0,5000.0,5000.0,15000000,3000,1,5000.0
2002-11-13,5000.0,5000.0,5000.0,5000.0,735000,147,1,5000.0
2003-05-13,3900.0,3900.0,3900.0,3900.0,390000000,100000,10,3900.0
2003-05-26,3940.0,3940.0,3940.0,3940.0,2316720,588,1,3940.0
2003-06-15,4137.0,4137.0,4137.0,4137.0,8274000,2000,1,4137.0
2003-06-16,4137.0,4137.0,4137.0,4137.0,2432556,588,1,4137.0
2003-06-22,4137.0,4137.0,4137.0,4137.0,608139,147,1,4137.0
2003-06-30,4137.0,4137.0,4137.0,4137.0,2432556,588,1,4137.0
2003-07-01,4137.0,4137.0,4137.0,4137.0,608139,147,1,4137.0
2004-02-07,5000.0,5000.0,1000.0,1909.0,16800909,8800,3,1909.0
2004-02-08,2004.0,2004.0,1935.0,1935.0,2003931,1000,2,1935.0
2004-02-09,2000.0,2000.0,1944.0,1944.0,999944,500,2,1944.0
2004-02-14,2041.0,2041.0,1957.0,1957.0,1020416,500,2,1957.0
2004-02-28,2000.0,2000.0,1968.0,1968.0,1999968,1000,2,1968.0
2004-03-03,1968.0,1968.0,1968.0,1968.0,984000,500,1,1968.0
2004-04-04,2066.0,2066.0,1970.0,1970.0,226300,110,2,1970.0
2004-05-16,1950.0,1966.0,1950.0,1966.0,2944660,1510,2,1966.0
2004-11-24,2000.0,2000.0,2000.0,2000.0,1000000,500,1,2000.0
2004-12-05,2000.0,2000.0,2000.0,2000.0,6876000,3438,1,2000.0
2005-02-02,2070.0,2070.0,2000.0,2000.0,6835549160,3302198,3,2000.0
2005-02-12,2100.0,2100.0,2100.0,2100.0,21000000,10000,1,2100.0
2005-04-23,2600.0,2600.0,2600.0,2600.0,1534000000,590000,59,2600.0
2005-04-24,2730.0,2730.0,2730.0,2730.0,1611920310,590447,60,2730.0
