date,open,high,low,adjClose,value,volume,count,close
2005-05-18,6300.0,6300.0,6300.0,6300.0,7692300000,1221000,2440,6300.0
2005-05-21,6615.0,6615.0,6615.0,6615.0,3307500000,500000,440,6615.0
2005-05-23,6945.0,6945.0,6615.0,6615.0,3359493150,507810,125,6615.0
2005-05-24,6945.0,6945.0,6945.0,6945.0,3719846175,535615,390,6945.0
2005-05-25,7292.0,7292.0,7000.0,7184.0,5991094854,833920,1401,7184.0
2005-05-28,7250.0,7543.0,7200.0,7469.0,993716752,133032,221,7469.0
2005-05-29,7842.0,7842.0,7600.0,7791.0,989834499,127047,244,7791.0
2005-05-30,7564.0,7600.0,7402.0,7438.0,2053674783,276069,324,7438.0
2005-05-31,7300.0,7341.0,7201.0,7292.0,768538810,105391,137,7292.0
2005-06-01,7199.0,7230.0,6950.0,7136.0,1069014681,149795,184,7136.0
2005-06-06,7000.0,7100.0,6780.0,6869.0,1000325382,145628,152,6869.0
2005-06-07,6800.0,6800.0,6598.0,6649.0,919349396,138252,155,6649.0
2005-06-08,6502.0,6981.0,6501.0,6858.0,807108466,117685,127,6858.0
2005-06-11,6722.0,7200.0,6722.0,7078.0,937417575,132431,128,7078.0
2005-06-12,7196.0,7200.0,7002.0,7149.0,418625803,58554,62,7149.0
2005-06-13,7079.0,7079.0,6876.0,6908.0,327193461,47358,55,6908.0
2005-06-14,6810.0,6900.0,6604.0,6795.0,190744881,28071,35,6795.0
2005-06-15,6652.0,6790.0,6635.0,6679.0,792605730,118654,94,6679.0
2005-06-18,6700.0,6701.0,6614.0,6662.0,93064220,13980,19,6662.0
2005-06-19,6648.0,6648.0,6329.0,6414.0,246761227,38472,34,6414.0
2005-06-20,6465.0,6467.0,6250.0,6342.0,545777199,86047,75,6342.0
2005-06-21,6448.0,6659.0,6448.0,6567.0,302614501,46075,41,6567.0
2005-06-22,6565.0,6880.0,6564.0,6678.0,519198624,77744,68,6678.0
2005-06-26,6345.0,6345.0,6345.0,6345.0,1421153100,223980,99,6345.0
2005-06-27,6401.0,6401.0,6362.0,6370.0,79934554,12519,18,6370.0
2005-06-28,6404.0,6408.0,6053.0,6369.0,334533792,52524,55,6369.0
2005-06-29,6200.0,6229.0,6099.0,6229.0,65718825,10755,17,6229.0
