date,open,high,low,adjClose,value,volume,count,close
2001-04-08,6799.0,6800.0,6799.0,6800.0,12926450,1901,3,6800.0
2001-04-11,6983.0,7001.0,6983.0,7001.0,46339360,6628,9,7001.0
2001-04-14,7106.0,7200.0,7100.0,7200.0,20153150,2830,5,7200.0
2001-04-15,7300.0,7460.0,7300.0,7460.0,17487800,2370,3,7460.0
2001-04-16,7600.0,7600.0,7600.0,7600.0,38000000,5000,2,7600.0
2001-04-17,7800.0,7800.0,7800.0,7800.0,19500000,2500,1,7800.0
2001-04-18,8000.0,8020.0,8000.0,8017.0,18424110,2300,3,8017.0
2001-04-21,8100.0,8100.0,8100.0,8100.0,8100000,1000,1,8100.0
2001-04-23,8500.0,8500.0,8500.0,8500.0,21250000,2500,3,8500.0
2001-04-24,8925.0,8925.0,8925.0,8925.0,26775000,3000,3,8925.0
2001-04-25,8936.0,8943.0,8936.0,8943.0,8940410,1000,2,8943.0
2001-04-28,9020.0,9100.0,9020.0,9100.0,18184000,2000,2,9100.0
2001-04-29,9100.0,9100.0,9100.0,9100.0,18655000,2050,5,9100.0
2001-04-30,9100.0,9100.0,8941.0,8941.0,79409845,8845,8,8941.0
2001-05-02,8500.0,8500.0,8500.0,8500.0,14025000,1650,1,8500.0
2001-05-06,8499.0,8500.0,8499.0,8500.0,40544000,4770,7,8500.0
2001-05-07,8500.0,8500.0,8500.0,8500.0,20978000,2468,3,8500.0
2001-05-08,8500.0,8500.0,8490.0,8490.0,21092500,2482,8,8490.0
2001-05-09,8500.0,8500.0,8500.0,8500.0,5975500,703,2,8500.0
2001-05-13,8522.0,8522.0,8520.0,8522.0,34512100,4050,7,8522.0
2001-05-15,8520.0,8522.0,8520.0,8520.0,42602000,5000,4,8520.0
2001-05-16,8401.0,8401.0,8401.0,8401.0,25203000,3000,4,8401.0
2001-05-19,8499.0,8499.0,8499.0,8499.0,12196065,1435,2,8499.0
2001-05-20,8520.0,8520.0,8520.0,8520.0,42685200,5010,7,8520.0
2001-05-21,8520.0,8520.0,8520.0,8520.0,5120520,601,4,8520.0
2001-05-27,8531.0,8531.0,8531.0,8531.0,17062000,2000,3,8531.0
2001-05-28,8531.0,8531.0,8531.0,8531.0,28510602,3342,1,8531.0
2001-05-29,8520.0,8531.0,8520.0,8520.0,17044972,2000,5,8520.0
2001-06-03,8519.0,8519.0,8519.0,8519.0,5111400,600,1,8519.0
2001-06-06,8518.0,8520.0,8518.0,8520.0,61338800,7200,10,8520.0
2001-06-09,8799.0,8850.0,8799.0,8850.0,22099500,2500,2,8850.0
