date,open,high,low,adjClose,value,volume,count,close
2001-04-08,15100.0,15100.0,15100.0,15100.0,4182700,277,1,15100.0
2001-04-09,15399.0,15500.0,15399.0,15500.0,21602100,1402,3,15500.0
2001-04-10,15500.0,15500.0,15500.0,15500.0,13593500,877,1,15500.0
2001-04-23,15500.0,15500.0,15500.0,15500.0,2852000,184,1,15500.0
2001-04-28,15500.0,15500.0,15500.0,15500.0,4898000,316,1,15500.0
2001-04-29,15500.0,15500.0,15500.0,15500.0,914500,59,1,15500.0
2001-05-07,15502.0,15502.0,15502.0,15502.0,4650600,300,1,15502.0
2001-05-09,15503.0,15503.0,8252.0,15503.0,113471257,12887,100,15503.0
2001-05-12,15601.0,15601.0,15601.0,15601.0,14165708,908,1,15601.0
2001-05-15,15601.0,15601.0,15600.0,15600.0,3510017,225,2,15600.0
2001-06-13,16380.0,16380.0,16380.0,16380.0,18787860,1147,4,16380.0
2001-08-05,13000.0,13000.0,13000.0,13000.0,13000000,1000,1,13000.0
2001-09-08,13650.0,13650.0,13650.0,13650.0,13650000,1000,1,13650.0
2001-09-16,14332.0,14332.0,14332.0,14332.0,20709740,1445,4,14332.0
2001-09-17,14332.0,14332.0,14332.0,14332.0,143320,10,1,14332.0
2001-09-22,14332.0,14332.0,14332.0,14332.0,14332000,1000,1,14332.0
2001-09-23,14334.0,14334.0,14334.0,14334.0,2637456,184,1,14334.0
2001-09-24,14350.0,14400.0,14350.0,14400.0,13843600,962,6,14400.0
2001-09-25,14403.0,14403.0,14403.0,14403.0,9448368,656,1,14403.0
2001-10-23,14408.0,14408.0,14408.0,14408.0,2218832,154,1,14408.0
2001-11-03,14425.0,14425.0,14425.0,14425.0,6649925,461,1,14425.0
2001-11-07,15146.0,15146.0,15146.0,15146.0,454380000,30000,3,15146.0
2001-12-08,16500.0,16500.0,16500.0,16500.0,16500000,1000,1,16500.0
2002-01-01,17325.0,17325.0,17325.0,17325.0,22176000,1280,9,17325.0
2002-01-08,18191.0,18191.0,18191.0,18191.0,17881753,983,2,18191.0
2002-01-12,19100.0,19100.0,19100.0,19100.0,19864000,1040,2,19100.0
2002-01-19,20055.0,20055.0,20055.0,20055.0,20095110,1002,4,20055.0
2002-01-20,21057.0,21057.0,21057.0,21057.0,25836939,1227,6,21057.0
2002-01-28,22109.0,22109.0,22109.0,22109.0,46649990,2110,7,22109.0
2002-02-02,23214.0,23214.0,23214.0,23214.0,43061970,1855,5,23214.0
2002-02-03,24368.0,24374.0,24368.0,24369.0,106731306,4379,9,24369.0
2002-02-04,24370.0,24389.0,24370.0,24389.0,26814400,1100,4,24389.0
2002-02-05,25000.0,25003.0,25000.0,25003.0,54176368,2167,5,25003.0
2002-02-06,26253.0,26253.0,26253.0,26253.0,30479733,1161,4,26253.0
2002-02-09,27565.0,27565.0,27565.0,27565.0,165803475,6015,21,27565.0
2002-02-10,27565.0,27565.0,27565.0,27565.0,22024435,799,5,27565.0
2002-02-12,27565.0,27565.0,27565.0,27565.0,17035170,618,4,27565.0
2002-02-16,27565.0,27565.0,27565.0,27565.0,66156000,2400,9,27565.0
2002-02-17,27563.0,27563.0,27563.0,27563.0,4961340,180,1,27563.0
2002-02-18,27561.0,27600.0,27560.0,27600.0,151107532,5481,15,27600.0
2002-02-24,27599.0,27600.0,27599.0,27600.0,106508032,3859,7,27600.0
2002-02-25,27600.0,27603.0,27600.0,27602.0,46535019,1686,10,27602.0
2002-02-27,27602.0,27602.0,27602.0,27602.0,66796840,2420,6,27602.0
2002-03-10,27603.0,27603.0,27603.0,27603.0,16975845,615,1,27603.0
2002-03-11,27608.0,27690.0,27607.0,27690.0,90182695,3261,10,27690.0
2002-03-16,27763.0,27787.0,27763.0,27787.0,63869077,2299,9,27787.0
2002-03-17,28794.0,28943.0,28793.0,28793.0,183944770,6383,18,28793.0
2002-03-18,28793.0,28793.0,28793.0,28793.0,60465300,2100,11,28793.0
2002-03-19,28795.0,28795.0,28794.0,28794.0,11460218,398,4,28794.0
2002-03-27,28794.0,28794.0,28794.0,28794.0,6161916,214,5,28794.0
2002-03-30,28794.0,28794.0,28794.0,28794.0,28390884,986,2,28794.0
2002-03-31,28794.0,28800.0,28794.0,28800.0,33115800,1150,2,28800.0
2002-04-07,28800.0,28800.0,28800.0,28800.0,3513600,122,1,28800.0
2002-04-08,28799.0,28800.0,28799.0,28800.0,33235046,1154,2,28800.0
2002-04-09,28800.0,28800.0,28800.0,28800.0,5299200,184,1,28800.0
2002-04-13,28807.0,28808.0,28800.0,28800.0,100815252,3500,7,28800.0
2002-04-14,28800.0,28812.0,28800.0,28811.0,448973277,15586,19,28811.0
2002-04-15,28811.0,28811.0,28811.0,28811.0,48978700,1700,5,28811.0
2002-04-16,28808.0,28808.0,28808.0,28808.0,11523200,400,1,28808.0
2002-04-20,28799.0,28807.0,28797.0,28807.0,123844405,4300,10,28807.0
2002-04-21,28807.0,28808.0,28807.0,28808.0,256183267,8893,6,28808.0
2002-04-28,28851.0,28851.0,28850.0,28850.0,10616942,368,2,28850.0
2002-04-29,28850.0,28850.0,28850.0,28850.0,18665950,647,1,28850.0
2002-04-30,28851.0,28852.0,28851.0,28852.0,13271644,460,2,28852.0
2002-05-04,30239.0,30240.0,30239.0,30240.0,33263650,1100,2,30240.0
2002-05-05,30240.0,30241.0,30240.0,30240.0,19656050,650,4,30240.0
2002-05-06,30239.0,30240.0,30239.0,30240.0,5201110,172,2,30240.0
2002-05-07,30240.0,30241.0,30240.0,30240.0,28667720,948,6,30240.0
2002-05-08,30996.0,30996.0,30996.0,30996.0,44324280,1430,6,30996.0
2002-05-19,31770.0,31770.0,31770.0,31770.0,31770000,1000,3,31770.0
2002-05-25,33358.0,33358.0,33357.0,33358.0,1289987118,38671,19,33358.0
2002-05-28,35025.0,35025.0,35025.0,35025.0,93481725,2669,8,35025.0
2002-05-29,36776.0,36776.0,36776.0,36776.0,1887233992,51317,83,36776.0
2002-06-01,37695.0,37695.0,37695.0,37695.0,954625875,25325,39,37695.0
2002-09-07,12000.0,12000.0,12000.0,12000.0,12000000,1000,1,12000.0
2002-09-18,11400.0,11400.0,11400.0,11400.0,7432800,652,3,11400.0
2002-09-22,10830.0,10830.0,10830.0,10830.0,32490000,3000,5,10830.0
2002-10-20,10289.0,10289.0,10289.0,10289.0,10289000,1000,2,10289.0
2002-10-21,9775.0,9775.0,9775.0,9775.0,6842500,700,1,9775.0
2002-10-23,9287.0,9287.0,9287.0,9287.0,6500900,700,2,9287.0
2002-10-26,8823.0,8823.0,8823.0,8823.0,52249806,5922,16,8823.0
2002-10-27,8820.0,8822.0,8820.0,8822.0,47808839,5420,16,8822.0
2002-10-28,8600.0,8821.0,8600.0,8821.0,1403453671,161415,26,8821.0
2002-10-30,8821.0,8821.0,8821.0,8821.0,1587780,180,1,8821.0
2002-11-02,8820.0,8822.0,8820.0,8820.0,57305237,6497,10,8820.0
2002-11-04,8820.0,8900.0,8820.0,8900.0,74324871,8383,9,8900.0
2002-11-06,8900.0,8900.0,8900.0,8900.0,8900000,1000,2,8900.0
2002-11-11,8898.0,9000.0,8898.0,8900.0,17868661,1999,9,8900.0
2002-11-12,9261.0,9345.0,9261.0,9345.0,18648000,2000,3,9345.0
2002-11-13,9345.0,9800.0,9345.0,9800.0,15890000,1640,2,9800.0
2002-11-16,9800.0,9800.0,9800.0,9800.0,2077600,212,1,9800.0
2002-11-17,9800.0,9800.0,9800.0,9800.0,5292000,540,5,9800.0
2002-11-19,9700.0,9700.0,9700.0,9700.0,24250000,2500,3,9700.0
2002-11-20,9600.0,9600.0,9310.0,9310.0,28410000,3000,5,9310.0
2002-11-24,9289.0,9310.0,9289.0,9310.0,9301538,1000,4,9310.0
2002-11-25,9310.0,9400.0,9310.0,9310.0,23410000,2500,8,9310.0
2002-11-26,9200.0,9200.0,9200.0,9200.0,4600000,500,6,9200.0
2002-11-30,9200.0,9200.0,9200.0,9200.0,460000,50,1,9200.0
2002-12-01,9199.0,9500.0,9192.0,9500.0,122694426,13318,21,9500.0
2002-12-02,9500.0,9970.0,9500.0,9500.0,135017885,13643,10,9500.0
2002-12-04,9500.0,9500.0,9500.0,9500.0,142500,15,1,9500.0
2002-12-11,9446.0,9446.0,9446.0,9446.0,1322440,140,1,9446.0
2002-12-15,9277.0,9280.0,9268.0,9268.0,24123082,2600,7,9268.0
2002-12-16,8805.0,9242.0,8805.0,9222.0,2804938888,318160,41,9222.0
2002-12-18,9050.0,9050.0,9050.0,9050.0,4959400,548,2,9050.0
