date,open,high,low,adjClose,value,volume,count,close
2001-03-25,7000.0,7000.0,7000.0,7000.0,3500000,500,1,7000.0
2001-03-27,7000.0,7000.0,7000.0,7000.0,10500000,1500,1,7000.0
2001-03-28,6916.0,7000.0,6800.0,7000.0,71166300,10326,9,7000.0
2001-03-31,7000.0,7000.0,7000.0,7000.0,21000000,3000,2,7000.0
2001-04-08,7000.0,7001.0,7000.0,7001.0,206437500,29491,16,7001.0
2001-04-09,7050.0,7050.0,7050.0,7050.0,1551000,220,1,7050.0
2001-04-10,7150.0,7175.0,7150.0,7175.0,30421750,4250,6,7175.0
2001-04-11,7188.0,7202.0,7188.0,7200.0,14552908,2021,4,7200.0
2001-04-14,7300.0,7300.0,7300.0,7300.0,14600000,2000,2,7300.0
2001-04-15,7400.0,7408.0,7400.0,7400.0,51821887,7000,6,7400.0
2001-04-17,7515.0,7665.0,7500.0,7665.0,148776900,19460,11,7665.0
2001-04-18,7700.0,7700.0,7700.0,7700.0,15400000,2000,8,7700.0
2001-04-21,7850.0,7850.0,7850.0,7850.0,15660750,1995,2,7850.0
2001-04-22,7854.0,8000.0,7854.0,8000.0,106504900,13339,16,8000.0
2001-04-23,8070.0,8250.0,8070.0,8250.0,46475000,5700,9,8250.0
2001-04-24,8300.0,8301.0,8300.0,8300.0,48970179,5900,8,8300.0
2001-04-25,8400.0,8400.0,8400.0,8400.0,41546400,4946,7,8400.0
2001-04-28,8500.0,8500.0,8500.0,8500.0,518500000,61000,23,8500.0
2001-04-29,8420.0,8440.0,8400.0,8440.0,396183020,47000,21,8440.0
2001-04-30,8396.0,8400.0,8396.0,8400.0,146958628,17500,11,8400.0
2001-05-01,8400.0,8400.0,8349.0,8350.0,17856570,2135,6,8350.0
2001-05-05,8269.0,8269.0,8269.0,8269.0,1240350,150,1,8269.0
2001-05-09,7900.0,8226.0,7900.0,8200.0,225542563,28250,25,8200.0
2001-05-12,7900.0,8000.0,7900.0,8000.0,91050000,11500,10,8000.0
2001-05-13,7902.0,8000.0,7850.0,8000.0,138176890,17380,11,8000.0
2001-05-15,7903.0,8000.0,7902.0,8000.0,158800500,19996,19,8000.0
2001-05-16,8000.0,8001.0,8000.0,8000.0,138785000,17348,16,8000.0
2001-05-19,7999.0,8001.0,7999.0,8000.0,110600475,13825,12,8000.0
2001-05-20,8003.0,8100.0,8003.0,8100.0,59388200,7362,7,8100.0
2001-05-21,8250.0,8350.0,8100.0,8350.0,167499000,20188,21,8350.0
2001-05-23,8400.0,8500.0,8350.0,8500.0,49162500,5800,9,8500.0
2001-05-26,8510.0,8513.0,8500.0,8500.0,37722900,4434,7,8500.0
2001-05-27,8500.0,8500.0,8400.0,8400.0,25625000,3050,2,8400.0
2001-05-28,8401.0,8500.0,8401.0,8500.0,25396790,3000,7,8500.0
2001-05-29,8500.0,8500.0,8405.0,8405.0,2905050,343,2,8405.0
2001-06-02,8301.0,8301.0,8300.0,8300.0,42987700,5179,7,8300.0
2001-06-03,8300.0,8300.0,8250.0,8251.0,40500400,4900,6,8251.0
2001-06-06,8200.0,8300.0,8200.0,8215.0,369560610,44913,42,8215.0
