date,open,high,low,adjClose,value,volume,count,close
2004-02-21,1500.0,1500.0,1500.0,1500.0,39550500,26367,3,1500.0
2004-02-22,1502.0,1650.0,1502.0,1650.0,834100000,510000,51,1650.0
2014-01-11,4300.0,4644.0,4300.0,4621.0,1352238512,292602,93,4644.0
2014-01-12,4900.0,4920.0,4252.0,4646.0,2725051165,586549,176,4474.0
2014-01-13,4650.0,4850.0,4530.0,4684.0,443960786,94784,57,4687.0
2014-01-14,4340.0,4400.0,4310.0,4343.0,198759042,45764,28,4310.0
2014-01-15,4252.0,4252.0,3996.0,4004.0,343512604,85785,47,4000.0
2014-01-18,4249.0,4249.0,3684.0,3806.0,181941378,47806,32,3979.0
2014-01-20,3925.0,3925.0,3537.0,3554.0,26696934,7512,10,3543.0
2014-01-21,3554.0,3665.0,3270.0,3389.0,252122597,74393,26,3270.0
2014-01-22,3120.0,3180.0,3118.0,3121.0,276552240,88602,31,3180.0
2014-01-25,3120.0,3370.0,3120.0,3350.0,149722620,44687,29,3370.0
2014-01-26,3400.0,3400.0,3082.0,3195.0,189271464,59242,46,3095.0
2014-01-27,2952.0,3194.0,2952.0,3014.0,233113267,77349,24,3167.0
2014-01-28,3250.0,3255.0,3233.0,3255.0,209978345,64519,27,3255.0
2014-01-29,3494.0,3515.0,3460.0,3489.0,123861756,35500,26,3515.0
2014-02-01,3768.0,3768.0,3766.0,3768.0,162593640,43155,25,3768.0
2014-02-02,4069.0,4069.0,3760.0,4012.0,959112177,239086,132,3900.0
2014-02-03,4034.0,4034.0,3692.0,3710.0,282943110,76258,51,3692.0
2014-02-04,3710.0,3710.0,3414.0,3467.0,37725185,10880,14,3415.0
2014-02-05,3190.0,3200.0,3190.0,3191.0,143444832,44948,25,3190.0
2014-02-08,2936.0,2936.0,2936.0,2936.0,65158648,22193,7,2936.0
2014-02-09,2704.0,2936.0,2704.0,2757.0,406217518,147335,30,2900.0
2014-02-10,2970.0,2970.0,2541.0,2632.0,174727842,66378,20,2690.0
2014-02-12,2561.0,2696.0,2422.0,2495.0,59945060,24030,13,2519.0
2014-02-15,2450.0,2694.0,2450.0,2663.0,220720024,82876,42,2694.0
2014-02-16,2751.0,2876.0,2751.0,2835.0,145370017,51277,25,2876.0
2014-02-17,3061.0,3061.0,3061.0,3061.0,284982161,93101,36,3061.0
2014-02-18,3305.0,3305.0,2940.0,3100.0,702352850,226591,78,3100.0
2014-02-26,2852.0,2854.0,2852.0,2852.0,238673816,83683,22,2852.0
2014-03-01,2624.0,2680.0,2624.0,2628.0,70568057,26856,17,2624.0
2014-03-02,2421.0,2799.0,2418.0,2420.0,246465184,101840,53,2420.0
2014-03-03,2420.0,2430.0,2415.0,2421.0,46298790,19121,13,2430.0
2014-03-04,2450.0,2610.0,2238.0,2466.0,89800187,36410,22,2519.0
2014-03-05,2272.0,2580.0,2269.0,2296.0,599485288,261100,88,2296.0
2014-06-23,2500.0,2500.0,2500.0,2500.0,5000000000,2000000,40,2500.0
2014-06-24,2500.0,2500.0,2500.0,2500.0,5560840000,2224336,46,2500.0
2017-01-02,500.0,500.0,450.0,458.0,297500000,650000,27,450.0
2017-01-03,450.0,450.0,416.0,438.0,365909550,835799,25,416.0
2017-01-04,425.0,481.0,430.0,459.0,1376107409,2996689,84,481.0
2017-01-07,480.0,504.0,480.0,487.0,486620955,1000000,33,480.0
2017-01-08,487.0,487.0,455.0,458.0,458320000,1000000,38,455.0
