date,open,high,low,adjClose,value,volume,count,close
2004-05-05,1520.0,1520.0,1520.0,1520.0,638436480,420024,250,1520.0
2004-05-08,1596.0,1596.0,1579.0,1579.0,74973679,46976,14,1579.0
2004-05-09,1657.0,1657.0,1621.0,1621.0,54680964,33000,19,1621.0
2004-05-10,1702.0,1702.0,1702.0,1702.0,102120000,60000,31,1702.0
2004-05-11,1787.0,1787.0,1703.0,1703.0,2323016,1300,2,1703.0
2004-05-12,1788.0,1788.0,1788.0,1788.0,257143008,143816,54,1788.0
2004-05-15,1877.0,1877.0,1702.0,1861.0,1436070796,771295,279,1861.0
2004-05-16,1768.0,1786.0,1768.0,1768.0,407790833,230610,122,1768.0
2004-05-17,1799.0,1856.0,1799.0,1839.0,234535727,127500,75,1839.0
2004-05-18,1837.0,1930.0,1748.0,1846.0,303880930,164582,76,1846.0
2004-05-19,1850.0,1850.0,1775.0,1841.0,76750285,41729,32,1841.0
2004-05-22,1841.0,1850.0,1822.0,1836.0,114395755,62278,36,1836.0
2004-05-23,1813.0,1814.0,1745.0,1785.0,72413573,41074,21,1785.0
2004-05-24,1710.0,1790.0,1696.0,1741.0,187512162,107691,43,1741.0
2004-05-25,1700.0,1771.0,1700.0,1741.0,66027592,37904,19,1741.0
2004-05-26,1740.0,1799.0,1711.0,1768.0,108616884,61407,30,1768.0
2004-05-29,1799.0,1799.0,1732.0,1761.0,22655589,13021,7,1761.0
2004-05-30,1788.0,1788.0,1731.0,1740.0,91673654,52740,21,1740.0
2004-05-31,1740.0,1742.0,1730.0,1733.0,103186946,59528,23,1733.0
2004-06-01,1730.0,1769.0,1711.0,1731.0,102059075,58939,24,1731.0
2004-06-02,1710.0,1731.0,1709.0,1726.0,33500940,19500,5,1726.0
2004-06-05,1720.0,1730.0,1700.0,1717.0,159308457,92732,22,1717.0
2004-06-06,1719.0,1719.0,1695.0,1700.0,227891105,133996,29,1700.0
2004-06-07,1700.0,1700.0,1697.0,1699.0,391097976,230092,35,1699.0
2004-06-08,1698.0,1699.0,1694.0,1698.0,20452457,12049,10,1698.0
2004-06-09,1678.0,1680.0,1630.0,1680.0,55399113,33238,24,1680.0
2004-06-12,1654.0,1678.0,1654.0,1678.0,4151780,2510,4,1678.0
2004-06-14,1595.0,1664.0,1595.0,1664.0,19731777,12237,13,1664.0
2004-06-15,1626.0,1628.0,1581.0,1616.0,65475972,41038,15,1616.0
2004-06-26,1600.0,1600.0,1600.0,1600.0,4960000,3100,1,1600.0
2004-06-28,1520.0,1598.0,1520.0,1598.0,1999580,1315,2,1598.0
2004-06-29,1519.0,1519.0,1519.0,1519.0,91140000,60000,9,1519.0
2004-06-30,1444.0,1481.0,1444.0,1481.0,43334810,30010,6,1481.0
2004-07-03,1407.0,1442.0,1407.0,1442.0,44461550,31600,10,1442.0
2004-07-04,1370.0,1438.0,1370.0,1438.0,3918880,2860,2,1438.0
2004-07-05,1367.0,1420.0,1367.0,1420.0,19673027,14391,4,1420.0
2004-07-06,1349.0,1349.0,1349.0,1349.0,91834524,68076,14,1349.0
2004-07-07,1291.0,1348.0,1291.0,1331.0,60075625,45292,17,1331.0
2004-07-11,1330.0,1330.0,1330.0,1330.0,2976540,2238,1,1330.0
2004-07-12,1264.0,1344.0,1264.0,1307.0,307180625,234889,55,1307.0
2004-07-13,1242.0,1303.0,1242.0,1303.0,3739030,3010,3,1303.0
2004-07-14,1240.0,1297.0,1240.0,1297.0,6411370,5170,3,1297.0
