date,open,high,low,adjClose,value,volume,count,close
2004-05-11,400.0,400.0,400.0,400.0,18211600,45529,10,400.0
2004-05-12,440.0,440.0,440.0,440.0,4118840,9361,3,440.0
2004-05-17,396.0,396.0,396.0,396.0,3960000,10000,1,396.0
2004-05-18,357.0,357.0,357.0,357.0,2606100,7300,1,357.0
2004-05-19,322.0,322.0,322.0,322.0,1610000,5000,1,322.0
2004-08-10,500.0,500.0,500.0,500.0,3936532000,7873064,34,500.0
2007-08-04,1.0,1.0,1.0,1.0,557887,557887,57,1.0
2012-09-09,150.0,150.0,150.0,150.0,1500000,10000,1,150.0
2012-09-10,139.0,149.0,139.0,146.0,437000,3000,3,149.0
2012-09-11,135.0,135.0,135.0,135.0,9450000,70000,5,135.0
2012-09-15,135.0,135.0,135.0,135.0,24435000,181000,15,135.0
2012-09-16,135.0,135.0,135.0,135.0,1620000,12000,3,135.0
2012-09-17,135.0,135.0,135.0,135.0,135000,1000,1,135.0
2012-09-18,125.0,125.0,125.0,125.0,625000,5000,1,125.0
2012-09-26,130.0,135.0,130.0,134.0,847795,6317,4,135.0
2012-09-29,140.0,144.0,140.0,143.0,24280000,170000,13,144.0
2012-09-30,154.0,154.0,154.0,154.0,14711158,95527,4,154.0
2012-10-01,166.0,166.0,166.0,166.0,36481322,219767,30,166.0
2012-10-02,179.0,179.0,161.0,178.0,25911390,145284,12,179.0
2012-10-03,192.0,192.0,187.0,192.0,44455092,231576,37,187.0
2012-10-06,198.0,198.0,177.0,187.0,4330700,23120,15,177.0
2012-10-07,189.0,189.0,173.0,175.0,18480897,105669,5,173.0
2012-10-08,161.0,172.0,161.0,161.0,1753112,10882,31,161.0
2012-10-09,158.0,169.0,158.0,165.0,4633000,28120,17,169.0
2012-10-10,171.0,171.0,152.0,165.0,6359300,38500,15,152.0
2013-05-22,1300.0,1310.0,1300.0,1303.0,5210106400,4000000,100,1310.0
2013-05-25,1407.0,1407.0,1407.0,1407.0,3517500000,2500000,100,1407.0
2013-05-26,1519.0,1519.0,1519.0,1519.0,6076000000,4000000,134,1519.0
2013-05-27,1640.0,1640.0,1640.0,1640.0,4669609720,2847323,125,1640.0
2015-08-29,1062.0,1168.0,1062.0,1137.0,420762905,370065,92,1110.0
2015-08-30,1090.0,1250.0,1080.0,1216.0,4270742140,3512050,504,1235.0
2015-08-31,1185.0,1259.0,1163.0,1192.0,721808360,605470,113,1179.0
2015-09-01,1180.0,1200.0,1081.0,1119.0,866393175,774480,88,1102.0
2015-09-02,1180.0,1180.0,1105.0,1132.0,270435851,238861,33,1150.0
2015-09-05,1178.0,1245.0,1130.0,1205.0,2404640427,1995558,201,1204.0
2015-09-06,1171.0,1289.0,1171.0,1251.0,1486373939,1188308,201,1239.0
2015-09-07,1249.0,1249.0,1175.0,1197.0,433547227,362278,77,1175.0
2015-09-08,1133.0,1235.0,1133.0,1173.0,523099624,445926,67,1161.0
2015-09-09,1208.0,1208.0,1158.0,1162.0,452789601,389666,42,1160.0
2015-09-12,1160.0,1170.0,1140.0,1149.0,760324000,661473,57,1140.0
2015-09-13,1130.0,1130.0,1060.0,1097.0,396507248,361449,81,1108.0
2015-09-14,1100.0,1142.0,1081.0,1104.0,204369787,185043,43,1110.0
2015-09-15,1081.0,1109.0,1062.0,1080.0,322209153,298476,44,1062.0
