date,open,high,low,adjClose,value,volume,count,close
2001-04-29,2822.0,2822.0,2822.0,2822.0,1411000,500,3,2822.0
2001-05-01,2681.0,2681.0,2681.0,2681.0,1340500,500,1,2681.0
2002-02-13,1000.0,1002.0,1000.0,1002.0,1372000,1370,2,1002.0
2002-02-17,1012.0,1012.0,1012.0,1012.0,1498772,1481,1,1012.0
2002-02-24,1022.0,1022.0,1022.0,1022.0,382228,374,1,1022.0
2002-02-26,1032.0,1032.0,1032.0,1032.0,93912,91,1,1032.0
2002-03-11,1042.0,1042.0,1042.0,1042.0,1118405692,1073326,25,1042.0
2002-03-13,1042.0,1046.0,1032.0,1046.0,1050612320,1004430,26,1046.0
2002-03-16,1050.0,1050.0,1050.0,1050.0,1050000000,1000000,1,1050.0
2002-03-18,1053.0,1053.0,1052.0,1052.0,5462346,5191,3,1052.0
2002-03-27,1052.0,1052.0,1052.0,1052.0,993088,944,1,1052.0
2002-03-30,1052.0,1052.0,1052.0,1052.0,909980,865,1,1052.0
2002-04-10,1052.0,1052.0,1052.0,1052.0,368200,350,6,1052.0
2002-04-14,1052.0,1052.0,1052.0,1052.0,3106556,2953,1,1052.0
2002-04-15,1052.0,1052.0,1052.0,1052.0,10520,10,1,1052.0
2002-04-17,1052.0,1052.0,1052.0,1052.0,1073040,1020,2,1052.0
2002-04-20,1052.0,1052.0,1052.0,1052.0,228284,217,1,1052.0
2002-04-29,1052.0,1052.0,1052.0,1052.0,1488580,1415,4,1052.0
2002-05-04,1050.0,1052.0,1050.0,1052.0,815121991,774836,11,1052.0
2002-05-05,1052.0,1052.0,1052.0,1052.0,1022544,972,1,1052.0
2002-05-08,1052.0,1052.0,1052.0,1052.0,526939436,500893,2,1052.0
2002-05-12,1052.0,1052.0,1052.0,1052.0,52851428,50239,7,1052.0
2002-05-14,1052.0,1052.0,1052.0,1052.0,58912000,56000,2,1052.0
2002-05-15,1050.0,1052.0,1050.0,1052.0,60388216,57416,11,1052.0
2002-05-18,1051.0,1052.0,1051.0,1052.0,56208788,53431,9,1052.0
2002-05-27,1050.0,1052.0,1050.0,1052.0,1902127216,1808117,6,1052.0
2002-05-28,1052.0,1052.0,1052.0,1052.0,1052000000,1000000,1,1052.0
2002-05-29,1051.0,1052.0,1051.0,1052.0,1263161259,1200724,6,1052.0
2002-06-08,1051.0,1052.0,1051.0,1052.0,1835374,1745,2,1052.0
2002-06-10,1050.0,1053.0,1050.0,1053.0,6899401,6561,6,1053.0
2002-06-12,1060.0,1060.0,1053.0,1053.0,6459070,6120,4,1053.0
2002-06-15,1053.0,1053.0,1053.0,1053.0,1053000,1000,1,1053.0
2002-06-16,1053.0,1053.0,1053.0,1053.0,1837485,1745,1,1053.0
2002-06-17,1053.0,1053.0,1053.0,1053.0,6307470,5990,4,1053.0
2002-11-25,901.0,901.0,900.0,900.0,4278008,4753,3,900.0
2002-11-30,900.0,900.0,900.0,900.0,6528600,7254,8,900.0
2002-12-03,900.0,945.0,900.0,945.0,13626450,15085,5,945.0
2002-12-04,945.0,992.0,900.0,992.0,2862920,3000,3,992.0
2002-12-07,945.0,945.0,945.0,945.0,1323000,1400,2,945.0
2002-12-09,900.0,900.0,900.0,900.0,4176000,4640,3,900.0
2002-12-10,945.0,945.0,945.0,945.0,1338120,1416,2,945.0
2002-12-11,992.0,992.0,945.0,945.0,31650000,32000,11,945.0
2002-12-14,945.0,945.0,945.0,945.0,3815910,4038,1,945.0
2002-12-16,944.0,944.0,944.0,944.0,2905632,3078,2,944.0
2002-12-17,945.0,945.0,945.0,945.0,487620,516,2,945.0
2002-12-23,941.0,944.0,941.0,944.0,11343868,12031,9,944.0
2002-12-28,944.0,944.0,944.0,944.0,9440000,10000,4,944.0
2002-12-31,990.0,990.0,990.0,990.0,10856340,10966,6,990.0
2003-01-01,990.0,1039.0,990.0,1039.0,848113686,816774,6,1039.0
2003-01-04,1040.0,1040.0,1040.0,1040.0,21833760,20994,7,1040.0
2003-01-06,1040.0,2400.0,1040.0,1092.0,122246226772,51413065,17,1092.0
2003-01-08,1146.0,1146.0,1146.0,1146.0,1146000,1000,2,1146.0
2003-01-12,1203.0,1203.0,1203.0,1203.0,1203000,1000,1,1203.0
2003-01-13,1263.0,1263.0,1263.0,1263.0,631500,500,1,1263.0
2003-01-14,1326.0,1326.0,1326.0,1326.0,1241136,936,2,1326.0
2003-01-15,1392.0,1392.0,1392.0,1392.0,6960000,5000,1,1392.0
2003-01-18,1461.0,1461.0,1461.0,1461.0,1367496,936,1,1461.0
2003-01-20,1534.0,1534.0,1534.0,1534.0,1405144,916,3,1534.0
2003-01-21,1610.0,1610.0,1534.0,1535.0,53924426,34136,18,1535.0
2003-01-22,1530.0,1530.0,1530.0,1530.0,10056690,6573,4,1530.0
2003-01-25,1501.0,1501.0,1501.0,1501.0,450300,300,3,1501.0
2003-01-27,1495.0,1495.0,1495.0,1495.0,1495000,1000,3,1495.0
2003-01-29,1470.0,1470.0,1470.0,1470.0,423360,288,1,1470.0
2003-02-08,1397.0,1397.0,1397.0,1397.0,1397000,1000,2,1397.0
2003-02-10,1328.0,1328.0,1328.0,1328.0,664000,500,2,1328.0
2003-02-16,1262.0,1262.0,1262.0,1262.0,631000,500,2,1262.0
2003-02-17,1199.0,1260.0,1199.0,1260.0,2536120,2037,3,1260.0
2003-02-18,1197.0,1197.0,1197.0,1197.0,239400,200,1,1197.0
2003-02-22,1138.0,1138.0,1138.0,1138.0,500720,440,4,1138.0
2003-02-23,1138.0,1138.0,1138.0,1138.0,3928376,3452,2,1138.0
2003-02-25,1082.0,1082.0,1082.0,1082.0,324600,300,1,1082.0
2003-02-26,1082.0,1136.0,1082.0,1136.0,18892631,16665,18,1136.0
2003-03-04,1192.0,1192.0,1192.0,1192.0,817712,686,2,1192.0
2003-03-05,1251.0,1251.0,1251.0,1251.0,796887,637,1,1251.0
2003-03-10,1313.0,1313.0,1313.0,1313.0,2363400,1800,1,1313.0
2003-03-11,1378.0,1378.0,1378.0,1378.0,5266716,3822,2,1378.0
2003-03-16,1446.0,1446.0,1446.0,1446.0,16257378,11243,4,1446.0
2003-03-17,1495.0,1495.0,1446.0,1446.0,35733267,24000,8,1446.0
2003-03-30,1446.0,1446.0,1446.0,1446.0,5461542,3777,3,1446.0
2003-04-05,1447.0,1447.0,1447.0,1447.0,601952,416,2,1447.0
2003-04-08,1447.0,1447.0,1447.0,1447.0,723500,500,2,1447.0
2003-04-13,1400.0,1400.0,1380.0,1380.0,9760000,7000,4,1380.0
2003-04-15,1340.0,1340.0,1340.0,1340.0,1507500,1125,3,1340.0
2003-04-16,1300.0,1300.0,1300.0,1300.0,1001000,770,3,1300.0
2003-04-22,1260.0,1260.0,1260.0,1260.0,1512000,1200,2,1260.0
2003-04-26,1220.0,1220.0,1220.0,1220.0,4670160,3828,4,1220.0
2003-04-28,1200.0,1200.0,1200.0,1200.0,2266800,1889,4,1200.0
2003-05-03,1180.0,1180.0,1180.0,1180.0,331580,281,1,1180.0
2003-05-04,1180.0,1180.0,1180.0,1180.0,5895280,4996,5,1180.0
2003-05-05,1180.0,1180.0,1180.0,1180.0,44009280,37296,8,1180.0
2003-05-07,1182.0,1182.0,1182.0,1182.0,100470,85,1,1182.0
2003-05-10,1182.0,1182.0,1182.0,1182.0,35460,30,1,1182.0
2003-05-11,1183.0,1183.0,1183.0,1183.0,637637,539,5,1183.0
2003-05-12,1186.0,1186.0,1186.0,1186.0,3095460,2610,4,1186.0
2003-05-13,1186.0,1186.0,1186.0,1186.0,657044,554,3,1186.0
2003-05-14,1200.0,1200.0,1200.0,1200.0,2736000,2280,2,1200.0
2003-05-18,1200.0,1239.0,1200.0,1239.0,11507889,9351,4,1239.0
2003-05-24,1239.0,1239.0,1239.0,1239.0,515424,416,1,1239.0
2003-05-25,1248.0,1260.0,1248.0,1260.0,2650921,2115,8,1260.0
2003-05-26,1260.0,1261.0,1260.0,1260.0,1206236,957,3,1260.0
2003-05-28,1250.0,1250.0,1250.0,1250.0,962500,770,3,1250.0
2003-05-31,1240.0,1240.0,1240.0,1240.0,515840,416,2,1240.0
2003-06-01,1230.0,1230.0,1220.0,1220.0,6120000,5000,4,1220.0
2003-06-02,1250.0,1250.0,1250.0,1250.0,11606250,9285,3,1250.0
2003-06-11,1250.0,1250.0,1250.0,1250.0,250000,200,1,1250.0
2003-06-18,1248.0,1248.0,1248.0,1248.0,675168,541,1,1248.0
2003-06-23,1245.0,1245.0,1245.0,1245.0,2136420,1716,1,1245.0
2003-06-24,1245.0,1245.0,1245.0,1245.0,2603295,2091,3,1245.0
2003-09-02,1238.0,1238.0,1238.0,1238.0,123800,100,1,1238.0
2003-09-07,1177.0,1238.0,1177.0,1238.0,1189380,1010,2,1238.0
2003-12-29,1176.0,1176.0,1176.0,1176.0,489216,416,1,1176.0
2004-01-03,1175.0,1175.0,1175.0,1175.0,587500,500,1,1175.0
2004-01-25,1173.0,1174.0,1173.0,1174.0,23470,20,2,1174.0
2004-05-16,1172.0,1172.0,1172.0,1172.0,586000,500,1,1172.0
2004-05-25,1168.0,1171.0,1168.0,1171.0,6301390,5395,7,1171.0
2004-06-06,1149.0,1170.0,1149.0,1170.0,1756464,1528,4,1170.0
2004-06-07,1145.0,1165.0,1138.0,1165.0,28205425,24765,21,1165.0
2004-06-09,1107.0,1164.0,1107.0,1164.0,122340,110,3,1164.0
2004-06-14,1106.0,1163.0,1106.0,1163.0,819010,740,2,1163.0
2004-06-16,1105.0,1163.0,1105.0,1163.0,22680,20,2,1163.0
2004-06-20,1105.0,1162.0,1105.0,1162.0,232620,210,2,1162.0
2004-10-12,1000.0,1110.0,1000.0,1057.0,106231856,100431,40,1057.0
2004-10-13,1100.0,1300.0,1086.0,1086.0,169779404310,130617871,392,1086.0
2004-10-16,1140.0,1140.0,1086.0,1086.0,395040,347,2,1086.0
2004-10-18,1140.0,1140.0,1087.0,1087.0,6137230,5384,5,1087.0
2004-10-19,1141.0,1141.0,1087.0,1087.0,395387,347,2,1087.0
2004-10-20,1141.0,1141.0,1088.0,1088.0,4097942,3592,5,1088.0
2004-10-23,1142.0,1142.0,1089.0,1089.0,6886872,6031,3,1089.0
2004-10-25,1143.0,1143.0,1089.0,1089.0,332073,291,2,1089.0
2004-10-26,1143.0,1143.0,1089.0,1089.0,3423888,2996,3,1089.0
2004-10-31,1143.0,1143.0,1136.0,1136.0,178614977,156291,24,1136.0
2004-11-01,1136.0,1136.0,1136.0,1136.0,7021616,6181,7,1136.0
2004-11-07,1192.0,1192.0,1192.0,1192.0,357600000,300000,47,1192.0
2004-11-08,1251.0,1251.0,1251.0,1251.0,1495570500,1195500,144,1251.0
2004-11-10,1313.0,1313.0,1313.0,1313.0,7223929050,5501850,621,1313.0
2004-11-13,1378.0,1378.0,1378.0,1378.0,13831236796,10037182,1154,1378.0
2004-11-15,1446.0,1446.0,1378.0,1445.0,4664813450,3226510,425,1445.0
2004-11-16,1517.0,1517.0,1517.0,1517.0,5594454797,3687841,509,1517.0
2004-11-17,1550.0,1592.0,1494.0,1583.0,11537779527,7288263,952,1583.0
