date,open,high,low,adjClose,value,volume,count,close
2004-10-25,12052.0,12210.0,6526.0,12204.0,14859940080,1747260,3102,12204.0
2004-10-26,12814.0,12814.0,12814.0,12814.0,6535140000,510000,637,12814.0
2004-10-27,13454.0,13454.0,13454.0,13454.0,20181000000,1500000,1086,13454.0
2004-10-30,14126.0,14126.0,14126.0,14126.0,13179558000,933000,298,14126.0
2004-10-31,13420.0,13420.0,13420.0,13420.0,671000000,50000,87,13420.0
2004-11-01,12749.0,12749.0,12749.0,12749.0,764940000,60000,57,12749.0
2004-11-02,12748.0,13000.0,12200.0,12599.0,3406128670,270340,367,12599.0
2004-11-03,12600.0,13200.0,12599.0,12810.0,4977249412,388528,220,12810.0
2004-11-06,13399.0,13450.0,13089.0,13303.0,2287766337,171973,192,13303.0
2004-11-07,13240.0,13240.0,12850.0,13024.0,572494876,44062,79,13024.0
2004-11-08,12996.0,13000.0,12700.0,12835.0,676722272,52721,81,12835.0
2004-11-09,12198.0,12840.0,12197.0,12599.0,398092290,31916,56,12599.0
2004-11-10,12600.0,12740.0,12006.0,12594.0,763257800,60604,67,12594.0
2004-11-13,12562.0,12565.0,11965.0,12541.0,125151344,10142,25,12541.0
2004-11-15,12428.0,12771.0,11914.0,12630.0,5724899690,456389,73,12630.0
2004-11-16,12401.0,12630.0,11999.0,12172.0,532769150,43959,50,12172.0
2004-11-17,11630.0,11986.0,11601.0,11905.0,315041716,26956,39,11905.0
2004-11-20,11500.0,11500.0,11310.0,11310.0,623428540,55120,35,11310.0
2004-11-21,10750.0,11000.0,10745.0,10782.0,798397848,74049,73,10782.0
2004-11-22,10781.0,10781.0,10271.0,10438.0,365169685,35433,47,10438.0
2004-11-23,10434.0,10497.0,10399.0,10433.0,1802937370,172810,68,10433.0
2004-11-24,10954.0,10954.0,10954.0,10954.0,4478378590,408835,114,10954.0
2004-11-27,11501.0,11501.0,11501.0,11501.0,3744909616,325616,91,11501.0
2004-11-28,12076.0,12076.0,12075.0,12075.0,593016122,49107,21,12075.0
2004-11-29,12678.0,12678.0,12300.0,12625.0,4124836845,326697,181,12625.0
2004-11-30,12076.0,12300.0,11994.0,12084.0,3036024094,251236,128,12084.0
2004-12-01,12220.0,12400.0,12000.0,12183.0,2673889835,219467,102,12183.0
2004-12-04,12011.0,12400.0,12003.0,12219.0,994821111,81410,74,12219.0
2004-12-05,12219.0,12219.0,11901.0,12128.0,366682962,30371,34,12128.0
2004-12-06,12127.0,12300.0,12096.0,12143.0,453061481,37294,41,12143.0
2004-12-07,12101.0,12201.0,11900.0,12119.0,533257729,44006,43,12119.0
2004-12-11,12170.0,12300.0,12000.0,12216.0,1719411809,140745,66,12216.0
2004-12-12,12180.0,12190.0,11800.0,12147.0,558485405,45991,35,12147.0
2004-12-13,12000.0,12150.0,11540.0,12028.0,1080094556,89791,60,12028.0
2004-12-14,11999.0,12012.0,11805.0,12012.0,200983344,16773,18,12012.0
2004-12-15,11600.0,12000.0,11600.0,11854.0,780676996,65855,49,11854.0
2004-12-18,11854.0,12000.0,11850.0,11883.0,322564357,27088,23,11883.0
2004-12-19,11540.0,12000.0,11530.0,11907.0,711147603,59725,40,11907.0
