date,open,high,low,adjClose,value,volume,count,close
2003-11-05,1350.0,1351.0,1300.0,1345.0,118876695,88359,14,1345.0
2003-11-08,1400.0,1420.0,1400.0,1420.0,99985700,70835,14,1420.0
2003-11-09,1450.0,1480.0,1450.0,1460.0,162106010,111000,16,1460.0
2007-09-03,550.0,593.0,499.0,522.0,95084278,181882,30,522.0
2007-09-04,502.0,542.0,502.0,511.0,16597094,32452,8,511.0
2007-09-05,531.0,531.0,531.0,531.0,223551,421,3,531.0
2007-09-08,552.0,552.0,552.0,552.0,26604744,48197,5,552.0
2007-09-09,573.0,574.0,540.0,567.0,56597302,99654,18,567.0
2007-09-10,555.0,588.0,545.0,551.0,196714820,356694,69,551.0
2007-09-11,560.0,573.0,560.0,572.0,24521279,42859,14,572.0
2007-09-12,570.0,570.0,570.0,570.0,5939970,10421,2,570.0
2007-09-15,570.0,570.0,552.0,554.0,10648340,19200,9,554.0
2007-09-16,561.0,562.0,540.0,541.0,27554460,50840,11,541.0
2007-09-17,541.0,541.0,541.0,541.0,885617,1637,1,541.0
2007-09-18,520.0,541.0,520.0,526.0,26424060,50160,16,526.0
2007-09-19,542.0,547.0,542.0,544.0,6340317,11651,5,544.0
2007-09-22,565.0,565.0,565.0,565.0,13842500,24500,3,565.0
2007-09-23,545.0,565.0,544.0,549.0,1453200,2644,4,549.0
2007-09-25,549.0,570.0,549.0,568.0,12068872,21218,5,568.0
2007-09-29,546.0,546.0,546.0,546.0,12558,23,1,546.0
2007-09-30,525.0,525.0,525.0,525.0,983325,1873,2,525.0
2007-10-01,546.0,546.0,546.0,546.0,2900352,5312,2,546.0
2007-10-06,527.0,527.0,527.0,527.0,2371500,4500,1,527.0
2007-10-08,530.0,530.0,530.0,530.0,166950,315,1,530.0
2007-10-09,510.0,510.0,510.0,510.0,892500,1750,2,510.0
2007-10-10,510.0,511.0,510.0,510.0,1210907,2374,4,510.0
2007-10-15,512.0,512.0,512.0,512.0,13085696,25558,9,512.0
2007-10-21,492.0,492.0,492.0,492.0,824592,1676,5,492.0
2007-11-20,492.0,492.0,492.0,492.0,40464540,82245,13,492.0
