date,open,high,low,adjClose,value,volume,count,close
2020-09-12,1350.0,1350.0,1350.0,1350.0,102081600,75616,2,1350.0
2020-09-13,1410.0,1410.0,1410.0,1350.0,196387620,139282,3,1410.0
2020-09-14,1410.0,1410.0,1410.0,1350.0,93966630,66643,1,1410.0
2020-09-15,1410.0,1410.0,1410.0,1350.0,245340000,174000,2,1410.0
2020-09-19,1410.0,1410.0,1410.0,1350.0,190350000,135000,3,1410.0
2020-09-20,1410.0,1410.0,1410.0,1350.0,107594280,76308,4,1410.0
2020-09-21,1410.0,1410.0,1410.0,1350.0,384384330,272613,4,1410.0
2020-09-22,1410.0,1410.0,1410.0,1350.0,539244630,382443,9,1410.0
2020-09-23,1410.0,1410.0,1410.0,1350.0,462391170,327937,6,1410.0
2020-09-26,1410.0,1410.0,1410.0,1350.0,2352022410,1668101,38,1410.0
2020-09-27,1410.0,1410.0,1410.0,1350.0,2151012810,1525541,33,1410.0
2020-09-28,1410.0,1410.0,1410.0,1350.0,2653409910,1881851,72,1410.0
2020-09-29,1410.0,1410.0,1410.0,1350.0,2828630610,2006121,58,1410.0
2020-09-30,1410.0,1410.0,1410.0,1350.0,2010017040,1425544,33,1410.0
2020-10-03,1410.0,1410.0,1410.0,1350.0,3174433110,2251371,60,1410.0
2020-10-04,1410.0,1410.0,1410.0,1360.0,12805645380,9082018,300,1410.0
2020-10-05,1420.0,1420.0,1420.0,1370.0,8734388760,6150978,202,1420.0
2020-10-06,1430.0,1430.0,1430.0,1380.0,7232566770,5057739,110,1430.0
2020-10-07,1440.0,1440.0,1390.0,1400.0,18625120120,12968186,567,1440.0
2020-10-10,1460.0,1470.0,1330.0,1420.0,18142299600,12564611,843,1450.0
2020-10-11,1470.0,1470.0,1370.0,1420.0,17942222640,12728611,796,1380.0
2020-10-12,1360.0,1370.0,1350.0,1400.0,10964306370,8111869,425,1350.0
2020-10-13,1330.0,1330.0,1330.0,1390.0,4555505360,3425192,174,1330.0
2020-10-14,1330.0,1330.0,1330.0,1390.0,1069817420,804374,65,1330.0
2020-10-18,1330.0,1330.0,1330.0,1390.0,239731170,180249,24,1330.0
2020-10-19,1330.0,1330.0,1330.0,1390.0,137668300,103510,16,1330.0
