date,open,high,low,adjClose,value,volume,count,close
2020-10-03,1300.0,1300.0,1300.0,1300.0,52000000,40000,1,1300.0
2020-10-04,1360.0,1360.0,1360.0,1300.0,107055120,78717,4,1360.0
2020-10-05,1360.0,1360.0,1360.0,1300.0,1445939760,1063191,42,1360.0
2020-10-06,1360.0,1360.0,1360.0,1300.0,394821600,290310,19,1360.0
2020-10-07,1360.0,1360.0,1360.0,1300.0,839254640,617099,30,1360.0
2020-10-10,1360.0,1360.0,1360.0,1300.0,1841306720,1353902,35,1360.0
2020-10-11,1360.0,1360.0,1360.0,1300.0,2394528880,1760683,70,1360.0
2020-10-12,1360.0,1360.0,1240.0,1300.0,3489068710,2575349,166,1360.0
2020-10-13,1360.0,1360.0,1250.0,1300.0,2879243810,2234343,185,1270.0
2020-10-14,1260.0,1260.0,1240.0,1300.0,3858671610,3101576,157,1240.0
2020-10-18,1240.0,1240.0,1240.0,1300.0,352233160,284059,34,1240.0
2020-10-19,1240.0,1240.0,1240.0,1300.0,117181240,94501,8,1240.0
