date,open,high,low,adjClose,value,volume,count,close
2020-09-23,1400.0,1400.0,1400.0,1400.0,105431200,75308,1,1400.0
2020-09-26,1470.0,1470.0,1470.0,1400.0,318781260,216858,3,1470.0
2020-09-27,1470.0,1470.0,1470.0,1400.0,147883470,100601,2,1470.0
2020-09-28,1470.0,1470.0,1470.0,1400.0,296872380,201954,3,1470.0
2020-09-29,1470.0,1470.0,1470.0,1400.0,637405230,433609,8,1470.0
2020-09-30,1470.0,1470.0,1470.0,1400.0,912417240,620692,11,1470.0
2020-10-03,1470.0,1470.0,1470.0,1400.0,857258430,583169,9,1470.0
2020-10-04,1470.0,1470.0,1470.0,1400.0,501731580,341314,6,1470.0
2020-10-05,1470.0,1470.0,1470.0,1400.0,251215650,170895,4,1470.0
2020-10-06,1470.0,1470.0,1470.0,1400.0,434283570,295431,5,1470.0
2020-10-07,1470.0,1470.0,1470.0,1400.0,1826980680,1242844,18,1470.0
2020-10-10,1470.0,1470.0,1470.0,1400.0,1146813150,780145,26,1470.0
2020-10-11,1470.0,1470.0,1470.0,1400.0,1043547120,709896,61,1470.0
2020-10-12,1470.0,1470.0,1470.0,1400.0,1217774460,828418,67,1470.0
2020-10-13,1470.0,1470.0,1470.0,1400.0,1889501250,1285375,116,1470.0
2020-10-14,1470.0,1470.0,1330.0,1400.0,2637259870,1813889,212,1470.0
2020-10-18,1470.0,1470.0,1330.0,1400.0,1875149980,1349496,192,1460.0
2020-10-19,1460.0,1460.0,1330.0,1400.0,1323672250,980933,105,1330.0
