date,open,high,low,adjClose,value,volume,count,close
2004-07-24,10400.0,10400.0,9699.0,10001.0,225136585,22510,20,10001.0
2004-07-25,9500.0,10500.0,9002.0,10138.0,2975692694,293509,81,10138.0
2004-07-26,10000.0,10131.0,9900.0,10009.0,1947018510,194523,90,10009.0
2004-07-27,9990.0,10499.0,9974.0,10025.0,2396371912,239024,85,10025.0
2004-07-28,10150.0,10900.0,10150.0,10512.0,494356256,47025,26,10512.0
2004-07-31,10520.0,10789.0,10510.0,10600.0,2026519313,191166,76,10600.0
2004-08-01,10556.0,10800.0,10200.0,10466.0,3113560186,297485,126,10466.0
2004-08-02,10151.0,10523.0,10151.0,10503.0,1635358795,155697,64,10503.0
2004-08-03,10518.0,10518.0,9553.0,10196.0,2640964708,259004,73,10196.0
2004-08-04,10089.0,10089.0,9350.0,9515.0,4802630039,504730,66,9515.0
2004-08-07,9400.0,9515.0,9400.0,9488.0,1178128238,124163,27,9488.0
2004-08-09,8701.0,9000.0,8540.0,8580.0,1172001210,136584,33,8580.0
2004-08-10,9000.0,9000.0,7723.0,8767.0,15307239323,1954389,67,8767.0
2004-08-11,8850.0,8850.0,8000.0,8322.0,2027793935,243651,38,8322.0
2004-08-14,7900.0,7900.0,7860.0,7889.0,132470138,16790,9,7889.0
2004-08-15,7875.0,7876.0,7859.0,7865.0,66107025,8405,12,7865.0
2004-08-16,7469.0,7880.0,7455.0,7652.0,295835843,38657,41,7652.0
2004-08-17,8417.0,8417.0,8000.0,8341.0,1292598180,154966,53,8341.0
2004-08-18,8189.0,8200.0,7950.0,8008.0,924473659,115440,62,8008.0
2004-08-21,8007.0,8050.0,7800.0,7998.0,1076467489,134592,43,7998.0
2004-08-22,7996.0,7996.0,7276.0,7308.0,290909251,39804,29,7308.0
2004-08-23,7270.0,7410.0,7270.0,7321.0,119077291,16264,14,7321.0
2004-08-24,7400.0,7900.0,7400.0,7607.0,283730934,37298,18,7607.0
2004-08-25,7600.0,8366.0,7600.0,8040.0,2291688980,283438,24,8040.0
2004-08-28,8040.0,8500.0,8040.0,8150.0,48987046,6010,9,8150.0
