date,open,high,low,adjClose,value,volume,count,close
2001-04-11,2100.0,2100.0,2100.0,2100.0,4200000,2000,2,2100.0
2001-04-14,2101.0,2101.0,2101.0,2101.0,5252500,2500,2,2101.0
2001-04-15,2150.0,2153.0,2150.0,2153.0,7334910,3410,10,2153.0
2001-04-16,2175.0,2176.0,2175.0,2175.0,2978355,1369,5,2175.0
2001-04-17,2301.0,2301.0,2300.0,2301.0,4025316,1750,4,2301.0
2001-04-21,2320.0,2320.0,2317.0,2320.0,62631000,27000,22,2320.0
2001-04-22,2325.0,2325.0,2325.0,2325.0,348750,150,1,2325.0
2001-04-25,2335.0,2335.0,2335.0,2335.0,700500,300,1,2335.0
2001-04-28,2340.0,2340.0,2340.0,2340.0,2810340,1201,2,2340.0
2001-04-29,2341.0,2346.0,2341.0,2346.0,3354626,1431,4,2346.0
2001-04-30,2347.0,2350.0,2347.0,2350.0,7935128,3380,10,2350.0
2001-05-01,2356.0,2356.0,2356.0,2356.0,2591600,1100,1,2356.0
2001-05-02,2385.0,2385.0,2385.0,2385.0,119250,50,1,2385.0
2001-09-19,2200.0,2200.0,2200.0,2200.0,4730000,2150,1,2200.0
2001-09-30,2245.0,2245.0,2245.0,2245.0,1120255,499,1,2245.0
2001-10-02,3000.0,3000.0,3000.0,3000.0,6498000,2166,1,3000.0
2001-10-03,3000.0,3000.0,3000.0,3000.0,13344000,4448,4,3000.0
2001-10-06,3050.0,3050.0,3050.0,3050.0,7704300,2526,4,3050.0
2001-10-07,3100.0,3100.0,3100.0,3100.0,5164600,1666,1,3100.0
2001-10-08,3108.0,3108.0,3108.0,3108.0,3306912,1064,3,3108.0
2001-10-09,3109.0,3109.0,3109.0,3109.0,4141188,1332,2,3109.0
2001-10-10,3110.0,3110.0,3108.0,3108.0,1822160,586,2,3108.0
2001-10-13,3089.0,3090.0,3089.0,3090.0,8945238,2895,18,3090.0
2001-10-14,3088.0,3088.0,3088.0,3088.0,1124032,364,3,3088.0
2001-10-16,3080.0,3080.0,3080.0,3080.0,2537920,824,2,3080.0
2001-10-17,3080.0,3080.0,3080.0,3080.0,295680,96,1,3080.0
2001-10-20,3080.0,3080.0,3080.0,3080.0,3153920,1024,5,3080.0
2001-10-21,3080.0,3092.0,3080.0,3092.0,10098864,3274,19,3092.0
2001-10-22,3094.0,3094.0,3094.0,3094.0,306306,99,1,3094.0
2001-10-23,3100.0,3105.0,3100.0,3105.0,3771620,1216,2,3105.0
2001-10-24,3110.0,3112.0,3110.0,3112.0,39095356,12569,3,3112.0
2001-10-30,3150.0,3150.0,3150.0,3150.0,346500,110,1,3150.0
2008-09-06,2050.0,2050.0,2050.0,2050.0,7738750,3775,3,2050.0
2008-09-14,2052.0,2132.0,2050.0,2091.0,20542022926,10019298,12,2091.0
2008-09-15,2174.0,2174.0,2174.0,2174.0,21740,10,1,2174.0
2008-09-16,2260.0,2260.0,2260.0,2260.0,54240000,24000,8,2260.0
2008-09-17,2350.0,2350.0,2350.0,2350.0,235000,100,1,2350.0
2008-09-20,2353.0,2444.0,2353.0,2415.0,37310605,15447,8,2415.0
2008-09-21,2511.0,2511.0,2426.0,2430.0,519233018,213638,24,2430.0
2008-09-23,2437.0,2437.0,2437.0,2437.0,4874000,2000,1,2437.0
2008-09-24,2466.0,2466.0,2466.0,2466.0,2466000,1000,1,2466.0
2008-09-27,2481.0,2481.0,2451.0,2478.0,35850895,14465,7,2478.0
2008-09-28,2479.0,2479.0,2479.0,2479.0,12395000,5000,1,2479.0
2008-09-29,2550.0,2627.0,2550.0,2599.0,15818165,6086,4,2599.0
2008-10-08,2480.0,2480.0,2480.0,2480.0,2938800,1185,3,2480.0
2008-11-23,2845.0,2845.0,2845.0,2845.0,14225000,5000,1,2845.0
2008-11-26,2675.0,2675.0,2675.0,2675.0,24700950,9234,2,2675.0
