date,open,high,low,adjClose,value,volume,count,close
2013-07-15,700.0,700.0,644.0,669.0,1105847476,1652862,141,647.0
2013-07-16,720.0,722.0,651.0,721.0,2871891204,3981699,335,722.0
2013-07-17,778.0,778.0,778.0,778.0,845037148,1086166,112,778.0
2013-07-20,840.0,840.0,750.0,831.0,4329372600,5207874,414,792.0
2013-07-21,829.0,829.0,765.0,775.0,760272556,981194,170,789.0
2013-07-22,726.0,837.0,726.0,798.0,2621571111,3284573,343,780.0
2013-07-23,800.0,818.0,735.0,744.0,3130068690,4204824,356,742.0
2013-07-24,760.0,780.0,740.0,758.0,2217254772,2926239,263,769.0
2013-07-27,817.0,817.0,745.0,776.0,5490706472,7071849,624,758.0
2013-07-28,787.0,787.0,742.0,757.0,1070577557,1413354,142,748.0
2013-07-29,763.0,765.0,715.0,735.0,2030420536,2761950,253,730.0
2013-07-31,756.0,756.0,700.0,711.0,841764057,1183942,139,700.0
2013-08-03,734.0,734.0,677.0,693.0,1470286725,2120153,172,694.0
2013-08-04,662.0,711.0,661.0,669.0,344265021,514659,65,669.0
2013-08-05,685.0,685.0,654.0,666.0,630409829,947157,119,660.0
2013-08-06,671.0,709.0,665.0,688.0,433315916,629476,121,692.0
2013-08-07,717.0,717.0,661.0,685.0,927604284,1353961,123,692.0
2013-08-11,690.0,690.0,650.0,663.0,1197780526,1806683,151,678.0
2013-08-12,705.0,705.0,652.0,685.0,736479737,1075687,88,657.0
2013-08-13,739.0,739.0,739.0,739.0,284926623,385557,22,739.0
2013-08-14,798.0,798.0,798.0,798.0,474699876,594862,35,798.0
2013-08-17,861.0,861.0,803.0,857.0,5650469743,6597041,576,830.0
2013-08-18,825.0,825.0,789.0,794.0,601688119,757547,87,789.0
2013-08-19,733.0,800.0,733.0,772.0,839487801,1088107,145,770.0
2013-08-20,805.0,805.0,711.0,718.0,1101139956,1533648,186,711.0
2013-08-21,740.0,750.0,700.0,722.0,835273872,1156442,114,700.0
2013-08-24,750.0,750.0,700.0,708.0,361726844,511145,75,710.0
2013-08-25,736.0,736.0,670.0,699.0,780073329,1116140,105,690.0
2013-08-26,710.0,714.0,690.0,695.0,400733351,576993,64,700.0
2013-08-27,720.0,725.0,640.0,687.0,932344007,1356605,109,640.0
2013-08-28,633.0,633.0,633.0,633.0,155035626,244922,29,633.0
2013-08-31,600.0,668.0,583.0,598.0,405206104,677715,79,609.0
2013-09-01,598.0,640.0,598.0,628.0,480659745,764816,139,628.0
2013-09-03,640.0,640.0,578.0,583.0,343484037,589057,177,578.0
2013-09-04,538.0,538.0,537.0,537.0,136402600,254000,22,537.0
2013-09-07,495.0,530.0,495.0,498.0,841742953,1690228,147,502.0
2013-09-08,500.0,520.0,480.0,499.0,380964518,763482,95,514.0
2013-09-09,538.0,538.0,538.0,538.0,114306170,212465,18,538.0
2013-09-10,581.0,581.0,581.0,581.0,182076685,313385,23,581.0
2013-09-11,615.0,627.0,574.0,609.0,2425456645,3981301,417,620.0
2013-12-08,1200.0,1200.0,1200.0,1200.0,114000000,95000,6,1200.0
2013-12-09,1250.0,1250.0,1230.0,1246.0,915391250,734793,33,1230.0
2013-12-10,1315.0,1315.0,1200.0,1217.0,32390600,26620,6,1200.0
2013-12-11,1250.0,1250.0,1200.0,1216.0,875701220,720001,28,1200.0
2013-12-14,1255.0,1255.0,1250.0,1250.0,7663030000,6130000,249,1250.0
2013-12-15,1320.0,1350.0,1320.0,1346.0,21952369650,16305459,621,1350.0
2014-07-27,225.0,243.0,225.0,233.0,872504844,3747408,219,243.0
2014-07-28,251.0,251.0,251.0,251.0,213528712,850712,43,251.0
2014-08-02,271.0,271.0,271.0,271.0,45194670,166770,19,271.0
2014-08-03,292.0,292.0,273.0,291.0,1138141100,3908938,501,292.0
2014-08-04,285.0,314.0,285.0,311.0,486154794,1563374,147,314.0
2014-08-05,335.0,335.0,332.0,335.0,1515872670,4527144,399,335.0
2014-08-06,361.0,361.0,361.0,361.0,525705167,1456247,95,361.0
2014-08-09,389.0,389.0,350.0,381.0,3723564573,9785298,664,364.0
2014-08-10,360.0,367.0,351.0,356.0,1187699376,3338835,310,351.0
2014-08-11,361.0,375.0,341.0,358.0,746214992,2086391,246,352.0
2014-08-12,353.0,355.0,330.0,332.0,924725171,2785279,278,333.0
2014-08-13,311.0,336.0,306.0,311.0,1063517679,3415309,643,306.0
2014-08-16,314.0,335.0,314.0,333.0,1582770182,4749814,398,335.0
2014-08-17,339.0,347.0,322.0,335.0,677851898,2021532,188,335.0
2014-08-18,345.0,353.0,328.0,343.0,636855522,1855627,161,340.0
2014-08-19,332.0,345.0,316.0,320.0,691089099,2160495,146,328.0
2014-08-20,339.0,339.0,297.0,305.0,584776997,1917804,185,305.0
2014-08-23,297.0,319.0,297.0,309.0,400203062,1296176,108,298.0
2014-08-24,298.0,300.0,291.0,294.0,322439720,1095219,89,293.0
2014-08-25,290.0,303.0,289.0,294.0,364821542,1242350,133,289.0
2014-08-26,297.0,308.0,297.0,303.0,231520903,764001,91,303.0
2014-08-27,307.0,320.0,297.0,311.0,499350389,1604256,185,304.0
2014-08-30,311.0,311.0,287.0,292.0,391794492,1342356,146,293.0
2014-08-31,300.0,300.0,273.0,288.0,217921295,756987,73,282.0
2014-09-01,280.0,291.0,273.0,286.0,241177259,843465,108,280.0
2014-09-02,274.0,297.0,274.0,285.0,122350731,429816,49,280.0
2014-09-03,275.0,289.0,275.0,283.0,299543475,1056851,93,282.0
2014-09-06,280.0,290.0,261.0,268.0,340055410,1266866,105,270.0
2014-09-07,270.0,270.0,247.0,251.0,489304103,1946833,194,247.0
2014-09-08,240.0,252.0,238.0,242.0,643252868,2659425,476,252.0
2014-09-09,251.0,261.0,251.0,260.0,735227613,2827293,473,261.0
2014-09-10,275.0,275.0,247.0,255.0,427157244,1677292,123,250.0
2014-09-13,248.0,248.0,235.0,237.0,283852489,1196940,93,235.0
2014-09-14,231.0,231.0,219.0,223.0,238206739,1069619,83,229.0
