date,open,high,low,adjClose,value,volume,count,close
2002-09-17,7190.0,7199.0,7190.0,7199.0,10785076,1499,3,7199.0
2002-09-18,7200.0,7497.0,7198.0,7200.0,226617333,31451,20,7200.0
2002-09-24,8150.0,8471.0,8150.0,8471.0,24188285,2935,3,8471.0
2002-09-28,8001.0,8001.0,8000.0,8000.0,40002000,5000,3,8000.0
2002-09-29,7501.0,7501.0,7300.0,7300.0,127158550,17305,9,7300.0
2003-01-11,9000.0,9000.0,9000.0,9000.0,360936000,40104,9,9000.0
2004-01-26,6992.0,6992.0,6500.0,6642.0,25568500,3849,4,6642.0
2004-01-27,6642.0,6642.0,6642.0,6642.0,9750456,1468,1,6642.0
2004-01-31,6642.0,6642.0,6640.0,6640.0,751995680,113252,14,6640.0
2004-02-01,6640.0,6993.0,6635.0,6883.0,94134711,13675,9,6883.0
2004-02-04,6883.0,6883.0,6883.0,6883.0,46811283,6801,2,6883.0
2004-03-03,7700.0,7701.0,7700.0,7700.0,4156345500,539785,6,7700.0
2006-05-13,1050.0,1050.0,1050.0,1050.0,2265179700,2157314,52,1050.0
2006-05-14,1050.0,1050.0,1050.0,1050.0,2323650000,2213000,45,1050.0
2011-11-16,341.0,342.0,314.0,330.0,309434449,936329,73,330.0
2011-11-19,339.0,356.0,338.0,348.0,109771288,315236,30,356.0
2011-11-20,375.0,375.0,375.0,375.0,1369500,3652,5,375.0
2011-11-21,405.0,405.0,405.0,405.0,1223946855,3022091,204,405.0
2011-11-22,410.0,413.0,373.0,385.0,456262790,1184923,111,400.0
2011-11-23,390.0,400.0,360.0,392.0,342152490,873456,99,375.0
2011-11-26,399.0,400.0,361.0,368.0,304633367,828914,101,361.0
2011-11-27,355.0,362.0,339.0,340.0,190297158,560302,43,339.0
2011-11-28,313.0,313.0,313.0,313.0,19064830,60910,7,313.0
2011-11-29,288.0,331.0,288.0,297.0,213072973,717330,73,306.0
2011-11-30,282.0,297.0,274.0,275.0,106414829,386494,72,274.0
2011-12-03,279.0,284.0,253.0,264.0,208255680,789941,82,282.0
2011-12-04,281.0,285.0,281.0,285.0,198437142,697210,57,285.0
2011-12-07,307.0,307.0,307.0,307.0,41616613,135559,27,307.0
2011-12-10,331.0,331.0,290.0,321.0,185942871,578844,60,306.0
2011-12-11,315.0,315.0,296.0,297.0,127553844,430011,49,296.0
2011-12-12,279.0,307.0,276.0,295.0,134262548,455254,53,298.0
2011-12-13,307.0,309.0,295.0,306.0,119090735,389712,38,304.0
2011-12-14,300.0,310.0,287.0,300.0,73765343,245686,57,288.0
2011-12-17,300.0,300.0,277.0,279.0,137332625,491658,81,277.0
2011-12-18,285.0,301.0,270.0,293.0,477624192,1628699,146,301.0
2011-12-19,316.0,316.0,310.0,316.0,229247214,726562,117,316.0
2011-12-20,341.0,341.0,320.0,337.0,609294739,1809688,119,320.0
2011-12-21,340.0,350.0,311.0,316.0,195848797,619675,56,311.0
2011-12-24,319.0,320.0,300.0,304.0,60953042,200468,29,300.0
2011-12-25,320.0,320.0,286.0,292.0,27496301,94169,18,288.0
2011-12-26,300.0,301.0,285.0,294.0,24396612,82937,22,293.0
2011-12-27,275.0,287.0,271.0,277.0,47933062,173090,49,283.0
2011-12-28,299.0,299.0,280.0,290.0,63510439,219030,36,284.0
2011-12-31,309.0,309.0,286.0,294.0,24707787,84071,21,292.0
2012-01-01,299.0,299.0,271.0,276.0,150321700,545388,44,271.0
2012-01-02,280.0,280.0,254.0,260.0,50065792,192479,22,261.0
2012-01-03,245.0,270.0,245.0,262.0,64991300,247700,43,258.0
2012-01-04,268.0,268.0,242.0,243.0,294792102,1214618,98,242.0
2012-01-07,224.0,224.0,224.0,224.0,24179680,107945,11,224.0
2012-01-08,207.0,207.0,207.0,207.0,26693271,128953,8,207.0
2012-01-09,191.0,223.0,191.0,207.0,451474912,2178691,191,211.0
2012-01-10,210.0,223.0,200.0,214.0,594080804,2770900,228,210.0
2012-01-11,223.0,230.0,207.0,218.0,290569963,1332370,116,207.0
2012-01-15,201.0,202.0,201.0,201.0,293584564,1460314,90,201.0
2012-01-16,186.0,203.0,185.0,186.0,131791799,708179,95,185.0
2012-01-17,175.0,179.0,172.0,173.0,111492520,642811,69,174.0
2012-01-18,172.0,175.0,160.0,166.0,112659817,680389,99,170.0
2012-01-21,169.0,179.0,169.0,177.0,155991352,881295,71,179.0
2012-01-23,179.0,191.0,163.0,186.0,339063430,1820527,131,191.0
2012-05-27,420.0,420.0,387.0,387.0,2633753296,6800000,256,387.0
2012-05-28,417.0,417.0,387.0,387.0,2692186750,6950000,249,387.0
2012-05-29,417.0,417.0,370.0,371.0,2199217800,5932980,252,370.0
2016-03-01,1651.0,1815.0,1651.0,1758.0,799732956,454834,86,1780.0
2016-03-02,1785.0,1931.0,1640.0,1826.0,2211778073,1211335,312,1800.0
2016-03-05,1850.0,1950.0,1800.0,1869.0,617264917,330285,102,1850.0
2016-03-06,1851.0,1929.0,1700.0,1790.0,700989084,391527,83,1763.0
