date,open,high,low,adjClose,value,volume,count,close
2001-04-22,1202.0,1202.0,1202.0,1202.0,10892524,9062,7,1202.0
2001-04-30,1202.0,1202.0,1202.0,1202.0,1202000,1000,1,1202.0
2001-05-07,1202.0,1202.0,1202.0,1202.0,601000,500,1,1202.0
2001-06-26,1000.0,1000.0,1000.0,1000.0,1000000,1000,1,1000.0
2001-10-10,1000.0,1000.0,1000.0,1000.0,1035000,1035,2,1000.0
2001-10-14,1010.0,1010.0,1010.0,1010.0,1010000,1000,1,1010.0
2001-10-16,1010.0,1020.0,1010.0,1020.0,1447230,1423,2,1020.0
2001-10-17,1030.0,1030.0,1030.0,1030.0,515000,500,1,1030.0
2001-10-20,1030.0,1040.0,1029.0,1040.0,47360937,45594,11,1040.0
2001-10-22,1050.0,1050.0,1050.0,1050.0,4725000,4500,3,1050.0
2001-10-24,1042.0,1042.0,1041.0,1041.0,427991,411,2,1041.0
2001-11-14,1043.0,1043.0,1033.0,1033.0,4354325,4175,4,1033.0
2001-12-02,1032.0,1032.0,1032.0,1032.0,1032000,1000,1,1032.0
2001-12-05,1022.0,1022.0,1022.0,1022.0,1022000,1000,1,1022.0
2001-12-08,1012.0,1012.0,1012.0,1012.0,2024000,2000,1,1012.0
2001-12-12,1002.0,1002.0,1002.0,1002.0,1002000,1000,1,1002.0
2001-12-24,1002.0,1002.0,1002.0,1002.0,1232460,1230,1,1002.0
2001-12-26,1002.0,1002.0,1002.0,1002.0,5260500,5250,2,1002.0
2001-12-30,1003.0,1003.0,1003.0,1003.0,877625,875,1,1003.0
2002-01-02,1004.0,1004.0,1004.0,1004.0,1004000,1000,1,1004.0
2002-01-06,1004.0,1004.0,1004.0,1004.0,1311224,1306,3,1004.0
2002-01-08,1004.0,1004.0,1004.0,1004.0,1004000,1000,1,1004.0
2002-01-15,1004.0,1004.0,1004.0,1004.0,3379464,3366,2,1004.0
2002-01-16,1004.0,1004.0,1004.0,1004.0,1004000,1000,1,1004.0
2002-01-19,1004.0,1004.0,1004.0,1004.0,1092352,1088,3,1004.0
2002-01-20,1003.0,1003.0,1003.0,1003.0,1881628,1876,1,1003.0
2002-01-28,1250.0,1315.0,1250.0,1315.0,2565000,2000,2,1315.0
2002-02-09,1380.0,1380.0,1380.0,1380.0,5456520,3954,4,1380.0
2002-02-12,1449.0,1449.0,1449.0,1449.0,2480688,1712,1,1449.0
2002-02-13,1521.0,1521.0,1521.0,1521.0,43026048,28288,3,1521.0
2002-02-16,1521.0,1521.0,1521.0,1521.0,20317518,13358,12,1521.0
2002-02-24,1522.0,1527.0,1522.0,1527.0,29964235,19660,10,1527.0
2002-02-26,1535.0,1535.0,1535.0,1535.0,1688500,1100,1,1535.0
2002-03-02,1540.0,1540.0,1540.0,1540.0,6176940,4011,2,1540.0
2002-03-06,1554.0,1554.0,1554.0,1554.0,467754,301,2,1554.0
2002-03-13,1570.0,1570.0,1570.0,1570.0,1256000,800,1,1570.0
2002-03-19,1568.0,1568.0,1568.0,1568.0,1568000,1000,1,1568.0
2002-03-27,1568.0,1568.0,1568.0,1568.0,1102304,703,1,1568.0
2002-04-27,1560.0,1560.0,1560.0,1560.0,7957560,5101,1,1560.0
2002-05-01,1540.0,1540.0,1525.0,1525.0,43167000,28280,22,1525.0
2002-05-05,1500.0,1500.0,1500.0,1500.0,1629000,1086,2,1500.0
2002-05-07,1500.0,1500.0,1500.0,1500.0,3069000,2046,1,1500.0
2002-05-08,1500.0,1500.0,1500.0,1500.0,4500000,3000,3,1500.0
2002-05-19,1470.0,1470.0,1470.0,1470.0,7830690,5327,2,1470.0
2002-05-21,1470.0,1470.0,1470.0,1470.0,1470000,1000,1,1470.0
2002-05-25,1470.0,1470.0,1470.0,1470.0,28644420,19486,6,1470.0
2002-06-01,1471.0,1471.0,1470.0,1470.0,9836360,6688,3,1470.0
2002-06-08,1473.0,1473.0,1473.0,1473.0,1473000,1000,1,1473.0
2002-06-18,1509.0,1509.0,1509.0,1509.0,1509000,1000,2,1509.0
2002-06-23,1546.0,1546.0,1509.0,1509.0,9425712754,6246306,2,1509.0
2002-06-29,1546.0,1546.0,1546.0,1546.0,1546000,1000,1,1546.0
2002-07-02,1623.0,1623.0,1623.0,1623.0,22397400,13800,9,1623.0
2002-07-29,1300.0,1300.0,1300.0,1300.0,1300000,1000,1,1300.0
2002-08-06,1308.0,1308.0,1308.0,1308.0,300840,230,1,1308.0
2002-08-17,1314.0,1314.0,1314.0,1314.0,459900,350,2,1314.0
2002-08-20,1316.0,1316.0,1316.0,1316.0,1298892,987,1,1316.0
2002-08-24,1316.0,1316.0,1316.0,1316.0,2878092,2187,1,1316.0
2002-08-27,1316.0,1316.0,1316.0,1316.0,460600,350,1,1316.0
2002-08-31,1381.0,1381.0,1381.0,1381.0,7871700,5700,1,1381.0
2002-09-03,1382.0,1382.0,1382.0,1382.0,241850,175,1,1382.0
2002-09-04,1450.0,1450.0,1450.0,1450.0,6887500,4750,1,1450.0
2002-09-07,1451.0,1451.0,1451.0,1451.0,7255000,5000,1,1451.0
2002-09-22,1451.0,1451.0,1451.0,1451.0,126237,87,1,1451.0
2002-09-29,1451.0,1451.0,1451.0,1451.0,399025,275,1,1451.0
2002-09-30,1523.0,1523.0,1523.0,1523.0,7615000,5000,1,1523.0
2002-10-01,1523.0,1523.0,1523.0,1523.0,199513,131,1,1523.0
2002-10-06,1523.0,1523.0,1523.0,1523.0,1323487,869,1,1523.0
2002-10-07,1523.0,1523.0,1523.0,1523.0,8690238,5706,2,1523.0
2002-10-15,1528.0,1528.0,1528.0,1528.0,4117960,2695,2,1528.0
