date,open,high,low,adjClose,value,volume,count,close
2001-03-27,8496.0,8497.0,8496.0,8497.0,10366065,1220,2,8497.0
2001-04-09,8496.0,8496.0,8496.0,8496.0,977040,115,3,8496.0
2001-04-14,8497.0,8497.0,8497.0,8497.0,8497000,1000,1,8497.0
2001-07-11,3800.0,3800.0,3800.0,3800.0,7600000,2000,1,3800.0
2001-07-16,3800.0,3800.0,3800.0,3800.0,11392400,2998,5,3800.0
2001-07-17,3800.0,3800.0,3800.0,3800.0,3800000,1000,2,3800.0
2001-07-22,3850.0,3850.0,3850.0,3850.0,3850000,1000,1,3850.0
2001-07-25,3861.0,4000.0,3861.0,4000.0,8463320,2120,2,4000.0
2001-07-28,4001.0,4001.0,4001.0,4001.0,2956739,739,2,4001.0
2001-07-29,4100.0,4100.0,4050.0,4100.0,4075000,1000,3,4100.0
2001-08-07,4305.0,4305.0,4305.0,4305.0,8605695,1999,3,4305.0
2001-08-11,4305.0,4306.0,4305.0,4306.0,4735600,1100,4,4306.0
2001-08-12,4307.0,4307.0,4307.0,4307.0,40382432,9376,1,4307.0
2001-08-27,4307.0,4307.0,4307.0,4307.0,2687568,624,1,4307.0
2001-08-28,4307.0,4307.0,4307.0,4307.0,1485915,345,1,4307.0
2001-09-01,4307.0,4307.0,4307.0,4307.0,4996120,1160,3,4307.0
2001-09-03,4307.0,4307.0,4307.0,4307.0,5926432,1376,3,4307.0
2001-09-08,4307.0,4307.0,4307.0,4307.0,4307000,1000,1,4307.0
2001-09-11,4307.0,4307.0,4307.0,4307.0,2153500,500,1,4307.0
2001-09-17,4307.0,4307.0,4307.0,4307.0,2153500,500,1,4307.0
2001-09-19,4307.0,4307.0,4307.0,4307.0,4307000,1000,1,4307.0
2001-09-24,4307.0,4307.0,4307.0,4307.0,3876300,900,2,4307.0
2001-10-03,4307.0,4307.0,4307.0,4307.0,3014900,700,1,4307.0
2001-10-10,4306.0,4306.0,4306.0,4306.0,5942280,1380,2,4306.0
2001-10-20,4302.0,4303.0,4302.0,4303.0,19793181,4600,5,4303.0
2001-10-22,4300.0,4300.0,4300.0,4300.0,430000,100,1,4300.0
2001-11-03,4085.0,4085.0,4085.0,4085.0,13480500,3300,7,4085.0
2001-11-12,4000.0,4000.0,4000.0,4000.0,4000000,1000,1,4000.0
2001-11-14,3998.0,3998.0,3998.0,3998.0,17991000,4500,4,3998.0
2001-11-17,3900.0,3900.0,3900.0,3900.0,3900000,1000,1,3900.0
2001-11-19,3900.0,3900.0,3900.0,3900.0,1950000,500,1,3900.0
2001-11-24,3900.0,3900.0,3900.0,3900.0,5850000,1500,1,3900.0
2001-11-25,3900.0,3900.0,3900.0,3900.0,3896100,999,1,3900.0
2001-11-26,3900.0,3900.0,3900.0,3900.0,3584100,919,2,3900.0
2001-12-02,4000.0,4000.0,4000.0,4000.0,31920000,7980,2,4000.0
2001-12-03,4000.0,4000.0,4000.0,4000.0,16080000,4020,1,4000.0
2001-12-12,4002.0,4002.0,4002.0,4002.0,14407200,3600,1,4002.0
2001-12-17,4000.0,4000.0,4000.0,4000.0,16000000,4000,2,4000.0
2001-12-19,4000.0,4000.0,4000.0,4000.0,6880000,1720,2,4000.0
