date,open,high,low,adjClose,value,volume,count,close
2003-01-21,4802.0,4850.0,4800.0,4800.0,8983228000,1870000,700,4800.0
2003-01-22,4920.0,4920.0,4920.0,4920.0,3266146920,663851,214,4920.0
2003-01-25,5043.0,5043.0,5043.0,5043.0,15129000,3000,1,5043.0
2003-01-26,5169.0,5169.0,5169.0,5169.0,25845000,5000,1,5169.0
2003-01-27,5040.0,5040.0,5040.0,5040.0,402942960,79949,42,5040.0
2003-01-28,4914.0,5040.0,4914.0,4940.0,1476802019,299434,163,4940.0
2003-01-29,4940.0,5010.0,4940.0,4955.0,268742539,53978,32,4955.0
2003-02-01,4958.0,4994.0,4872.0,4872.0,244240989,49704,25,4872.0
2003-02-02,4751.0,4752.0,4751.0,4751.0,267985155,56405,24,4751.0
2003-02-03,4700.0,4799.0,4699.0,4799.0,773870330,164152,65,4799.0
2003-02-04,4801.0,4801.0,4800.0,4801.0,23042700,4800,5,4801.0
2003-02-05,4803.0,4920.0,4801.0,4920.0,395399413,81420,61,4920.0
2003-02-08,4920.0,4921.0,4910.0,4917.0,72378424,14714,9,4917.0
2003-02-09,4801.0,4907.0,4801.0,4801.0,135947766,27870,8,4801.0
2003-02-10,4801.0,4801.0,4800.0,4800.0,48005000,10000,5,4800.0
2003-02-15,4799.0,4800.0,4799.0,4800.0,39023570,8130,5,4800.0
2003-02-16,4800.0,4801.0,4800.0,4801.0,46574981,9703,11,4801.0
2003-02-17,4800.0,4800.0,4800.0,4800.0,32212800,6711,5,4800.0
2003-02-18,4800.0,4800.0,4750.0,4750.0,100683500,20986,17,4750.0
2003-02-19,4800.0,4850.0,4800.0,4850.0,163200900,33968,30,4850.0
2003-02-22,4800.0,4850.0,4800.0,4850.0,75440600,15692,12,4850.0
2003-02-24,4800.0,4800.0,4800.0,4800.0,825600,172,2,4800.0
2003-03-02,4759.0,4799.0,4755.0,4756.0,106011422,22198,13,4756.0
2003-03-03,4750.0,4750.0,4750.0,4750.0,11590000,2440,2,4750.0
2003-03-04,4632.0,4799.0,4632.0,4799.0,217132125,46000,18,4799.0
2003-03-10,4680.0,4784.0,4680.0,4680.0,82349592,17438,7,4680.0
2003-03-11,4680.0,4680.0,4680.0,4680.0,1539720,329,1,4680.0
2003-03-12,4650.0,4650.0,4650.0,4650.0,17070150,3671,2,4650.0
2003-03-15,4680.0,4680.0,4600.0,4600.0,74701500,16110,6,4600.0
2003-03-16,4570.0,4570.0,4550.0,4550.0,68400000,15000,10,4550.0
2003-03-17,4553.0,4585.0,4552.0,4585.0,63517008,13897,7,4585.0
2003-03-26,4699.0,4699.0,4699.0,4699.0,19759295,4205,6,4699.0
2003-04-06,4816.0,4816.0,4816.0,4816.0,17669904,3669,3,4816.0
2003-04-07,4936.0,4936.0,4816.0,4816.0,157877816,32131,17,4816.0
2003-04-08,4816.0,4816.0,4750.0,4750.0,22148240,4640,3,4750.0
2003-04-09,4750.0,4800.0,4729.0,4800.0,175590706,37029,15,4800.0
2003-04-12,4899.0,4900.0,4800.0,4800.0,898977720,183531,35,4800.0
2003-04-13,4750.0,4750.0,4750.0,4750.0,18444250,3883,3,4750.0
2003-04-14,4750.0,4800.0,4750.0,4750.0,12495000,2620,4,4750.0
2003-04-15,4750.0,4750.0,4700.0,4700.0,12259550,2601,3,4700.0
2003-04-16,4700.0,4700.0,4700.0,4700.0,18800000,4000,1,4700.0
2003-04-19,4701.0,4701.0,4680.0,4680.0,7041000,1500,2,4680.0
2003-04-20,4600.0,4600.0,4578.0,4578.0,208711762,45529,8,4578.0
2003-04-21,4574.0,4574.0,4564.0,4564.0,41130295,9000,8,4564.0
2003-04-30,4800.0,4800.0,4700.0,4750.0,162747200,34139,17,4750.0
2003-05-03,4700.0,4700.0,4684.0,4684.0,73052510,15560,12,4684.0
2003-05-04,4669.0,4669.0,4668.0,4668.0,9337000,2000,2,4668.0
2003-05-05,4553.0,4553.0,4553.0,4553.0,10016600,2200,5,4553.0
2003-05-06,4440.0,4552.0,4440.0,4552.0,134957780,30240,15,4552.0
2003-05-07,4552.0,4552.0,4552.0,4552.0,2276000,500,1,4552.0
2003-05-10,4556.0,4665.0,4556.0,4665.0,34046492,7307,5,4665.0
2003-05-11,4665.0,4665.0,4609.0,4664.0,138140849,29640,25,4664.0
2003-05-12,4664.0,4664.0,4565.0,4565.0,32450000,7000,6,4565.0
2003-05-13,4555.0,4555.0,4500.0,4500.0,9683250,2150,4,4500.0
2003-05-14,4562.0,4725.0,4493.0,4725.0,210299076,45639,30,4725.0
2003-05-17,4722.0,4722.0,4722.0,4722.0,2974860,630,1,4722.0
2003-05-21,4604.0,4604.0,4604.0,4604.0,16896680,3670,3,4604.0
2003-05-25,4594.0,4594.0,4499.0,4499.0,15281682,3389,3,4499.0
2003-05-26,4500.0,4604.0,4499.0,4604.0,36569815,8085,10,4604.0
2003-05-27,4610.0,4610.0,4610.0,4610.0,9220000,2000,1,4610.0
2003-05-28,4599.0,4600.0,4599.0,4600.0,114996484,25000,14,4600.0
2003-05-31,4600.0,4700.0,4600.0,4700.0,191063600,40841,11,4700.0
2003-06-02,4701.0,4701.0,4701.0,4701.0,1438506,306,1,4701.0
2003-06-03,4501.0,4600.0,4500.0,4530.0,193021000,42400,11,4530.0
2003-06-07,4530.0,4530.0,4530.0,4530.0,78011130,17221,4,4530.0
2003-06-08,4500.0,4500.0,4500.0,4500.0,73926000,16428,9,4500.0
2003-06-09,4550.0,4600.0,4500.0,4600.0,259935912,57200,13,4600.0
2003-06-10,4700.0,4800.0,4700.0,4700.0,408168100,86283,18,4700.0
2003-06-11,4799.0,4800.0,4610.0,4800.0,247933282,52118,21,4800.0
2003-06-15,4610.0,4610.0,4610.0,4610.0,9220000,2000,3,4610.0
2003-06-16,4750.0,4766.0,4610.0,4765.0,122709162,25801,12,4765.0
2003-07-14,5000.0,5000.0,5000.0,5000.0,50000000,10000,4,5000.0
2003-07-15,5250.0,5250.0,5250.0,5250.0,126399000,24076,7,5250.0
2003-07-16,5400.0,5402.0,5400.0,5402.0,90464142,16751,9,5402.0
